,embedding parameters,best parameters,Acc,Sn,Sp,Pre,MCC,AUC
1,"[32, 0.0001, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
2,"[32, 0.001, 100]",{'n_estimators': 70},1.0,1.0,1.0,1.0,1.0,1.0
3,"[32, 0.01, 100]",{'n_estimators': 70},1.0,1.0,1.0,1.0,1.0,1.0
4,"[64, 0.0001, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
5,"[64, 0.001, 100]",{'n_estimators': 70},1.0,1.0,1.0,1.0,1.0,1.0
6,"[64, 0.01, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
7,"[96, 0.0001, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
8,"[96, 0.001, 100]",{'n_estimators': 70},1.0,1.0,1.0,1.0,1.0,1.0
9,"[96, 0.01, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
10,"[128, 0.0001, 100]",{'n_estimators': 70},1.0,1.0,1.0,1.0,1.0,1.0
11,"[128, 0.001, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
12,"[128, 0.01, 100]",{'n_estimators': 170},1.0,1.0,1.0,1.0,1.0,1.0
