,embedding parameters,best parameters,Acc,Sn,Sp,Pre,MCC,AUC
3,"[32, 0.01, 100]","{'C': 10, 'gamma': 0.001}",0.8888888888888888,1.0,0.7777777777777778,0.8181818181818182,0.7977240352174656,0.9506172839506173
7,"[96, 0.0001, 100]","{'C': 10, 'gamma': 0.001}",0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.7777777777777778,0.11111111111111115
2,"[32, 0.001, 100]","{'C': 10, 'gamma': 0.001}",0.8333333333333334,1.0,0.6666666666666666,0.75,0.7071067811865475,0.20987654320987656
6,"[64, 0.01, 100]","{'C': 10, 'gamma': 0.001}",0.7777777777777778,1.0,0.5555555555555556,0.6923076923076923,0.6201736729460422,0.9506172839506173
5,"[64, 0.001, 100]","{'C': 10, 'gamma': 0.001}",0.7777777777777778,0.8888888888888888,0.6666666666666666,0.7272727272727273,0.5698028822981898,0.08641975308641976
12,"[128, 0.01, 100]","{'C': 10, 'gamma': 0.001}",0.7777777777777778,0.8888888888888888,0.6666666666666666,0.7272727272727273,0.5698028822981898,0.8271604938271605
9,"[96, 0.01, 100]","{'C': 10, 'gamma': 0.001}",0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5555555555555556,0.20987654320987653
8,"[96, 0.001, 100]","{'C': 10, 'gamma': 0.001}",0.7222222222222222,0.8888888888888888,0.5555555555555556,0.6666666666666666,0.4714045207910316,0.20987654320987653
10,"[128, 0.0001, 100]","{'C': 10, 'gamma': 0.001}",0.7222222222222222,0.6666666666666666,0.7777777777777778,0.75,0.447213595499958,0.14814814814814814
4,"[64, 0.0001, 100]","{'C': 10, 'gamma': 0.001}",0.6666666666666666,1.0,0.3333333333333333,0.6,0.4472135954999579,0.06172839506172839
1,"[32, 0.0001, 100]","{'C': 10, 'gamma': 0.001}",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.25925925925925924
11,"[128, 0.001, 100]","{'C': 10, 'gamma': 0.001}",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.17283950617283952
