,embedding parameters,best parameters,Acc,Sn,Sp,Pre,MCC,AUC
1,"[32, 0.0001, 100]","[100, 6, 0.05]",0.5,1.0,0.0,0.5,0,0.5
2,"[32, 0.001, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
3,"[32, 0.01, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
4,"[64, 0.0001, 100]","[100, 6, 0.05]",0.5,1.0,0.0,0.5,0,0.5
5,"[64, 0.001, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
6,"[64, 0.01, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
7,"[96, 0.0001, 100]","[100, 6, 0.05]",0.5,1.0,0.0,0.5,0,0.5
8,"[96, 0.001, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
9,"[96, 0.01, 100]","[100, 6, 0.05]",0.5,1.0,0.0,0.5,0,0.5
10,"[128, 0.0001, 100]","[100, 6, 0.05]",0.5,1.0,0.0,0.5,0,0.5
11,"[128, 0.001, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
12,"[128, 0.01, 100]","[100, 3, 0.05]",0.5,1.0,0.0,0.5,0,0.5
