,B,MReCA: Molar refractivity composition of A,MReCB: Molar refractivity composition of B,MReAB: Molar refractivity transition between A and B,MReA0: Molar refractivity distribution of 0.00A,MReA1: Molar refractivity distribution of 0.25A,MReA2: Molar refractivity distribution of 0.50A,MReA3: Molar refractivity distribution of 0.75A,MReA4: Molar refractivity distribution of 1.00A,MReB0: Molar refractivity distribution of 0.00B,MReB1: Molar refractivity distribution of 0.25B,MReB2: Molar refractivity distribution of 0.50B,MReB3: Molar refractivity distribution of 0.75B,MReB4: Molar refractivity distribution of 1.00B,MRe: Molar refractivity0,MRe: Molar refractivity1,MRe: Molar refractivity00,MRe: Molar refractivity01,MRe: Molar refractivity10,MRe: Molar refractivity11,MRe: Molar refractivity000,MRe: Molar refractivity001,MRe: Molar refractivity010,MRe: Molar refractivity011,MRe: Molar refractivity100,MRe: Molar refractivity101,MRe: Molar refractivity110,MRe: Molar refractivity111
0,hsa.miR.222.3p,0.47619,0.52381,0.55,0.047619,0.095238,0.52381,0.857143,0.952381,0.142857,0.285714,0.47619,0.666667,1.0,476.190491,523.809509,190.476196,285.714294,238.095245,238.095245,47.619049,142.857147,47.619049,190.476196,95.238098,142.857147,190.476196,47.619049
1,hsa.miR.34c.5p,0.565217,0.434783,0.590909,0.043478,0.130435,0.347826,0.652174,0.956522,0.173913,0.304348,0.565217,0.869565,1.0,565.217407,434.782623,260.869568,304.347839,260.869568,130.434784,43.47826,217.391312,130.434784,130.434784,173.91304,86.95652,130.434784,0.0
2,hsa.miR.497.5p,0.47619,0.52381,0.7,0.095238,0.142857,0.380952,0.714286,0.952381,0.047619,0.333333,0.571429,0.809524,1.0,476.190491,523.809509,142.857147,333.333344,333.333344,142.857147,0.0,142.857147,190.476196,95.238098,142.857147,190.476196,95.238098,47.619049
3,hsa.miR.17.5p,0.608696,0.391304,0.590909,0.086957,0.217391,0.565217,0.782609,1.0,0.043478,0.26087,0.391304,0.652174,0.913043,608.695679,391.304352,304.347839,260.869568,304.347839,86.95652,130.434784,130.434784,217.391312,43.47826,173.91304,130.434784,43.47826,43.47826
4,hsa.miR.223.3p,0.409091,0.590909,0.52381,0.090909,0.227273,0.454545,0.681818,1.0,0.045455,0.181818,0.409091,0.818182,0.954545,409.090912,590.909119,136.363632,227.27272,272.727264,318.181824,45.454544,90.909088,45.454544,181.818176,90.909088,136.363632,181.818176,136.363632
5,hsa.miR.29b.3p,0.478261,0.521739,0.545455,0.086957,0.217391,0.565217,0.652174,0.913043,0.043478,0.26087,0.434783,0.73913,1.0,478.260864,521.739136,217.391312,260.869568,260.869568,217.391312,86.95652,130.434784,86.95652,173.91304,130.434784,130.434784,130.434784,43.47826
6,hsa.miR.301a.3p,0.565217,0.434783,0.636364,0.086957,0.217391,0.434783,0.826087,0.956522,0.043478,0.173913,0.521739,0.73913,1.0,565.217407,434.782623,260.869568,304.347839,304.347839,86.95652,86.95652,173.91304,173.91304,86.95652,173.91304,130.434784,86.95652,0.0
7,hsa.miR.29b.3p,0.478261,0.521739,0.545455,0.086957,0.217391,0.565217,0.652174,0.913043,0.043478,0.26087,0.434783,0.73913,1.0,478.260864,521.739136,217.391312,260.869568,260.869568,217.391312,86.95652,130.434784,86.95652,173.91304,130.434784,130.434784,130.434784,43.47826
8,hsa.miR.139.5p,0.391304,0.608696,0.636364,0.173913,0.26087,0.391304,0.652174,0.956522,0.043478,0.217391,0.521739,0.73913,1.0,391.304352,608.695679,86.95652,304.347839,304.347839,260.869568,0.0,86.95652,217.391312,43.47826,86.95652,217.391312,86.95652,173.91304
9,hsa.miR.106a.5p,0.652174,0.347826,0.545455,0.043478,0.173913,0.565217,0.782609,1.0,0.26087,0.347826,0.434783,0.652174,0.913043,652.173889,347.82608,347.82608,260.869568,260.869568,86.95652,173.91304,130.434784,217.391312,43.47826,130.434784,130.434784,43.47826,43.47826
