,A,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
0,2FCX,0.826087,0.272727,0.043478,0.347826,0.608696,0.782609,1.0,0.454545,0.272727,0.090909,0.318182,826.086975,652.173889,130.434784,130.434784,217.391312,130.434784,217.391312,130.434784,86.95652,130.434784,0.0,173.91304,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,86.95652,43.47826,130.434784,86.95652,0.0,86.95652,0.0,43.47826,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,0.0,0.0,43.47826,0.0,130.434784,0.0,43.47826,43.47826,43.47826,43.47826,0.0,0.0,0.0,0.0,0.0,130.434784,130.434784,43.47826,0.0,0.0,0.0
1,1BYJ,0.814815,0.307692,0.037037,0.259259,0.518519,0.740741,1.0,0.230769,0.307692,0.153846,0.269231,814.814819,629.629639,148.148148,148.148148,111.111115,148.148148,111.111115,148.148148,37.037037,148.148148,111.111115,111.111115,444.444458,148.148148,111.111115,37.037037,148.148148,0.0,37.037037,0.0,111.111115,74.074074,37.037037,0.0,111.111115,0.0,37.037037,37.037037,37.037037,37.037037,37.037037,0.0,74.074074,74.074074,0.0,0.0,37.037037,37.037037,37.037037,0.0,37.037037,0.0,37.037037,74.074074,37.037037,37.037037,0.0,74.074074,37.037037,37.037037,74.074074,0.0,37.037037,74.074074,37.037037
2,1XPF,0.826087,0.272727,0.043478,0.347826,0.608696,0.782609,1.0,0.454545,0.272727,0.090909,0.318182,826.086975,652.173889,130.434784,130.434784,217.391312,130.434784,217.391312,130.434784,86.95652,130.434784,0.0,173.91304,521.739136,86.95652,86.95652,43.47826,130.434784,0.0,43.47826,86.95652,86.95652,173.91304,43.47826,0.0,86.95652,0.0,43.47826,86.95652,86.95652,0.0,43.47826,0.0,86.95652,43.47826,0.0,0.0,43.47826,0.0,86.95652,0.0,43.47826,43.47826,43.47826,0.0,43.47826,0.0,0.0,0.0,0.0,130.434784,86.95652,43.47826,43.47826,0.0,0.0
3,1AJU,0.8,0.344828,0.033333,0.2,0.466667,0.7,1.0,0.241379,0.310345,0.241379,0.344828,800.0,600.0,166.666672,166.666672,133.333328,133.333328,100.0,166.666672,166.666672,100.0,66.666664,233.333328,466.666656,100.0,133.333328,33.333332,100.0,66.666664,33.333332,66.666664,66.666664,100.0,0.0,33.333332,133.333328,0.0,0.0,66.666664,33.333332,0.0,0.0,0.0,66.666664,33.333332,66.666664,0.0,33.333332,33.333332,33.333332,66.666664,33.333332,66.666664,100.0,0.0,0.0,0.0,66.666664,0.0,0.0,33.333332,100.0,66.666664,66.666664,0.0,100.0
4,2ET3,0.863636,0.285714,0.045455,0.272727,0.5,0.727273,1.0,0.285714,0.285714,0.095238,0.380952,863.636353,681.818176,136.363632,136.363632,136.363632,136.363632,136.363632,136.363632,0.0,227.27272,90.909088,136.363632,500.0,136.363632,136.363632,0.0,136.363632,0.0,0.0,0.0,90.909088,90.909088,45.454544,0.0,136.363632,0.0,0.0,45.454544,45.454544,45.454544,45.454544,0.0,45.454544,90.909088,0.0,0.0,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,0.0,45.454544,0.0,45.454544,45.454544,0.0,45.454544,90.909088,0.0
5,1LVJ,0.806452,0.4,0.032258,0.193548,0.451613,0.709677,1.0,0.233333,0.366667,0.3,0.333333,806.451599,580.645142,193.548386,193.548386,129.032257,161.290329,96.774193,193.548386,193.548386,96.774193,96.774193,225.806458,451.612915,96.774193,193.548386,0.0,96.774193,96.774193,0.0,64.516129,64.516129,96.774193,0.0,32.258064,161.290329,0.0,0.0,64.516129,32.258064,0.0,0.0,32.258064,64.516129,32.258064,96.774193,0.0,0.0,32.258064,32.258064,96.774193,0.0,96.774193,96.774193,0.0,0.0,0.0,96.774193,0.0,0.0,32.258064,96.774193,64.516129,64.516129,0.0,96.774193
6,1NBK,0.823529,0.30303,0.029412,0.264706,0.5,0.735294,1.0,0.181818,0.242424,0.242424,0.333333,823.529419,647.058838,147.058823,147.058823,117.647057,88.235291,58.823528,147.058823,117.647057,147.058823,117.647057,176.470581,470.588226,147.058823,117.647057,29.411764,147.058823,0.0,29.411764,88.235291,88.235291,29.411764,29.411764,58.823528,58.823528,0.0,29.411764,58.823528,0.0,0.0,29.411764,58.823528,117.647057,29.411764,0.0,0.0,29.411764,0.0,58.823528,88.235291,29.411764,0.0,88.235291,0.0,58.823528,58.823528,0.0,58.823528,0.0,29.411764,29.411764,117.647057,29.411764,29.411764,58.823528
7,2B57,0.738462,0.4375,0.015385,0.246154,0.461538,0.707692,1.0,0.1875,0.21875,0.296875,0.21875,738.461548,507.692322,215.384613,215.384613,107.692307,92.307693,76.92308,123.07692,138.461533,107.692307,153.846161,107.692307,384.615387,123.07692,184.615387,30.76923,107.692307,92.307693,30.76923,76.92308,30.76923,46.153847,15.384615,46.153847,46.153847,30.76923,15.384615,46.153847,15.384615,15.384615,15.384615,61.53846,61.53846,0.0,46.153847,15.384615,15.384615,46.153847,76.92308,76.92308,15.384615,46.153847,46.153847,46.153847,15.384615,61.53846,61.53846,15.384615,30.76923,0.0,61.53846,30.76923,15.384615,46.153847,46.153847
8,1EI2,0.76,0.416667,0.04,0.2,0.52,0.76,1.0,0.375,0.375,0.166667,0.208333,760.0,520.0,200.0,200.0,160.0,200.0,200.0,160.0,40.0,120.0,120.0,80.0,360.0,160.0,160.0,40.0,120.0,40.0,40.0,40.0,80.0,160.0,0.0,0.0,120.0,40.0,40.0,80.0,40.0,80.0,0.0,0.0,0.0,80.0,40.0,40.0,40.0,40.0,80.0,0.0,40.0,0.0,0.0,120.0,0.0,80.0,0.0,0.0,40.0,40.0,40.0,0.0,40.0,80.0,40.0
9,1RAW,0.861111,0.171429,0.027778,0.222222,0.472222,0.722222,1.0,0.171429,0.171429,0.142857,0.342857,861.111084,750.0,83.333336,83.333336,83.333336,83.333336,83.333336,83.333336,83.333336,138.888885,55.555557,194.444443,638.888916,83.333336,27.777779,55.555557,83.333336,0.0,55.555557,55.555557,55.555557,0.0,83.333336,0.0,27.777779,0.0,55.555557,27.777779,27.777779,27.777779,83.333336,0.0,83.333336,0.0,0.0,0.0,55.555557,27.777779,83.333336,0.0,55.555557,27.777779,27.777779,0.0,111.111115,27.777779,0.0,27.777779,55.555557,27.777779,111.111115,55.555557,27.777779,0.0,138.888885
