,B,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
0,hsa.miR.222.3p,0.809524,0.35,0.095238,0.285714,0.52381,0.809524,1.0,0.3,0.25,809.523804,619.047607,142.857147,190.476196,142.857147,95.238098,142.857147,142.857147,476.190491,95.238098,142.857147,0.0,142.857147,47.619049,0.0,95.238098,95.238098,142.857147,0.0,0.0,0.0,0.0,95.238098,95.238098,47.619049,0.0,0.0,47.619049,95.238098,0.0,0.0,0.0,95.238098
1,hsa.miR.34c.5p,0.782609,0.409091,0.086957,0.26087,0.521739,0.782609,1.0,0.181818,0.409091,782.608704,565.217407,173.91304,217.391312,130.434784,130.434784,43.47826,260.869568,347.82608,173.91304,173.91304,0.0,217.391312,0.0,0.0,43.47826,86.95652,0.0,0.0,130.434784,86.95652,43.47826,0.0,43.47826,0.0,0.0,0.0,130.434784,86.95652,86.95652,43.47826,43.47826,43.47826
2,hsa.miR.497.5p,0.809524,0.4,0.047619,0.285714,0.571429,0.809524,1.0,0.3,0.4,809.523804,571.428589,190.476196,190.476196,190.476196,142.857147,95.238098,238.095245,428.571442,95.238098,190.476196,0.0,142.857147,47.619049,0.0,0.0,95.238098,95.238098,0.0,95.238098,95.238098,0.0,47.619049,47.619049,47.619049,0.0,0.0,95.238098,47.619049,95.238098,47.619049,0.0,47.619049
3,hsa.miR.17.5p,0.695652,0.454545,0.043478,0.304348,0.521739,0.73913,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,217.391312,86.95652,43.47826,217.391312,304.347839,130.434784,173.91304,43.47826,130.434784,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,130.434784,86.95652,0.0,0.0,0.0,43.47826,0.0,0.0,86.95652,43.47826,86.95652,86.95652,0.0,43.47826
4,hsa.miR.223.3p,0.727273,0.333333,0.045455,0.181818,0.409091,0.727273,0.954545,0.285714,0.238095,727.272705,545.454529,181.818176,136.363632,181.818176,90.909088,90.909088,136.363632,409.090912,136.363632,90.909088,45.454544,90.909088,45.454544,45.454544,136.363632,45.454544,45.454544,45.454544,45.454544,90.909088,0.0,0.0,45.454544,45.454544,0.0,45.454544,45.454544,136.363632,0.0,0.0,0.0,0.0
5,hsa.miR.29b.3p,0.695652,0.454545,0.043478,0.26087,0.478261,0.826087,1.0,0.318182,0.227273,695.652161,434.782623,217.391312,217.391312,173.91304,86.95652,130.434784,130.434784,217.391312,173.91304,173.91304,43.47826,217.391312,0.0,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,0.0,130.434784,0.0,0.0,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,0.0
6,hsa.miR.301a.3p,0.652174,0.454545,0.043478,0.217391,0.521739,0.695652,1.0,0.318182,0.318182,652.173889,391.304352,217.391312,217.391312,217.391312,86.95652,86.95652,217.391312,217.391312,130.434784,130.434784,86.95652,173.91304,43.47826,86.95652,43.47826,43.47826,43.47826,86.95652,86.95652,86.95652,0.0,0.0,43.47826,43.47826,0.0,43.47826,130.434784,43.47826,86.95652,43.47826,0.0,0.0
7,hsa.miR.29b.3p,0.695652,0.454545,0.043478,0.26087,0.478261,0.826087,1.0,0.318182,0.227273,695.652161,434.782623,217.391312,217.391312,173.91304,86.95652,130.434784,130.434784,217.391312,173.91304,173.91304,43.47826,217.391312,0.0,43.47826,86.95652,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,0.0,130.434784,0.0,0.0,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,0.0
8,hsa.miR.139.5p,0.826087,0.363636,0.043478,0.304348,0.565217,0.73913,1.0,0.272727,0.363636,826.086975,608.695679,173.91304,173.91304,173.91304,130.434784,86.95652,217.391312,434.782623,130.434784,173.91304,0.0,130.434784,43.47826,0.0,86.95652,0.0,86.95652,0.0,86.95652,130.434784,0.0,0.0,0.0,43.47826,43.47826,0.0,86.95652,43.47826,43.47826,86.95652,0.0,0.0
9,hsa.miR.106a.5p,0.652174,0.409091,0.217391,0.347826,0.608696,0.73913,1.0,0.227273,0.318182,652.173889,434.782623,173.91304,217.391312,173.91304,86.95652,43.47826,217.391312,304.347839,130.434784,173.91304,0.0,130.434784,43.47826,43.47826,43.47826,0.0,43.47826,0.0,130.434784,86.95652,0.0,0.0,0.0,43.47826,0.0,0.0,86.95652,43.47826,86.95652,86.95652,0.0,43.47826
10,hsa.miR.20b.5p,0.695652,0.454545,0.043478,0.304348,0.521739,0.73913,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,217.391312,86.95652,43.47826,217.391312,304.347839,130.434784,173.91304,43.47826,130.434784,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,130.434784,86.95652,0.0,0.0,0.0,43.47826,0.0,0.0,86.95652,43.47826,86.95652,86.95652,0.0,43.47826
11,hsa.miR.876.5p,0.772727,0.333333,0.045455,0.227273,0.409091,0.636364,0.954545,0.238095,0.190476,772.727295,590.909119,181.818176,136.363632,90.909088,136.363632,136.363632,45.454544,409.090912,181.818176,90.909088,45.454544,136.363632,0.0,45.454544,90.909088,45.454544,45.454544,0.0,0.0,45.454544,45.454544,45.454544,136.363632,0.0,0.0,45.454544,0.0,0.0,0.0,45.454544,45.454544,0.0
12,hsa.miR.544a,0.772727,0.333333,0.090909,0.227273,0.454545,0.727273,1.0,0.238095,0.190476,772.727295,590.909119,136.363632,181.818176,136.363632,45.454544,90.909088,136.363632,409.090912,136.363632,90.909088,45.454544,181.818176,0.0,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,0.0,90.909088,0.0,0.0,0.0,90.909088,45.454544,90.909088,0.0,0.0,0.0
13,hsa.miR.24.3p,0.727273,0.47619,0.045455,0.181818,0.409091,0.636364,1.0,0.238095,0.190476,727.272705,454.545441,227.27272,227.27272,181.818176,45.454544,45.454544,136.363632,272.727264,181.818176,181.818176,45.454544,136.363632,45.454544,45.454544,90.909088,0.0,0.0,0.0,181.818176,0.0,0.0,45.454544,0.0,45.454544,0.0,45.454544,90.909088,90.909088,45.454544,0.0,0.0,45.454544
14,hsa.miR.3619.5p,0.818182,0.380952,0.045455,0.227273,0.545455,0.772727,1.0,0.190476,0.380952,818.181824,590.909119,181.818176,181.818176,181.818176,90.909088,0.0,272.727264,363.636353,181.818176,181.818176,0.0,181.818176,0.0,0.0,45.454544,45.454544,0.0,0.0,181.818176,45.454544,0.0,45.454544,0.0,0.0,0.0,0.0,90.909088,45.454544,136.363632,45.454544,0.0,136.363632
15,hsa.miR.148b.3p,0.727273,0.47619,0.045455,0.227273,0.454545,0.818182,1.0,0.333333,0.238095,727.272705,454.545441,227.27272,227.27272,181.818176,90.909088,136.363632,136.363632,272.727264,136.363632,181.818176,45.454544,136.363632,90.909088,45.454544,90.909088,45.454544,90.909088,0.0,90.909088,90.909088,0.0,0.0,90.909088,45.454544,0.0,45.454544,45.454544,0.0,45.454544,45.454544,0.0,0.0
16,hsa.miR.199b.5p,0.826087,0.363636,0.043478,0.26087,0.521739,0.782609,1.0,0.227273,0.227273,826.086975,608.695679,173.91304,173.91304,130.434784,86.95652,86.95652,130.434784,434.782623,130.434784,173.91304,0.0,130.434784,43.47826,0.0,130.434784,43.47826,43.47826,0.0,86.95652,86.95652,0.0,0.0,86.95652,0.0,0.0,0.0,43.47826,86.95652,0.0,43.47826,43.47826,0.0
