,combination methods,abbreviation,best parameters,Acc,Sn,Sp,Pre,MCC,AUC
6,"('Open reading frame (1D)', 'Guanine-cytosine related (1D)')",ORF+GCR,"[0.2, 0.001, 64]",0.7777777777777778,0.6666666666666666,0.8888888888888888,0.8571428571428571,0.5698028822981898,0.8024691358024691
41,"('Guanine-cytosine related (1D)', 'Secondary structure (1D)')",GCR+SST,"[0.1, 0.001, 64]",0.7222222222222222,0.5555555555555556,0.8888888888888888,0.8333333333333334,0.4714045207910316,0.5802469135802469
8,"('Open reading frame (1D)', 'Secondary structure (1D)')",ORF+SST,"[0.2, 0.001, 64]",0.7222222222222222,0.5555555555555556,0.8888888888888888,0.8333333333333334,0.4714045207910316,0.5802469135802469
25,"('K-mer (1D)', 'Codon related (1D)')",KME+CDR,"[0.2, 0.001, 64]",0.6666666666666666,1.0,0.3333333333333333,0.6,0.4472135954999579,0.4197530864197531
26,"('K-mer (1D)', 'Pseudo protein related (1D)')",KME+PPR,"[0.1, 0.001, 64]",0.6111111111111112,1.0,0.2222222222222222,0.5625,0.3535533905932738,0.5802469135802469
12,"('Entropy density of transcript (1D)', 'Codon related (1D)')",EDT+CDR,"[0.2, 0.001, 64]",0.6111111111111112,1.0,0.2222222222222222,0.5625,0.3535533905932738,0.6049382716049383
7,"('Open reading frame (1D)', 'Nucleotide related (1D)')",ORF+NTR,"[0.1, 0.001, 64]",0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7142857142857143,0.34188172937891387,0.7160493827160495
31,"('Codon related (1D)', 'Pseudo protein related (1D)')",CDR+PPR,"[0.1, 0.001, 64]",0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7142857142857143,0.34188172937891387,0.6419753086419754
20,"('Global descriptor (1D)', 'Pseudo protein related (1D)')",GBD+PPR,"[0.2, 0.001, 64]",0.6666666666666666,0.5555555555555556,0.7777777777777778,0.7142857142857143,0.34188172937891387,0.6172839506172839
5,"('Open reading frame (1D)', 'Pseudo protein related (1D)')",ORF+PPR,"[0.1, 0.001, 64]",0.6111111111111112,0.8888888888888888,0.3333333333333333,0.5714285714285714,0.2672612419124244,0.4444444444444445
10,"('Entropy density of transcript (1D)', 'Global descriptor (1D)')",EDT+GBD,"[0.1, 0.001, 64]",0.6111111111111112,0.8888888888888888,0.3333333333333333,0.5714285714285714,0.2672612419124244,0.7037037037037037
42,"('Guanine-cytosine related (1D)', 'EIIP based spectrum (1D)')",GCR+EBS,"[0.1, 0.001, 64]",0.6111111111111112,0.8888888888888888,0.3333333333333333,0.5714285714285714,0.2672612419124244,0.5308641975308642
43,"('Nucleotide related (1D)', 'Secondary structure (1D)')",NTR+SST,"[0.2, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6296296296296297
34,"('Codon related (1D)', 'Secondary structure (1D)')",CDR+SST,"[0.2, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6296296296296297
44,"('Nucleotide related (1D)', 'EIIP based spectrum (1D)')",NTR+EBS,"[0.2, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6172839506172839
15,"('Entropy density of transcript (1D)', 'Nucleotide related (1D)')",EDT+NTR,"[0.2, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6666666666666667
33,"('Codon related (1D)', 'Nucleotide related (1D)')",CDR+NTR,"[0.1, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6172839506172839
3,"('Open reading frame (1D)', 'K-mer (1D)')",ORF+KME,"[0.1, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.7407407407407407
40,"('Guanine-cytosine related (1D)', 'Nucleotide related (1D)')",GCR+NTR,"[0.1, 0.001, 64]",0.6111111111111112,0.7777777777777778,0.4444444444444444,0.5833333333333334,0.2357022603955158,0.6790123456790124
29,"('K-mer (1D)', 'Secondary structure (1D)')",KME+SST,"[0.2, 0.001, 64]",0.6111111111111112,0.6666666666666666,0.5555555555555556,0.6,0.223606797749979,0.6666666666666667
38,"('Pseudo protein related (1D)', 'Secondary structure (1D)')",PPR+SST,"[0.1, 0.001, 64]",0.5555555555555556,0.8888888888888888,0.2222222222222222,0.5333333333333333,0.14907119849998599,0.654320987654321
28,"('K-mer (1D)', 'Nucleotide related (1D)')",KME+NTR,"[0.2, 0.001, 64]",0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5384615384615384,0.12403473458920844,0.654320987654321
30,"('K-mer (1D)', 'EIIP based spectrum (1D)')",KME+EBS,"[0.1, 0.001, 64]",0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5384615384615384,0.12403473458920844,0.654320987654321
22,"('Global descriptor (1D)', 'Nucleotide related (1D)')",GBD+NTR,"[0.2, 0.001, 64]",0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5384615384615384,0.12403473458920844,0.6419753086419753
11,"('Entropy density of transcript (1D)', 'K-mer (1D)')",EDT+KME,"[0.2, 0.001, 64]",0.5555555555555556,0.7777777777777778,0.3333333333333333,0.5384615384615384,0.12403473458920844,0.617283950617284
37,"('Pseudo protein related (1D)', 'Nucleotide related (1D)')",PPR+NTR,"[0.1, 0.001, 64]",0.5555555555555556,0.6666666666666666,0.4444444444444444,0.5454545454545454,0.11396057645963795,0.691358024691358
36,"('Pseudo protein related (1D)', 'Guanine-cytosine related (1D)')",PPR+GCR,"[0.1, 0.001, 64]",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.6666666666666667
17,"('Entropy density of transcript (1D)', 'EIIP based spectrum (1D)')",EDT+EBS,"[0.2, 0.001, 64]",0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.5802469135802469
39,"('Pseudo protein related (1D)', 'EIIP based spectrum (1D)')",PPR+EBS,"[0.1, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.5679012345679012
1,"('Open reading frame (1D)', 'Entropy density of transcript (1D)')",ORF+EDT,"[0.2, 0.001, 64]",0.5,0.6666666666666666,0.3333333333333333,0.5,0.0,0.5925925925925926
45,"('Secondary structure (1D)', 'EIIP based spectrum (1D)')",SST+EBS,"[0.2, 0.001, 64]",0.5,0.8888888888888888,0.1111111111111111,0.5,0.0,0.6790123456790124
27,"('K-mer (1D)', 'Guanine-cytosine related (1D)')",KME+GCR,"[0.2, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.6049382716049383
24,"('Global descriptor (1D)', 'EIIP based spectrum (1D)')",GBD+EBS,"[0.1, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.6666666666666667
2,"('Open reading frame (1D)', 'Global descriptor (1D)')",ORF+GBD,"[0.2, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.54320987654321
21,"('Global descriptor (1D)', 'Guanine-cytosine related (1D)')",GBD+GCR,"[0.2, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.5555555555555556
18,"('Global descriptor (1D)', 'K-mer (1D)')",GBD+KME,"[0.1, 0.001, 64]",0.5,0.8888888888888888,0.1111111111111111,0.5,0.0,0.6419753086419753
16,"('Entropy density of transcript (1D)', 'Secondary structure (1D)')",EDT+SST,"[0.2, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.5925925925925926
13,"('Entropy density of transcript (1D)', 'Pseudo protein related (1D)')",EDT+PPR,"[0.1, 0.001, 64]",0.5,0.5555555555555556,0.4444444444444444,0.5,0.0,0.5802469135802469
14,"('Entropy density of transcript (1D)', 'Guanine-cytosine related (1D)')",EDT+GCR,"[0.1, 0.001, 64]",0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444,-0.1111111111111111,0.48148148148148145
32,"('Codon related (1D)', 'Guanine-cytosine related (1D)')",CDR+GCR,"[0.1, 0.001, 64]",0.4444444444444444,0.5555555555555556,0.3333333333333333,0.45454545454545453,-0.11396057645963795,0.5679012345679013
35,"('Codon related (1D)', 'EIIP based spectrum (1D)')",CDR+EBS,"[0.2, 0.001, 64]",0.4444444444444444,0.5555555555555556,0.3333333333333333,0.45454545454545453,-0.11396057645963795,0.5925925925925926
19,"('Global descriptor (1D)', 'Codon related (1D)')",GBD+CDR,"[0.2, 0.001, 64]",0.4444444444444444,0.5555555555555556,0.3333333333333333,0.45454545454545453,-0.11396057645963795,0.6049382716049383
4,"('Open reading frame (1D)', 'Codon related (1D)')",ORF+CDR,"[0.2, 0.001, 64]",0.4444444444444444,0.5555555555555556,0.3333333333333333,0.45454545454545453,-0.11396057645963795,0.5679012345679012
9,"('Open reading frame (1D)', 'EIIP based spectrum (1D)')",ORF+EBS,"[0.1, 0.001, 64]",0.4444444444444444,0.6666666666666666,0.2222222222222222,0.46153846153846156,-0.12403473458920844,0.5432098765432098
23,"('Global descriptor (1D)', 'Secondary structure (1D)')",GBD+SST,"[0.1, 0.001, 64]",0.3888888888888889,0.5555555555555556,0.2222222222222222,0.4166666666666667,-0.2357022603955158,0.5308641975308641
