,Seqname,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
0,ENST00000329743.3,0.19764,0.19469,0.306785,0.300885,0.06213,0.109467,0.109467,0.133136,0.118343,0.183432,0.029499,0.247788,0.637168,0.846608,1.0,0.026549,0.40413,0.60767,0.864307,0.99705,0.0059,0.20059,0.39233,0.651917,0.973451,0.00295,0.224189,0.445428,0.675516,0.979351
1,ENST00000332881.3,0.340081,0.273279,0.180837,0.205803,0.153275,0.120864,0.143822,0.097907,0.124916,0.052667,0.004049,0.21525,0.468286,0.725371,1.0,0.000675,0.246964,0.429825,0.681511,0.991903,0.00135,0.31444,0.624831,0.824561,0.992578,0.003374,0.288124,0.531039,0.806343,0.997976
2,ENST00000333139.3,0.238585,0.264089,0.206911,0.290415,0.090123,0.112757,0.123045,0.128807,0.179424,0.067078,0.007816,0.308926,0.539696,0.787742,0.99383,0.000823,0.257096,0.494447,0.766351,0.999177,0.003291,0.25833,0.508844,0.714109,0.999589,0.000411,0.205677,0.433978,0.736323,1.0
3,ENST00000354376.3,0.16874,0.19479,0.31804,0.318429,0.047063,0.123298,0.108907,0.119409,0.136523,0.170362,0.005443,0.34098,0.607309,0.7986,0.998445,0.001166,0.298989,0.588647,0.816096,1.0,0.000778,0.22084,0.442068,0.69479,0.99028,0.000389,0.227838,0.445956,0.710342,0.995723
4,ENST00000360656.2,0.225753,0.249164,0.26087,0.264214,0.055276,0.164154,0.115578,0.087102,0.125628,0.108878,0.005017,0.382943,0.607023,0.770903,0.993311,0.006689,0.210702,0.362876,0.688963,0.998328,0.001672,0.269231,0.523411,0.740803,0.981605,0.01505,0.307692,0.468227,0.767559,1.0
5,ENST00000364140.1,0.233846,0.230769,0.264615,0.270769,0.083333,0.132716,0.126543,0.145062,0.17284,0.083333,0.003077,0.384615,0.532308,0.747692,0.996923,0.012308,0.193846,0.430769,0.72,0.990769,0.006154,0.215385,0.523077,0.803077,1.0,0.049231,0.276923,0.421538,0.704615,0.987692
6,ENST00000366188.2,0.268293,0.231707,0.243902,0.256098,0.117359,0.146699,0.158924,0.127139,0.117359,0.080685,0.002439,0.190244,0.368293,0.660976,0.995122,0.012195,0.2,0.521951,0.768293,0.987805,0.014634,0.270732,0.47561,0.760976,1.0,0.004878,0.412195,0.595122,0.821951,0.992683
7,ENST00000366424.2,0.254723,0.221816,0.262645,0.260817,0.078659,0.153049,0.140854,0.12439,0.136585,0.094512,0.000609,0.252285,0.548446,0.80195,0.998781,0.001219,0.274832,0.500305,0.736137,1.0,0.002438,0.249848,0.493601,0.731261,0.997562,0.003047,0.222425,0.457648,0.726386,0.994516
8,ENST00000367276.8,0.227642,0.208672,0.271003,0.292683,0.112619,0.108548,0.09498,0.113976,0.096336,0.170963,0.009485,0.474255,0.731707,0.852304,1.0,0.020325,0.449864,0.691057,0.869919,0.998645,0.004065,0.186992,0.407859,0.600271,0.95122,0.001355,0.169377,0.322493,0.52168,0.98103
9,ENST00000367563.7,0.318919,0.227027,0.258108,0.195946,0.106901,0.186739,0.140731,0.116373,0.101488,0.048714,0.005405,0.252703,0.460811,0.755405,1.0,0.002703,0.248649,0.555405,0.821622,0.994595,0.004054,0.259459,0.521622,0.758108,0.997297,0.001351,0.22027,0.422973,0.654054,0.989189
