,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
0,1FFK_9,0.680328,0.413223,0.008197,0.278689,0.491803,0.762295,1.0,0.336066,0.663934,0.421488,0.008197,0.270492,0.45082,0.696721,0.983607,0.032787,0.237705,0.516393,0.770492,1.0,0.173554,0.264463,0.198347,0.22314,680.327881,336.065582,663.934448,467.213104,204.91803,204.91803,122.950821,213.114761,204.91803,450.819672,90.163933,131.147537,81.967216,131.147537,106.557381,106.557381,90.163933,114.754097,336.065582,122.950821,131.147537,73.770493,122.950821,81.967216,73.770493,32.786884,90.163933,57.377048,155.737701,81.967216,122.950821,147.540985,295.08197,57.377048,49.180328,40.983608,32.786884,16.393442,57.377048,0.0,73.770493,24.590164,16.393442,40.983608,16.393442,16.393442,73.770493,16.393442,40.983608,24.590164,57.377048,57.377048,32.786884,32.786884,57.377048,16.393442,24.590164,49.180328,32.786884,8.196721,49.180328,32.786884,57.377048,32.786884,73.770493,0.0,40.983608,0.0,57.377048
1,1FFK_0,0.695756,0.442314,0.000342,0.250171,0.498973,0.748118,1.0,0.442847,0.557153,0.524478,0.000342,0.249829,0.492471,0.743669,1.0,0.001027,0.250171,0.506502,0.751882,0.999316,0.254365,0.246833,0.227319,0.297159,695.756348,442.847351,557.152649,474.332642,221.081451,221.081451,180.355927,262.1492,262.1492,295.003418,132.101303,118.412048,122.17659,128.336761,118.75428,143.394928,108.487335,153.66188,319.986298,154.004105,162.217667,58.863792,154.004105,67.077347,58.863792,69.472961,110.540726,119.096512,143.052704,110.540726,151.60849,143.052704,151.950714,63.312798,53.04586,59.890488,37.303219,34.907597,60.232716,26.351814,31.827515,59.890488,28.747433,33.196442,32.85421,31.143053,56.125942,40.041069,32.169746,29.431896,36.960987,50.99247,59.548256,49.281315,33.538673,35.934292,69.815193,34.223133,39.356606,45.516769,28.062971,34.907597,28.405203,41.752224,65.023956,39.698837,48.939083,30.800821,42.094456
2,1FFK_9,0.680328,0.413223,0.008197,0.278689,0.491803,0.762295,1.0,0.336066,0.663934,0.421488,0.008197,0.270492,0.45082,0.696721,0.983607,0.032787,0.237705,0.516393,0.770492,1.0,0.173554,0.264463,0.198347,0.22314,680.327881,336.065582,663.934448,467.213104,204.91803,204.91803,122.950821,213.114761,204.91803,450.819672,90.163933,131.147537,81.967216,131.147537,106.557381,106.557381,90.163933,114.754097,336.065582,122.950821,131.147537,73.770493,122.950821,81.967216,73.770493,32.786884,90.163933,57.377048,155.737701,81.967216,122.950821,147.540985,295.08197,57.377048,49.180328,40.983608,32.786884,16.393442,57.377048,0.0,73.770493,24.590164,16.393442,40.983608,16.393442,16.393442,73.770493,16.393442,40.983608,24.590164,57.377048,57.377048,32.786884,32.786884,57.377048,16.393442,24.590164,49.180328,32.786884,8.196721,49.180328,32.786884,57.377048,32.786884,73.770493,0.0,40.983608,0.0,57.377048
3,1FFK_0,0.695756,0.442314,0.000342,0.250171,0.498973,0.748118,1.0,0.442847,0.557153,0.524478,0.000342,0.249829,0.492471,0.743669,1.0,0.001027,0.250171,0.506502,0.751882,0.999316,0.254365,0.246833,0.227319,0.297159,695.756348,442.847351,557.152649,474.332642,221.081451,221.081451,180.355927,262.1492,262.1492,295.003418,132.101303,118.412048,122.17659,128.336761,118.75428,143.394928,108.487335,153.66188,319.986298,154.004105,162.217667,58.863792,154.004105,67.077347,58.863792,69.472961,110.540726,119.096512,143.052704,110.540726,151.60849,143.052704,151.950714,63.312798,53.04586,59.890488,37.303219,34.907597,60.232716,26.351814,31.827515,59.890488,28.747433,33.196442,32.85421,31.143053,56.125942,40.041069,32.169746,29.431896,36.960987,50.99247,59.548256,49.281315,33.538673,35.934292,69.815193,34.223133,39.356606,45.516769,28.062971,34.907597,28.405203,41.752224,65.023956,39.698837,48.939083,30.800821,42.094456
4,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
5,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
6,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
7,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
8,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
9,1GIY_A,0.634088,0.449057,0.001029,0.256173,0.50583,0.751715,1.0,0.361797,0.638203,0.439794,0.001029,0.25823,0.494513,0.736968,0.999657,0.000343,0.246571,0.502058,0.754801,1.0,0.21681,0.261063,0.16741,0.272384,634.087769,361.796997,638.203003,409.465027,224.279831,224.622772,141.975311,219.821671,219.821671,418.038422,110.082306,128.943756,106.652946,132.030182,80.589851,139.231827,86.762688,133.05899,264.40329,144.718796,138.888885,85.390945,145.061722,79.561043,85.733879,53.497944,88.477364,68.930038,150.548691,88.477364,131.344315,150.891632,267.14679,61.042522,59.67078,51.097393,39.780521,19.20439,62.757202,18.861454,46.982166,52.812073,17.832647,36.008232,35.665295,15.775034,67.558296,31.207132,33.264748,19.890261,53.497944,31.550068,56.927299,25.720165,36.008232,18.518518,43.209877,40.123455,55.898491,30.864197,22.29081,33.607681,32.578876,36.008232,57.613171,26.748972,48.696846,28.46365,53.840878
