,A,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
0,ENST00000453875.5,0.838078,0.229947,0.001779,0.259786,0.503559,0.741993,0.994662,0.347594,0.16221,0.146168,0.344029,838.078308,722.419922,115.658363,113.879005,170.818512,83.62989,176.156586,78.291817,78.291817,167.259781,67.615662,176.156586,626.334534,96.085411,88.967972,26.690392,94.306053,19.572954,24.911032,87.188614,53.380783,113.879005,49.822063,7.117438,51.601425,16.014235,16.014235,85.409256,69.39502,21.352314,44.483986,17.793594,55.160141,14.234876,8.896797,16.014235,8.896797,40.925266,88.967972,30.249111,17.793594,30.249111,96.085411,23.131672,48.042706,39.145908,16.014235,12.455516,21.352314,23.131672,90.74733,21.352314,64.056938,16.014235,56.939503
1,ENST00000504748.1,0.795066,0.342205,0.001898,0.235294,0.491461,0.741935,1.0,0.247148,0.311787,0.174905,0.250951,795.066406,622.390869,170.777985,170.777985,129.032257,149.905121,117.647057,161.290329,111.95446,100.56926,62.618595,149.905121,489.563568,132.827332,144.212524,26.565464,130.929794,37.950665,26.565464,68.311195,85.388992,100.56926,11.3852,17.077799,121.442123,5.6926,22.770399,68.311195,18.975332,30.360531,11.3852,17.077799,83.491463,41.745731,34.155598,5.6926,22.770399,56.925995,70.208725,26.565464,20.872866,64.516129,43.643265,20.872866,36.053131,34.155598,22.770399,5.6926,11.3852,49.335865,92.979126,32.258064,24.667933,24.667933,56.925995
2,ENST00000599755.5,0.731415,0.394231,0.002398,0.2494,0.503597,0.760192,1.0,0.28125,0.269231,0.274038,0.175481,731.414856,532.374084,196.642685,196.642685,141.486816,131.894485,139.08873,136.690643,151.079132,74.34053,122.302155,100.719421,388.489197,141.486816,141.486816,55.155876,143.884888,52.757793,55.155876,45.563549,55.155876,69.544365,40.767387,31.17506,62.350121,28.776978,40.767387,52.757793,45.563549,38.369305,45.563549,40.767387,47.961632,50.359711,38.369305,23.980816,33.573143,69.544365,45.563549,67.146286,38.369305,45.563549,33.573143,23.980816,14.388489,79.136688,35.971222,7.194244,35.971222,43.165466,35.971222,43.165466,21.582733,19.184652,23.980816
3,ENST00000454129.5,0.709226,0.390343,0.000226,0.236634,0.480262,0.737198,1.0,0.250677,0.277527,0.255641,0.185469,709.226257,513.87323,195.127457,195.127457,131.288071,132.867126,119.332283,144.597336,142.115952,78.276566,113.467178,107.150917,373.110748,140.53688,137.604324,57.523121,140.53688,54.590572,57.523121,55.492893,55.944057,65.418449,35.641777,30.227837,75.344009,20.979021,36.544102,46.018497,38.348747,34.965034,32.483646,27.972029,65.192871,37.446426,41.958042,21.430183,41.2813,80.532372,42.183624,58.199863,41.958042,41.958042,39.702232,18.497631,20.076698,64.29055,33.837132,15.339499,35.867359,40.153397,58.651028,27.746447,20.753441,19.399956,27.069704
4,ENST00000436656.5,0.717762,0.387333,0.001217,0.233577,0.504866,0.751825,1.0,0.275274,0.266748,0.242387,0.215591,717.761536,523.11438,193.430664,193.430664,138.686127,132.603409,136.253036,133.819946,136.253036,92.45742,105.839417,122.871048,371.046234,150.851578,136.253036,57.177616,152.06813,41.36253,57.177616,58.394161,58.394161,65.693428,42.579075,29.197081,69.343063,26.76399,36.496349,51.094891,43.79562,41.36253,45.012165,35.279804,65.693428,36.496349,31.630171,25.547445,29.197081,74.209244,58.394161,47.445255,41.36253,47.445255,49.878345,24.3309,18.248175,64.476883,25.547445,15.815085,35.279804,41.36253,69.343063,35.279804,18.248175,23.114355,31.630171
5,ENST00000511893.1,0.692182,0.417618,0.001629,0.236156,0.495114,0.749186,1.0,0.216966,0.280587,0.254486,0.177814,692.182434,482.084686,208.469055,208.469055,110.749184,138.436478,105.86319,141.693817,131.921829,83.06189,122.149834,94.46254,328.990234,151.465805,143.322479,65.146584,151.465805,57.003258,65.146584,45.602608,57.003258,52.117264,29.315962,29.315962,68.403908,34.201954,35.83062,45.602608,21.172638,39.087948,34.201954,27.687296,55.374592,43.973942,42.345276,19.543974,45.602608,76.547234,43.973942,42.345276,48.859936,40.716614,30.944626,30.944626,21.172638,71.66124,29.315962,21.172638,43.973942,43.973942,50.488598,26.058632,17.91531,35.83062,19.543974
6,ENST00000414894.1,0.734247,0.368132,0.00274,0.263014,0.493151,0.745205,1.0,0.260989,0.277473,0.258242,0.208791,734.246582,547.94519,183.561646,183.561646,134.246582,134.246582,126.027397,142.465759,145.205475,87.671234,112.328766,120.547943,413.698639,131.506851,128.76712,54.794521,134.246582,49.315067,54.794521,73.972603,57.534248,71.23288,35.61644,27.397261,65.753426,24.657534,43.835617,54.794521,32.876713,35.61644,38.356163,24.657534,76.712326,27.397261,38.356163,16.438356,52.054794,71.23288,49.315067,57.534248,35.61644,52.054794,30.136986,19.178082,35.61644,54.794521,38.356163,19.178082,38.356163,38.356163,65.753426,35.61644,19.178082,16.438356,52.054794
7,ENST00000602587.5,0.67753,0.420962,0.001715,0.231561,0.45283,0.667238,0.998285,0.261168,0.321306,0.295533,0.17354,677.530029,466.552307,210.977707,209.262436,142.367065,149.228134,118.353348,171.526581,157.804459,77.186966,137.221268,96.054886,332.761566,133.790741,140.651794,68.610634,132.07547,77.186966,68.610634,49.74271,54.888508,58.319038,42.881645,41.166382,84.048027,15.437393,49.74271,49.74271,42.881645,25.728989,34.305317,29.159519,53.173241,49.74271,68.610634,25.728989,58.319038,72.041168,46.31218,70.325897,54.888508,30.874786,41.166382,15.437393,20.583191,70.325897,49.74271,17.152658,46.31218,32.59005,46.31218,36.020584,13.722127,20.583191,22.298456
8,ENST00000584485.1,0.646778,0.436081,0.00358,0.224344,0.490453,0.743437,1.0,0.217443,0.255675,0.315412,0.144564,646.778015,428.40094,217.183777,218.37709,121.718376,114.558472,95.465393,140.811462,167.064438,62.052505,147.971359,82.338905,289.976135,138.42482,146.778046,70.405731,138.42482,78.758949,71.599045,42.959427,44.152744,45.346062,39.379475,36.99284,57.279236,25.059666,32.21957,32.21957,38.186157,25.059666,32.21957,34.606205,54.892601,40.572792,45.346062,17.899761,48.926014,82.338905,38.186157,66.825775,59.665871,40.572792,32.21957,17.899761,11.933174,78.758949,57.279236,10.739857,52.505966,28.639618,41.766109,27.446301,13.126492,28.639618,21.479713
9,ENST00000444126.5,0.709229,0.391399,0.000217,0.238002,0.481868,0.737459,1.0,0.251303,0.279322,0.256299,0.187446,709.229126,513.355042,195.656891,195.656891,131.813248,133.550491,119.435394,145.711182,142.888168,78.827362,113.355049,108.577637,372.638428,140.499451,137.8936,57.763302,140.499451,55.157436,57.763302,56.460369,55.808903,66.232353,35.179153,30.401737,76.221497,20.629751,36.699242,46.905537,37.350704,35.179153,31.704668,27.578718,65.363731,37.785015,42.562431,21.498371,41.910965,79.695984,42.345276,58.414768,42.562431,41.910965,39.95657,18.675352,20.19544,63.626492,34.527687,15.200869,35.613464,40.825191,58.631924,28.664495,21.281216,19.326818,27.578718
10,ENST00000628924.1,0.692769,0.399083,0.000353,0.240917,0.50194,0.756614,0.999295,0.276641,0.238179,0.266761,0.192308,692.768982,493.121704,199.647263,199.294525,149.559082,107.936508,126.984123,130.158737,146.737213,82.892418,119.929451,109.347443,352.380951,140.740738,128.747803,70.899467,140.740738,58.553791,70.546738,52.204586,30.335096,58.201057,47.971783,43.386242,42.328041,25.044092,40.564373,41.26984,48.67725,37.037037,37.389771,40.564373,41.26984,48.67725,40.211639,31.393297,47.266315,80.776016,44.797176,58.553791,49.382717,38.800705,45.502647,20.811287,16.578484,64.903,36.33157,18.694885,42.328041,37.389771,60.670193,29.276896,19.400352,19.047619,26.455027
11,ENST00000563777.1,0.769679,0.346329,0.000253,0.237155,0.492534,0.755505,1.0,0.263544,0.267848,0.226835,0.237975,769.678589,596.304749,173.120728,173.120728,138.445969,127.056442,125.031639,140.723862,124.778534,107.567703,101.999496,130.346741,466.970398,129.334351,133.890152,39.230576,129.081238,43.786385,39.230576,73.399139,58.466209,79.473549,36.952671,22.019741,82.25766,17.463934,27.334852,60.491016,32.396862,32.143761,27.841053,28.094152,71.374336,32.649963,36.446468,17.717033,30.372057,70.868134,57.706909,57.706909,29.106556,37.965073,52.3918,21.51354,33.662365,57.20071,27.587952,16.957733,24.297646,31.890661,71.121239,26.322451,32.903061,19.994938,46.064289
12,ENST00000508266.1,0.726297,0.354839,0.001789,0.271914,0.495528,0.726297,1.0,0.227599,0.275986,0.241935,0.222222,726.296936,547.406067,177.101974,177.101974,118.067978,132.379242,109.123436,143.112701,135.957062,96.601074,105.545616,125.22361,432.915924,112.701256,121.645798,55.456173,112.701256,64.400719,55.456173,46.511627,62.611805,64.400719,37.567085,16.10018,75.134171,14.31127,42.933811,44.722717,44.722717,19.677996,35.778175,16.10018,66.189621,26.833632,50.089447,8.944544,51.878353,50.089447,46.511627,69.767441,35.778175,30.411449,55.456173,16.10018,25.044724,39.355991,51.878353,14.31127,28.62254,28.62254,55.456173,33.989265,35.778175,7.155635,41.144901
