,Seqname,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
0,ENST00000329743.3,0.699115,0.411243,0.0059,0.256637,0.525074,0.781711,1.0,0.292899,0.195266,699.115051,492.625366,203.539825,206.48967,150.442474,91.445427,141.592926,103.244835,339.233032,150.442474,126.843658,76.696167,153.392334,53.097343,76.696167,85.545723,41.297935,76.696167,47.197639,26.548672,44.247787,32.448376,14.749263,85.545723,38.348083,17.699116,50.147491,44.247787,41.297935,26.548672,32.448376,11.79941,14.749263
1,ENST00000332881.3,0.794197,0.321404,0.000675,0.242915,0.489204,0.738866,1.0,0.196489,0.251182,794.197021,632.928467,160.593796,160.593796,103.238869,120.107964,93.117409,130.90419,504.048584,128.205124,128.205124,32.388664,128.205124,32.388664,32.388664,56.680161,66.126854,53.306343,20.242914,29.68961,55.330635,22.267206,42.51012,51.956814,17.543859,23.616734,16.194332,37.786774,71.524963,29.014845,30.364372,23.616734,37.112011
2,ENST00000333139.3,0.709585,0.369547,0.000823,0.276018,0.519128,0.754833,0.999589,0.190123,0.21893,709.584534,524.886902,184.697662,184.697662,103.661041,100.78157,86.384201,118.058411,392.431091,132.45578,116.413002,67.873306,132.45578,52.241875,67.873306,53.887291,46.894283,33.730976,36.610447,32.908268,48.128342,32.496914,20.156315,46.894283,19.333607,20.156315,30.440147,41.546688,53.887291,30.440147,33.730976,22.213081,28.383381
3,ENST00000354376.3,0.681571,0.415792,0.000778,0.270218,0.520607,0.76633,1.0,0.279269,0.166472,681.57074,473.561432,207.620529,208.009338,148.911346,73.872475,130.24884,92.534996,330.482117,142.690506,131.026443,76.594093,143.079315,64.930016,76.594093,76.205284,39.269051,62.208397,53.654743,33.04821,35.769829,22.939346,15.163297,69.206841,42.379471,18.662519,47.045101,41.990669,46.267498,30.326593,15.940902,20.606531,14.774494
4,ENST00000360656.2,0.735786,0.350084,0.001672,0.240803,0.508361,0.744147,0.998328,0.224456,0.142379,735.78595,560.200684,175.585281,173.91304,122.073578,61.87291,102.006691,80.267555,434.782623,125.41806,113.712372,60.200668,123.745819,50.167225,60.200668,70.234116,33.444817,53.511707,41.806019,26.755854,16.722408,16.722408,28.428093,58.528427,35.117058,8.361204,33.444817,33.444817,43.47826,16.722408,20.066889,15.050167,30.100334
5,ENST00000364140.1,0.729231,0.382716,0.003077,0.233846,0.516923,0.763077,1.0,0.209877,0.228395,729.230774,535.384644,190.769226,190.769226,104.615387,113.846153,104.615387,113.846153,409.230774,123.07692,138.461533,52.307693,123.07692,67.692307,52.307693,58.46154,67.692307,36.923077,21.538462,46.153847,61.53846,40.0,12.307693,52.307693,33.846153,18.461538,33.846153,40.0,73.846153,12.307693,27.692308,33.846153,12.307693
6,ENST00000366188.2,0.743902,0.356968,0.002439,0.212195,0.446341,0.746341,1.0,0.239609,0.244499,743.902466,563.414612,178.048782,178.048782,124.390244,117.073174,114.634148,126.829269,439.024384,121.951218,109.756096,68.292686,124.390244,53.658535,68.292686,58.536587,60.975609,48.780487,48.780487,26.829268,70.731705,17.073172,29.268293,63.414635,26.829268,24.390244,39.024391,31.707317,58.536587,36.585365,31.707317,26.829268,24.390244
7,ENST00000366424.2,0.739183,0.371951,0.000609,0.25716,0.512492,0.758074,1.0,0.235366,0.203049,739.183411,552.711731,185.862274,185.862274,123.705055,95.67337,111.517365,107.251678,417.428406,134.673981,131.62706,54.235222,134.673981,51.188301,54.235222,65.81353,54.235222,53.625839,37.172455,32.906765,45.094456,30.469227,20.10969,57.282146,33.516148,20.719074,31.078611,39.00061,62.766605,24.375381,20.10969,26.81292,23.156612
8,ENST00000367276.8,0.707317,0.36228,0.004065,0.321138,0.586721,0.802168,1.0,0.265943,0.226594,707.317078,525.745239,180.216797,181.571823,150.406509,94.850952,115.176155,131.43631,387.533875,136.856369,111.111115,69.10569,138.21138,43.360435,70.460701,71.81572,39.295391,54.200542,59.620598,36.585365,59.620598,17.615175,17.615175,60.975609,36.585365,17.615175,54.200542,46.070461,50.135502,42.005421,37.94038,6.775068,25.745258
9,ENST00000367563.7,0.804054,0.290934,0.002703,0.254054,0.517568,0.77027,1.0,0.189445,0.223275,804.054077,658.108093,144.594589,145.945953,97.297295,108.108109,91.891891,114.864868,539.189209,117.567566,108.108109,36.486488,118.918922,27.027027,36.486488,62.162163,58.108109,45.945946,18.918919,32.432434,55.405407,25.675676,27.027027,52.702702,17.567568,21.621622,25.675676,32.432434,68.918922,17.567568,28.378378,20.270269,27.027027
