,A,ProII: Pseudo protein instability index,ProPI: Pseudo protein isoelectric point,ProAH: Pseudo protein average hydropathy,ProMW: Pseudo protein molecular weight,PPMFS: Pseudo protein PI-MW frame score
0,2FCX,0.0,0.0,0.0,0.0,0.0
1,1BYJ,0.0,0.0,0.0,0.0,0.0
2,1XPF,0.0,0.0,0.0,0.0,0.0
3,1AJU,0.0,0.0,0.0,0.0,0.0
4,2ET3,0.0,0.0,0.0,0.0,0.0
5,1LVJ,0.0,0.0,0.0,0.0,0.0
6,1NBK,0.0,0.0,0.0,0.0,0.0
7,2B57,24.74,10.859909,0.393333,1705.0998,2.198681
8,1EI2,0.0,0.0,0.0,0.0,0.0
9,1RAW,0.0,0.0,0.0,0.0,0.0
10,1TOB,0.0,0.0,0.0,0.0,0.0
11,1FYP,0.0,0.0,0.0,0.0,0.0
12,1QD3,0.0,0.0,0.0,0.0,0.0
13,2CKY,113.666667,5.275022,0.4,601.7159,2.060958
14,2OE8,0.0,0.0,0.0,0.0,0.0
15,2GDI,217.333333,5.275022,0.7,317.4044,1.786547
16,2BEE,0.0,0.0,0.0,0.0,0.0
17,1ZZ5,0.0,0.0,0.0,0.0,0.0
18,2F4U,0.0,0.0,0.0,0.0,0.0
19,1KOD,0.0,0.0,0.0,0.0,0.0
20,2BE0,0.0,0.0,0.0,0.0,0.0
21,2AU4,0.0,0.0,0.0,0.0,0.0
22,1Q8N,5.0,4.298131,-0.8,264.2987,1.795821
23,2OE5,0.0,0.0,0.0,0.0,0.0
24,1EI2,0.0,0.0,0.0,0.0,0.0
25,1NTA,0.0,0.0,0.0,0.0,0.0
26,2FCZ,0.0,0.0,0.0,0.0,0.0
27,1FUF,0.0,0.0,0.0,0.0,0.0
28,2BEE,0.0,0.0,0.0,0.0,0.0
29,1KOD,0.0,0.0,0.0,0.0,0.0
30,1YRJ,0.0,0.0,0.0,0.0,0.0
31,1PBR,0.0,0.0,0.0,0.0,0.0
32,1KOC,0.0,0.0,0.0,0.0,0.0
33,2PWT,0.0,0.0,0.0,0.0,0.0
34,2ET8,0.0,0.0,0.0,0.0,0.0
35,1LC4,0.0,0.0,0.0,0.0,0.0
36,1AJU,0.0,0.0,0.0,0.0,0.0
37,1O9M,0.0,0.0,0.0,0.0,0.0
38,2F4S,0.0,0.0,0.0,0.0,0.0
39,1FMN,42.128571,8.498045,-1.485714,891.0474,2.024704
40,2FD0,0.0,0.0,0.0,0.0,0.0
41,3D2X,113.666667,5.275022,0.4,601.7159,2.060958
42,2ET4,0.0,0.0,0.0,0.0,0.0
43,1NBK,0.0,0.0,0.0,0.0,0.0
44,1KOC,0.0,0.0,0.0,0.0,0.0
45,1XPF,0.0,0.0,0.0,0.0,0.0
46,1EHT,0.0,0.0,0.0,0.0,0.0
47,1Q8N,5.0,4.298131,-0.8,264.2987,1.795821
48,1F1T,5.0,4.298131,-0.8,264.2987,1.795821
49,1J7T,0.0,0.0,0.0,0.0,0.0
50,2BE0,0.0,0.0,0.0,0.0,0.0
51,1NTB,0.0,0.0,0.0,0.0,0.0
52,1J7T,0.0,0.0,0.0,0.0,0.0
53,1YKV,0.0,0.0,0.0,0.0,0.0
54,1MWL,0.0,0.0,0.0,0.0,0.0
55,2TOB,224.7,5.275022,0.55,236.2886,1.660807
56,2OGN,80.814286,11.429487,-0.172857,7833.0996,2.83654
57,1XBP,80.814286,11.429487,-0.172857,7833.0996,2.83654
58,1F27,0.0,0.0,0.0,0.0,0.0
59,2FD0,0.0,0.0,0.0,0.0,0.0
60,1NEM,0.0,0.0,0.0,0.0,0.0
61,1AM0,0.0,0.0,0.0,0.0,0.0
62,2G9C,24.74,10.859909,0.393333,1705.0998,2.198681
63,2TOB,224.7,5.275022,0.55,236.2886,1.660807
64,1AM0,0.0,0.0,0.0,0.0,0.0
65,2ESJ,0.0,0.0,0.0,0.0,0.0
66,2F4U,0.0,0.0,0.0,0.0,0.0
67,1F27,0.0,0.0,0.0,0.0,0.0
68,2GIS,25.96875,11.105404,-1.6625,2048.4405,2.268237
69,2ET8,0.0,0.0,0.0,0.0,0.0
70,1TOB,0.0,0.0,0.0,0.0,0.0
71,1Y27,40.526667,11.999968,0.166667,1788.1668,2.176133
72,1O15,0.0,0.0,0.0,0.0,0.0
73,2FCZ,0.0,0.0,0.0,0.0,0.0
74,1FYP,0.0,0.0,0.0,0.0,0.0
75,1NEM,0.0,0.0,0.0,0.0,0.0
76,1HNW,0.0,0.0,0.0,0.0,0.0
77,1Y26,18.933333,5.753209,0.291667,1462.7139,2.406954
78,2O3X,0.0,0.0,0.0,0.0,0.0
79,1PBR,0.0,0.0,0.0,0.0,0.0
80,3GX2,42.435714,4.136935,-0.135714,1510.7505,2.563702
81,1MWL,0.0,0.0,0.0,0.0,0.0
82,1Y26,18.933333,5.753209,0.291667,1462.7139,2.406954
83,3SUX,0.0,0.0,0.0,0.0,0.0
84,4FE5,24.74,10.859909,0.393333,1705.0998,2.198681
85,1F1T,5.0,4.298131,-0.8,264.2987,1.795821
86,2OE5,0.0,0.0,0.0,0.0,0.0
87,1BYJ,0.0,0.0,0.0,0.0,0.0
88,1FJG,54.056701,11.999968,-0.874227,10542.9254,2.944275
89,1EHT,0.0,0.0,0.0,0.0,0.0
