,Seqname,SLDLD: Structural logarithm distance to lncRNA of acguD,SLDPD: Structural logarithm distance to pcRNA of acguD,SLDRD: Structural logarithm distance acguD ratio,SLDLN: Structural logarithm distance to lncRNA of acguACGU,SLDPN: Structural logarithm distance to pcRNA of acguACGU,SLDRN: Structural logarithm distance acguACGU ratio,SDMFE: Secondary structural minimum free energy,SFPUS: Secondary structural UP frequency paired-unpaired
0,ENST00000329743.3,-0.695474,-0.762524,0.912069,-0.577617,-0.599939,0.962793,-137.8,0.109467
1,ENST00000332881.3,-0.081241,-0.082423,0.985658,-0.086348,-0.084426,1.022762,-353.9,0.105334
2,ENST00000333139.3,-0.065089,-0.070526,0.922911,-0.05486,-0.05491,0.999085,-725.2,0.109877
3,ENST00000354376.3,-0.047267,-0.060164,0.785644,-0.042969,-0.047124,0.911844,-1238.4,0.116686
4,ENST00000360656.2,-0.353893,-0.381758,0.927009,-0.239978,-0.25565,0.938698,-194.7,0.127303
5,ENST00000364140.1,-0.757139,-0.778312,0.972796,-0.561549,-0.566815,0.990709,-110.3,0.138889
6,ENST00000366188.2,-0.539406,-0.556767,0.968818,-0.36743,-0.370772,0.990985,-121.7,0.124694
7,ENST00000366424.2,-0.063869,-0.081662,0.782117,-0.071221,-0.075597,0.942113,-594.6,0.122561
8,ENST00000367276.8,-0.182245,-0.209911,0.868203,-0.193948,-0.203315,0.953926,-284.6,0.126187
9,ENST00000367563.7,-0.3005,-0.303499,0.990118,-0.232634,-0.225731,1.030584,-215.1,0.105548
10,gi|1000814511|ref|NM_001320453.1|,-0.259563,-0.271711,0.955288,-0.20395,-0.205275,0.993549,-259.9,0.113608
11,gi|1001184398|ref|NM_001320455.1|,-0.287632,-0.308692,0.931776,-0.191456,-0.197923,0.967327,-299.0,0.12069
12,gi|1002623418|ref|NM_001320679.1|,-0.017552,-0.024329,0.721449,-0.021422,-0.023441,0.913887,-1078.8,0.112651
13,gi|1006456381|ref|NM_001321205.1|,-0.067359,-0.079995,0.842045,-0.070287,-0.070798,0.992793,-555.1,0.114341
14,gi|1007378466|ref|NM_001321202.1|,-0.073113,-0.087159,0.838851,-0.075925,-0.075875,1.000656,-517.4,0.115465
15,gi|1010221562|ref|NM_001321553.1|,-0.296592,-0.298513,0.993565,-0.261175,-0.260366,1.003104,-147.2,0.104305
16,gi|1010223708|ref|NM_001321552.1|,-0.352865,-0.371955,0.948676,-0.234589,-0.245443,0.95578,-171.0,0.111722
17,gi|1012282594|ref|NM_001321706.1|,-0.341945,-0.393646,0.86866,-0.301339,-0.317296,0.949712,-205.2,0.100885
18,gi|1013071015|ref|NM_001025591.3|,-0.035404,-0.041598,0.8511,-0.035993,-0.037342,0.963878,-1092.7,0.110531
19,gi|1013071031|ref|NM_001321918.1|,-0.026093,-0.031745,0.821967,-0.057037,-0.056392,1.011432,-486.5,0.109061
