,A,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
0,2FCX,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
1,1BYJ,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
2,1XPF,0.73913,0.5,0.086957,0.26087,0.434783,0.782609,1.0,0.409091,0.181818,739.130432,478.260864,217.391312,260.869568,217.391312,43.47826,173.91304,130.434784,304.347839,130.434784,217.391312,0.0,173.91304,86.95652,0.0,43.47826,43.47826,173.91304,0.0,43.47826,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,86.95652,0.0,0.0,43.47826
3,1AJU,0.7,0.37931,0.033333,0.233333,0.4,0.666667,0.933333,0.172414,0.137931,700.0,500.0,200.0,166.666672,133.333328,33.333332,33.333332,100.0,366.666656,133.333328,100.0,100.0,100.0,66.666664,66.666664,133.333328,33.333332,0.0,100.0,33.333332,0.0,0.0,33.333332,33.333332,0.0,0.0,33.333332,66.666664,100.0,0.0,0.0,0.0,33.333332
4,2ET3,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
5,1LVJ,0.677419,0.433333,0.032258,0.225806,0.419355,0.677419,0.935484,0.166667,0.133333,677.419373,451.612915,225.806458,193.548386,129.032257,32.258064,32.258064,96.774193,290.322571,161.290329,129.032257,96.774193,129.032257,64.516129,64.516129,129.032257,32.258064,0.0,96.774193,32.258064,0.0,32.258064,0.0,32.258064,0.0,0.0,32.258064,96.774193,96.774193,0.0,0.0,0.0,0.0
6,1NBK,0.676471,0.393939,0.029412,0.205882,0.470588,0.647059,0.911765,0.212121,0.121212,676.470581,470.588226,205.882355,176.470581,88.235291,88.235291,117.647057,29.411764,323.529419,147.058823,147.058823,58.823528,117.647057,58.823528,29.411764,58.823528,88.235291,29.411764,0.0,58.823528,0.0,88.235291,0.0,88.235291,29.411764,0.0,29.411764,0.0,29.411764,0.0,0.0,58.823528,29.411764
7,2B57,0.769231,0.359375,0.015385,0.230769,0.476923,0.769231,0.984615,0.28125,0.359375,769.230774,584.615356,184.615387,169.230774,123.07692,200.0,153.846161,153.846161,461.538452,123.07692,123.07692,46.153847,107.692307,61.53846,46.153847,46.153847,76.92308,92.307693,30.76923,0.0,123.07692,46.153847,30.76923,46.153847,61.53846,46.153847,46.153847,15.384615,61.53846,15.384615,76.92308,15.384615,15.384615
8,1EI2,0.72,0.458333,0.04,0.2,0.4,0.68,0.96,0.333333,0.291667,720.0,480.0,240.0,200.0,160.0,160.0,160.0,120.0,320.0,160.0,160.0,40.0,120.0,80.0,40.0,40.0,80.0,120.0,40.0,0.0,120.0,40.0,0.0,40.0,80.0,40.0,0.0,0.0,40.0,40.0,40.0,40.0,0.0
9,1RAW,0.722222,0.371429,0.027778,0.166667,0.361111,0.638889,0.916667,0.228571,0.028571,722.222229,527.777771,194.444443,166.666672,138.888885,0.0,83.333336,27.777779,333.333344,194.444443,138.888885,55.555557,166.666672,0.0,27.777779,111.111115,0.0,27.777779,27.777779,83.333336,0.0,0.0,0.0,83.333336,0.0,0.0,27.777779,27.777779,0.0,27.777779,0.0,27.777779,0.0
10,1TOB,0.703704,0.5,0.037037,0.259259,0.444444,0.62963,0.925926,0.384615,0.192308,703.703674,444.444458,259.259247,222.222229,222.222229,74.074074,148.148148,111.111115,296.296295,148.148148,222.222229,37.037037,111.111115,111.111115,0.0,74.074074,37.037037,111.111115,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,74.074074,0.0,37.037037,37.037037
11,1FYP,0.666667,0.5,0.037037,0.185185,0.555556,0.740741,0.925926,0.346154,0.153846,666.666687,407.40741,259.259247,222.222229,148.148148,111.111115,185.185181,37.037037,259.259247,148.148148,185.185181,74.074074,111.111115,111.111115,37.037037,37.037037,74.074074,74.074074,74.074074,0.0,37.037037,74.074074,0.0,37.037037,111.111115,37.037037,0.0,0.0,37.037037,0.0,0.0,111.111115,0.0
12,1QD3,0.724138,0.392857,0.034483,0.241379,0.413793,0.689655,0.965517,0.178571,0.142857,724.137939,517.241394,206.896545,172.413788,137.93103,34.482758,34.482758,103.448273,413.793091,103.448273,103.448273,68.965515,103.448273,68.965515,68.965515,103.448273,34.482758,0.0,68.965515,34.482758,0.0,0.0,34.482758,34.482758,0.0,0.0,34.482758,68.965515,103.448273,0.0,0.0,0.0,34.482758
13,2CKY,0.779221,0.302632,0.012987,0.233766,0.506494,0.74026,0.987013,0.197368,0.210526,779.220764,623.376648,155.844162,142.857147,116.883118,90.909088,77.922081,116.883118,493.5065,129.870132,90.909088,51.948051,116.883118,25.974026,51.948051,51.948051,64.935066,51.948051,38.96104,25.974026,51.948051,25.974026,12.987013,51.948051,25.974026,0.0,12.987013,38.96104,51.948051,38.96104,25.974026,12.987013,25.974026
14,2OE8,0.6875,0.466667,0.0625,0.1875,0.5,0.6875,0.875,0.333333,0.266667,687.5,437.5,250.0,187.5,187.5,125.0,125.0,125.0,250.0,187.5,187.5,62.5,125.0,62.5,0.0,62.5,62.5,62.5,62.5,62.5,62.5,62.5,0.0,0.0,62.5,62.5,0.0,62.5,62.5,62.5,0.0,62.5,0.0
15,2GDI,0.7625,0.316456,0.0125,0.275,0.475,0.7625,0.9875,0.177215,0.265823,762.5,600.0,162.5,150.0,100.0,125.0,75.0,137.5,462.5,137.5,100.0,50.0,125.0,25.0,50.0,37.5,75.0,25.0,50.0,25.0,87.5,25.0,12.5,25.0,12.5,37.5,25.0,50.0,75.0,50.0,12.5,25.0,0.0
16,2BEE,0.636364,0.571429,0.090909,0.318182,0.590909,0.727273,0.954545,0.47619,0.190476,636.363647,363.636353,272.727264,272.727264,181.818176,136.363632,272.727264,45.454544,272.727264,90.909088,181.818176,45.454544,90.909088,181.818176,45.454544,0.0,90.909088,90.909088,45.454544,0.0,45.454544,90.909088,0.0,45.454544,181.818176,45.454544,45.454544,0.0,45.454544,0.0,0.0,90.909088,0.0
17,1ZZ5,0.428571,0.769231,0.142857,0.285714,0.357143,0.5,0.857143,0.692308,0.076923,428.571442,71.428574,357.142853,357.142853,285.714294,71.428574,357.142853,0.0,0.0,71.428574,214.285721,142.857147,71.428574,285.714294,71.428574,0.0,0.0,142.857147,142.857147,0.0,0.0,71.428574,0.0,0.0,285.714294,71.428574,71.428574,0.0,0.0,0.0,0.0,71.428574,0.0
18,2F4U,0.666667,0.55,0.047619,0.285714,0.571429,0.714286,0.952381,0.45,0.2,666.666687,380.952393,285.714294,238.095245,190.476196,142.857147,238.095245,47.619049,285.714294,95.238098,190.476196,47.619049,95.238098,142.857147,47.619049,0.0,95.238098,95.238098,47.619049,0.0,47.619049,95.238098,0.0,47.619049,142.857147,47.619049,47.619049,0.0,47.619049,0.0,0.0,95.238098,0.0
19,1KOD,0.785714,0.461538,0.071429,0.285714,0.5,0.642857,1.0,0.307692,0.230769,785.714294,500.0,214.285721,214.285721,142.857147,142.857147,142.857147,71.428574,428.571442,71.428574,214.285721,0.0,71.428574,71.428574,0.0,0.0,142.857147,71.428574,0.0,71.428574,0.0,71.428574,71.428574,71.428574,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,71.428574,71.428574
