,A,EipSP: Electron-ion interaction pseudopotential signal peak,EipAP: Electron-ion interaction pseudopotential average power,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EiPS2: Electron-ion interaction pseudopotential spectrum 0.5,EiPS3: Electron-ion interaction pseudopotential spectrum 0.75,EiPS4: Electron-ion interaction pseudopotential spectrum 1
0,2FCX,0.029528,0.329135,0.089714,0.029528,0.029528,0.029528,0.029528,0.029528
1,1BYJ,0.057148,0.372686,0.153339,0.057148,0.057148,0.057148,0.057148,0.057148
2,1XPF,0.019485,0.319756,0.060937,0.023783,0.023783,0.023783,0.023783,0.023783
3,1AJU,0.0527,0.403501,0.130608,0.057389,0.057389,0.057389,0.057389,0.057389
4,2ET3,0.064888,0.306093,0.211987,0.064888,0.064888,0.064888,0.064888,0.064888
5,1LVJ,0.055893,0.421457,0.132619,0.055893,0.055893,0.055893,0.055893,0.055893
6,1NBK,0.074707,0.471165,0.158557,0.076311,0.076311,0.076311,0.076311,0.076311
7,2B57,0.06442,0.946152,0.068086,0.142323,0.142323,0.142323,0.142323,0.142323
8,1EI2,0.019933,0.35748,0.05576,0.035368,0.035368,0.035368,0.035368,0.035368
9,1RAW,0.036418,0.470752,0.07736,0.096402,0.096402,0.096402,0.096402,0.096402
10,1TOB,0.029543,0.381932,0.077352,0.029543,0.029543,0.029543,0.029543,0.029543
11,1FYP,0.080619,0.363307,0.221904,0.080619,0.080619,0.080619,0.080619,0.080619
12,1QD3,0.03247,0.396871,0.081816,0.042146,0.042146,0.042146,0.042146,0.042146
13,2CKY,0.092553,1.035702,0.089363,0.16992,0.16992,0.16992,0.16992,0.16992
14,2OE8,0.02069,0.213977,0.096693,0.020836,0.020836,0.020836,0.020836,0.020836
15,2GDI,0.103505,1.110142,0.093235,0.191103,0.191103,0.191103,0.191103,0.191103
16,2BEE,0.064888,0.306093,0.211987,0.064888,0.064888,0.064888,0.064888,0.064888
17,1ZZ5,0.010303,0.222091,0.046392,0.010303,0.010303,0.010303,0.010303,0.010303
