,A,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
0,2FCX,0.565217,0.434783,0.409091,0.043478,0.347826,0.608696,0.782609,0.956522,0.086957,0.130435,0.304348,0.521739,1.0,565.217407,434.782623,347.82608,217.391312,173.91304,217.391312,217.391312,130.434784,43.47826,130.434784,130.434784,43.47826,130.434784,86.95652
1,1BYJ,0.481481,0.518519,0.423077,0.111111,0.259259,0.37037,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,481.481476,518.518494,259.259247,185.185181,222.222229,296.296295,148.148148,74.074074,37.037037,148.148148,111.111115,111.111115,185.185181,111.111115
2,1XPF,0.521739,0.478261,0.409091,0.043478,0.347826,0.652174,0.782609,0.956522,0.086957,0.173913,0.391304,0.478261,1.0,521.739136,478.260864,304.347839,217.391312,173.91304,260.869568,217.391312,86.95652,43.47826,130.434784,86.95652,86.95652,130.434784,130.434784
3,1AJU,0.433333,0.566667,0.586207,0.1,0.166667,0.433333,0.766667,1.0,0.033333,0.266667,0.5,0.733333,0.933333,433.333344,566.666687,133.333328,266.666656,300.0,266.666656,33.333332,66.666664,166.666672,100.0,100.0,200.0,133.333328,133.333328
4,2ET3,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
5,1LVJ,0.451613,0.548387,0.633333,0.096774,0.225806,0.451613,0.709677,1.0,0.032258,0.258065,0.516129,0.741935,0.935484,451.612915,548.387085,129.032257,290.322571,322.580658,225.806458,32.258064,64.516129,193.548386,96.774193,96.774193,225.806458,129.032257,96.774193
6,1NBK,0.5,0.5,0.575758,0.117647,0.352941,0.529412,0.823529,1.0,0.029412,0.147059,0.323529,0.676471,0.911765,500.0,500.0,205.882355,264.705872,294.117645,205.882355,117.647057,58.823528,176.470581,88.235291,88.235291,205.882355,117.647057,88.235291
7,2B57,0.492308,0.507692,0.515625,0.030769,0.2,0.461538,0.707692,1.0,0.015385,0.246154,0.492308,0.8,0.984615,492.307678,507.692322,230.769226,246.153839,261.538452,246.153839,107.692307,123.07692,123.07692,123.07692,123.07692,123.07692,123.07692,123.07692
8,1EI2,0.48,0.52,0.375,0.12,0.4,0.6,0.8,1.0,0.04,0.2,0.32,0.64,0.96,480.0,520.0,280.0,160.0,200.0,320.0,160.0,120.0,0.0,160.0,120.0,40.0,200.0,120.0
9,1RAW,0.472222,0.527778,0.485714,0.111111,0.277778,0.416667,0.777778,1.0,0.027778,0.194444,0.527778,0.694444,0.916667,472.222229,527.777771,222.222229,222.222229,250.0,277.777771,83.333336,111.111115,27.777779,194.444443,138.888885,111.111115,222.222229,55.555557
10,1TOB,0.481481,0.518519,0.5,0.111111,0.185185,0.555556,0.740741,1.0,0.037037,0.296296,0.407407,0.592593,0.925926,481.481476,518.518494,222.222229,222.222229,259.259247,259.259247,111.111115,74.074074,148.148148,74.074074,111.111115,148.148148,111.111115,148.148148
11,1FYP,0.444444,0.555556,0.5,0.111111,0.296296,0.407407,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,444.444458,555.555542,185.185181,222.222229,259.259247,296.296295,74.074074,74.074074,74.074074,148.148148,111.111115,148.148148,185.185181,111.111115
12,1QD3,0.413793,0.586207,0.607143,0.068966,0.137931,0.448276,0.724138,1.0,0.034483,0.275862,0.517241,0.758621,0.965517,413.793091,586.206909,103.448273,275.862061,310.344818,275.862061,34.482758,68.965515,172.413788,103.448273,68.965515,206.896545,103.448273,172.413788
13,2CKY,0.441558,0.558442,0.381579,0.051948,0.285714,0.493506,0.74026,1.0,0.012987,0.207792,0.506494,0.766234,0.987013,441.558441,558.441528,246.75325,181.818176,194.805191,363.636353,129.870132,116.883118,25.974026,155.844162,116.883118,64.935066,168.831161,194.805191
14,2OE8,0.4375,0.5625,0.6,0.25,0.4375,0.6875,0.875,1.0,0.0625,0.125,0.3125,0.625,0.8125,437.5,562.5,125.0,250.0,312.5,250.0,62.5,0.0,125.0,125.0,62.5,250.0,187.5,62.5
15,2GDI,0.4625,0.5375,0.518987,0.0375,0.3125,0.5,0.75,1.0,0.0125,0.2125,0.4625,0.7375,0.9875,462.5,537.5,200.0,250.0,262.5,275.0,87.5,112.5,87.5,162.5,112.5,137.5,175.0,100.0
16,2BEE,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
17,1ZZ5,0.785714,0.214286,0.307692,0.071429,0.428571,0.642857,0.785714,1.0,0.142857,0.142857,0.285714,0.285714,0.357143,785.714294,214.285721,571.428589,142.857147,142.857147,71.428574,500.0,0.0,71.428574,71.428574,71.428574,71.428574,71.428574,0.0
18,2F4U,0.52381,0.47619,0.45,0.095238,0.285714,0.428571,0.714286,1.0,0.047619,0.142857,0.571429,0.809524,0.952381,523.809509,476.190491,285.714294,190.476196,238.095245,238.095245,190.476196,95.238098,47.619049,142.857147,95.238098,95.238098,142.857147,95.238098
19,1KOD,0.357143,0.642857,0.538462,0.071429,0.071429,0.142857,0.785714,0.928571,0.214286,0.285714,0.428571,0.714286,1.0,357.142853,642.857117,71.428574,285.714294,214.285721,357.142853,0.0,71.428574,71.428574,142.857147,0.0,214.285721,142.857147,214.285721
20,2BE0,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
21,2AU4,0.390244,0.609756,0.375,0.097561,0.195122,0.634146,0.853659,1.0,0.02439,0.243902,0.390244,0.658537,0.926829,390.243896,609.756104,195.121948,170.731705,195.121948,414.634155,97.560974,73.170731,48.780487,121.951218,97.560974,97.560974,146.341461,268.292694
22,1Q8N,0.526316,0.473684,0.567568,0.078947,0.236842,0.526316,0.736842,1.0,0.026316,0.210526,0.447368,0.763158,0.947368,526.315796,473.684204,236.842102,263.157898,289.473694,184.210526,78.947365,131.578949,184.210526,78.947365,157.89473,131.578949,105.263161,78.947365
23,2OE5,0.588235,0.411765,0.4375,0.235294,0.294118,0.529412,0.882353,1.0,0.058824,0.117647,0.352941,0.647059,0.823529,588.235291,411.764709,352.941162,176.470581,235.294113,176.470581,176.470581,117.647057,117.647057,58.823528,176.470581,58.823528,117.647057,58.823528
24,1EI2,0.48,0.52,0.375,0.12,0.4,0.6,0.8,1.0,0.04,0.2,0.32,0.64,0.96,480.0,520.0,280.0,160.0,200.0,320.0,160.0,120.0,0.0,160.0,120.0,40.0,200.0,120.0
25,1NTA,0.555556,0.444444,0.470588,0.055556,0.222222,0.388889,0.722222,1.0,0.111111,0.166667,0.611111,0.777778,0.944444,555.555542,444.444458,277.777771,222.222229,222.222229,222.222229,222.222229,55.555557,55.555557,166.666672,55.555557,111.111115,166.666672,55.555557
26,2FCZ,0.565217,0.434783,0.409091,0.043478,0.347826,0.608696,0.782609,0.956522,0.086957,0.130435,0.304348,0.521739,1.0,565.217407,434.782623,347.82608,217.391312,173.91304,217.391312,217.391312,130.434784,43.47826,130.434784,130.434784,43.47826,130.434784,86.95652
27,1FUF,0.357143,0.642857,0.384615,0.285714,0.285714,0.571429,0.928571,1.0,0.071429,0.142857,0.357143,0.642857,0.785714,357.142853,642.857117,142.857147,142.857147,214.285721,428.571442,71.428574,0.0,0.0,142.857147,71.428574,142.857147,214.285721,214.285721
28,2BEE,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
29,1KOD,0.357143,0.642857,0.538462,0.071429,0.071429,0.142857,0.785714,0.928571,0.214286,0.285714,0.428571,0.714286,1.0,357.142853,642.857117,71.428574,285.714294,214.285721,357.142853,0.0,71.428574,71.428574,142.857147,0.0,214.285721,142.857147,214.285721
30,1YRJ,0.478261,0.521739,0.409091,0.173913,0.347826,0.478261,0.73913,1.0,0.043478,0.130435,0.565217,0.695652,0.956522,478.260864,521.739136,260.869568,173.91304,217.391312,304.347839,173.91304,86.95652,43.47826,130.434784,86.95652,86.95652,173.91304,130.434784
31,1PBR,0.481481,0.518519,0.423077,0.111111,0.259259,0.37037,0.777778,1.0,0.037037,0.185185,0.555556,0.666667,0.925926,481.481476,518.518494,259.259247,185.185181,222.222229,296.296295,148.148148,74.074074,37.037037,148.148148,111.111115,111.111115,185.185181,111.111115
32,1KOC,0.428571,0.571429,0.538462,0.071429,0.142857,0.214286,0.5,0.928571,0.285714,0.357143,0.571429,0.714286,1.0,428.571442,571.428589,142.857147,285.714294,214.285721,285.714294,71.428574,71.428574,71.428574,142.857147,0.0,214.285721,142.857147,142.857147
33,2PWT,0.52381,0.47619,0.45,0.095238,0.285714,0.428571,0.714286,1.0,0.047619,0.142857,0.571429,0.809524,0.952381,523.809509,476.190491,285.714294,190.476196,238.095245,238.095245,190.476196,95.238098,47.619049,142.857147,95.238098,95.238098,142.857147,95.238098
34,2ET8,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
35,1LC4,0.478261,0.521739,0.409091,0.173913,0.347826,0.478261,0.73913,1.0,0.043478,0.130435,0.565217,0.695652,0.956522,478.260864,521.739136,260.869568,173.91304,217.391312,304.347839,173.91304,86.95652,43.47826,130.434784,86.95652,86.95652,173.91304,130.434784
36,1AJU,0.433333,0.566667,0.586207,0.1,0.166667,0.433333,0.766667,1.0,0.033333,0.266667,0.5,0.733333,0.933333,433.333344,566.666687,133.333328,266.666656,300.0,266.666656,33.333332,66.666664,166.666672,100.0,100.0,200.0,133.333328,133.333328
37,1O9M,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
38,2F4S,0.52381,0.47619,0.45,0.095238,0.285714,0.428571,0.714286,1.0,0.047619,0.142857,0.571429,0.809524,0.952381,523.809509,476.190491,285.714294,190.476196,238.095245,238.095245,190.476196,95.238098,47.619049,142.857147,95.238098,95.238098,142.857147,95.238098
39,1FMN,0.457143,0.542857,0.558824,0.085714,0.371429,0.657143,0.857143,1.0,0.028571,0.171429,0.4,0.571429,0.942857,457.142853,542.857117,171.428574,257.142853,285.714294,257.142853,57.142857,85.714287,85.714287,171.428574,114.285713,171.428574,200.0,57.142857
40,2FD0,0.565217,0.434783,0.409091,0.043478,0.347826,0.608696,0.782609,0.956522,0.086957,0.130435,0.304348,0.521739,1.0,565.217407,434.782623,347.82608,217.391312,173.91304,217.391312,217.391312,130.434784,43.47826,130.434784,130.434784,43.47826,130.434784,86.95652
41,3D2X,0.441558,0.558442,0.381579,0.051948,0.285714,0.493506,0.74026,1.0,0.012987,0.207792,0.506494,0.766234,0.987013,441.558441,558.441528,246.75325,181.818176,194.805191,363.636353,129.870132,116.883118,25.974026,155.844162,116.883118,64.935066,168.831161,194.805191
42,2ET4,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
43,1NBK,0.5,0.5,0.575758,0.117647,0.352941,0.529412,0.823529,1.0,0.029412,0.147059,0.323529,0.676471,0.911765,500.0,500.0,205.882355,264.705872,294.117645,205.882355,117.647057,58.823528,176.470581,88.235291,88.235291,205.882355,117.647057,88.235291
44,1KOC,0.428571,0.571429,0.538462,0.071429,0.142857,0.214286,0.5,0.928571,0.285714,0.357143,0.571429,0.714286,1.0,428.571442,571.428589,142.857147,285.714294,214.285721,285.714294,71.428574,71.428574,71.428574,142.857147,0.0,214.285721,142.857147,142.857147
45,1XPF,0.521739,0.478261,0.409091,0.043478,0.347826,0.652174,0.782609,0.956522,0.086957,0.173913,0.391304,0.478261,1.0,521.739136,478.260864,304.347839,217.391312,173.91304,260.869568,217.391312,86.95652,43.47826,130.434784,86.95652,86.95652,130.434784,130.434784
46,1EHT,0.545455,0.454545,0.53125,0.090909,0.242424,0.454545,0.666667,1.0,0.030303,0.181818,0.575758,0.757576,0.969697,545.454529,454.545441,272.727264,242.42424,272.727264,181.818176,121.21212,151.515152,151.515152,90.909088,151.515152,90.909088,121.21212,60.60606
47,1Q8N,0.526316,0.473684,0.567568,0.078947,0.236842,0.526316,0.736842,1.0,0.026316,0.210526,0.447368,0.763158,0.947368,526.315796,473.684204,236.842102,263.157898,289.473694,184.210526,78.947365,131.578949,184.210526,78.947365,157.89473,131.578949,105.263161,78.947365
48,1F1T,0.526316,0.473684,0.567568,0.078947,0.236842,0.526316,0.736842,1.0,0.026316,0.210526,0.447368,0.763158,0.947368,526.315796,473.684204,236.842102,263.157898,289.473694,184.210526,78.947365,131.578949,184.210526,78.947365,157.89473,131.578949,105.263161,78.947365
49,1J7T,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
50,2BE0,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
51,1NTB,0.555556,0.444444,0.470588,0.055556,0.222222,0.388889,0.722222,1.0,0.111111,0.166667,0.611111,0.777778,0.944444,555.555542,444.444458,277.777771,222.222229,222.222229,222.222229,222.222229,55.555557,55.555557,166.666672,55.555557,111.111115,166.666672,55.555557
52,1J7T,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
53,1YKV,0.473684,0.526316,0.621622,0.105263,0.263158,0.526316,0.789474,1.0,0.026316,0.184211,0.447368,0.657895,0.973684,473.684204,526.315796,157.89473,289.473694,315.789459,210.526321,52.63158,105.263161,157.89473,131.578949,105.263161,184.210526,157.89473,52.63158
54,1MWL,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
55,2TOB,0.3,0.7,0.368421,0.05,0.1,0.5,0.7,0.9,0.15,0.3,0.45,0.65,1.0,300.0,700.0,100.0,200.0,150.0,500.0,0.0,100.0,0.0,200.0,50.0,100.0,150.0,300.0
56,2OGN,0.494792,0.505208,0.49149,0.001389,0.244097,0.493056,0.745486,1.0,0.000347,0.25625,0.504167,0.755556,0.999653,494.791656,505.208344,248.958328,245.486115,245.833328,259.375,126.041664,122.916664,115.972221,129.513885,122.916664,122.569443,129.861115,129.513885
57,1XBP,0.494792,0.505208,0.49149,0.001389,0.244097,0.493056,0.745486,1.0,0.000347,0.25625,0.504167,0.755556,0.999653,494.791656,505.208344,248.958328,245.486115,245.833328,259.375,126.041664,122.916664,115.972221,129.513885,122.916664,122.569443,129.861115,129.513885
58,1F27,0.727273,0.272727,0.4,0.090909,0.181818,0.363636,0.727273,1.0,0.545455,0.545455,0.636364,0.636364,0.909091,727.272705,272.727264,454.545441,181.818176,181.818176,90.909088,272.727264,181.818176,90.909088,90.909088,90.909088,0.0,90.909088,0.0
59,2FD0,0.565217,0.434783,0.409091,0.043478,0.347826,0.608696,0.782609,0.956522,0.086957,0.130435,0.304348,0.521739,1.0,565.217407,434.782623,347.82608,217.391312,173.91304,217.391312,217.391312,130.434784,43.47826,130.434784,130.434784,43.47826,130.434784,86.95652
60,1NEM,0.391304,0.608696,0.5,0.130435,0.173913,0.478261,0.826087,1.0,0.043478,0.26087,0.434783,0.695652,0.913043,391.304352,608.695679,130.434784,217.391312,260.869568,347.82608,0.0,86.95652,86.95652,130.434784,130.434784,130.434784,173.91304,173.91304
61,1AM0,0.475,0.525,0.282051,0.225,0.35,0.65,0.875,1.0,0.025,0.125,0.4,0.625,0.85,475.0,525.0,325.0,125.0,150.0,375.0,200.0,100.0,50.0,75.0,125.0,25.0,100.0,275.0
62,2G9C,0.492537,0.507463,0.5,0.044776,0.208955,0.462687,0.746269,1.0,0.014925,0.238806,0.492537,0.791045,0.970149,492.537323,507.462677,238.805969,238.805969,253.731339,253.731339,104.477615,119.402985,119.402985,119.402985,134.328354,119.402985,134.328354,119.402985
63,2TOB,0.3,0.7,0.368421,0.05,0.1,0.5,0.7,0.9,0.15,0.3,0.45,0.65,1.0,300.0,700.0,100.0,200.0,150.0,500.0,0.0,100.0,0.0,200.0,50.0,100.0,150.0,300.0
64,1AM0,0.475,0.525,0.282051,0.225,0.35,0.65,0.875,1.0,0.025,0.125,0.4,0.625,0.85,475.0,525.0,325.0,125.0,150.0,375.0,200.0,100.0,50.0,75.0,125.0,25.0,100.0,275.0
65,2ESJ,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
66,2F4U,0.52381,0.47619,0.45,0.095238,0.285714,0.428571,0.714286,1.0,0.047619,0.142857,0.571429,0.809524,0.952381,523.809509,476.190491,285.714294,190.476196,238.095245,238.095245,190.476196,95.238098,47.619049,142.857147,95.238098,95.238098,142.857147,95.238098
67,1F27,0.727273,0.272727,0.4,0.090909,0.181818,0.363636,0.727273,1.0,0.545455,0.545455,0.636364,0.636364,0.909091,727.272705,272.727264,454.545441,181.818176,181.818176,90.909088,272.727264,181.818176,90.909088,90.909088,90.909088,0.0,90.909088,0.0
68,2GIS,0.531915,0.468085,0.44086,0.031915,0.319149,0.510638,0.765957,1.0,0.010638,0.191489,0.446809,0.723404,0.968085,531.914917,468.085114,308.510651,212.765961,223.404251,244.680847,180.851059,117.021278,85.106384,127.659576,127.659576,95.744682,138.297867,106.38298
69,2ET8,0.545455,0.454545,0.47619,0.045455,0.272727,0.409091,0.727273,1.0,0.090909,0.181818,0.590909,0.818182,0.954545,545.454529,454.545441,272.727264,227.27272,227.27272,227.27272,181.818176,90.909088,90.909088,136.363632,90.909088,90.909088,136.363632,90.909088
