,A,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
0,ENST00000453875.5,0.535587,0.464413,0.490196,0.001779,0.238434,0.510676,0.740214,0.994662,0.003559,0.25089,0.483986,0.766904,1.0,535.587158,464.412811,290.035583,245.551605,243.772247,218.861206,160.142349,129.893234,126.334518,119.217079,129.893234,113.879005,117.437721,99.644127
1,ENST00000504748.1,0.474383,0.525617,0.425856,0.00759,0.233397,0.502846,0.757116,0.994307,0.001898,0.263757,0.487666,0.749526,1.0,474.383301,525.616699,261.859589,212.523712,212.523712,311.195435,134.724854,127.134727,70.208725,142.314987,127.134727,85.388992,142.314987,166.982925
2,ENST00000599755.5,0.539568,0.460432,0.449519,0.002398,0.266187,0.510791,0.779376,0.997602,0.004796,0.22542,0.484412,0.702638,1.0,539.568359,460.431641,314.148682,225.419662,223.021576,235.011993,199.040771,115.10791,100.719421,122.302155,115.10791,107.913666,122.302155,112.709831
3,ENST00000454129.5,0.494022,0.505978,0.44111,0.000451,0.253778,0.496278,0.745996,1.0,0.000226,0.245432,0.502369,0.754342,0.998872,494.022095,505.977905,273.404022,220.392517,220.618088,285.359802,150.462448,122.715996,97.9021,122.49041,122.941574,97.676514,122.49041,162.869385
4,ENST00000436656.5,0.480535,0.519465,0.457978,0.001217,0.256691,0.530414,0.761557,1.0,0.002433,0.245742,0.467153,0.729927,0.99635,480.535278,519.464722,250.608276,228.710464,228.710464,290.754272,116.788322,132.603409,97.323601,131.386856,133.819946,94.890511,131.386856,159.367401
5,ENST00000511893.1,0.470684,0.529316,0.4323,0.009772,0.270358,0.5,0.760586,1.0,0.001629,0.228013,0.483713,0.732899,0.988599,470.684052,529.315979,254.071655,214.983719,216.612381,312.703583,131.921829,120.521172,73.289902,141.693817,122.149834,94.46254,143.322479,169.381104
6,ENST00000414894.1,0.506849,0.493151,0.467033,0.010959,0.263014,0.49589,0.761644,0.99726,0.00274,0.216438,0.509589,0.747945,1.0,506.849304,493.150696,273.972595,232.876709,232.876709,257.534241,153.424652,120.547943,87.671234,142.465759,120.547943,112.328766,145.205475,112.328766
7,ENST00000602587.5,0.487136,0.512864,0.469072,0.001715,0.241852,0.4494,0.662093,0.998285,0.008576,0.269297,0.566038,0.801029,1.0,487.135498,512.864502,252.144089,234.991425,233.276154,277.873077,133.790741,118.353348,111.492279,121.783875,116.638077,116.638077,121.783875,156.089188
8,ENST00000584485.1,0.468974,0.531026,0.459976,0.00358,0.24463,0.49284,0.745823,1.0,0.001193,0.252983,0.50358,0.76253,0.998807,468.973755,531.026245,238.663483,229.116943,230.310257,300.716003,118.138428,120.525063,99.045349,130.071594,120.525063,108.591888,131.264923,169.45108
9,ENST00000444126.5,0.492725,0.507275,0.443745,0.000434,0.2519,0.499023,0.743974,1.0,0.000217,0.248208,0.500977,0.753094,0.998914,492.725311,507.274689,270.792603,221.71553,221.932678,285.34201,148.534195,122.04126,98.371338,123.344193,122.258415,99.674271,123.344193,161.997833
10,ENST00000628924.1,0.482187,0.517813,0.459068,0.000353,0.262081,0.512875,0.748501,0.999295,0.000705,0.236332,0.4903,0.75097,1.0,482.186951,517.813049,252.557312,229.629623,229.276901,288.183411,126.984123,125.573189,104.056435,125.573189,125.573189,103.703705,125.220459,162.610229
11,ENST00000563777.1,0.513794,0.486206,0.46481,0.000253,0.2531,0.50696,0.762845,1.0,0.001266,0.247026,0.49228,0.7388,0.999747,513.794006,486.206024,281.194641,232.346237,232.346237,253.859787,152.619583,128.575043,110.098709,122.247536,128.321945,103.771194,122.247536,131.612244
12,ENST00000508266.1,0.468694,0.531306,0.464158,0.001789,0.293381,0.527728,0.747764,0.987478,0.005367,0.200358,0.461538,0.754919,1.0,468.694092,531.305908,236.135956,232.558136,230.769226,298.747772,139.534882,96.601074,125.22361,107.334526,94.812164,135.957062,105.545616,191.413239
