,Seqname,MReCA: Molar refractivity composition of A,MReCB: Molar refractivity composition of B,MReAB: Molar refractivity transition between A and B,MReA0: Molar refractivity distribution of 0.00A,MReA1: Molar refractivity distribution of 0.25A,MReA2: Molar refractivity distribution of 0.50A,MReA3: Molar refractivity distribution of 0.75A,MReA4: Molar refractivity distribution of 1.00A,MReB0: Molar refractivity distribution of 0.00B,MReB1: Molar refractivity distribution of 0.25B,MReB2: Molar refractivity distribution of 0.50B,MReB3: Molar refractivity distribution of 0.75B,MReB4: Molar refractivity distribution of 1.00B,MRe: Molar refractivity0,MRe: Molar refractivity1,MRe: Molar refractivity00,MRe: Molar refractivity01,MRe: Molar refractivity10,MRe: Molar refractivity11,MRe: Molar refractivity000,MRe: Molar refractivity001,MRe: Molar refractivity010,MRe: Molar refractivity011,MRe: Molar refractivity100,MRe: Molar refractivity101,MRe: Molar refractivity110,MRe: Molar refractivity111
0,ENST00000329743.3,0.504425,0.495575,0.488166,0.0059,0.233038,0.477876,0.737463,1.0,0.00295,0.274336,0.522124,0.761062,0.99705,504.424774,495.575226,259.587006,241.887909,244.837753,250.737457,132.743362,126.843658,120.943954,120.943954,126.843658,115.04425,120.943954,129.793503
1,ENST00000332881.3,0.520918,0.479082,0.44767,0.00135,0.240216,0.526316,0.773279,1.0,0.000675,0.265182,0.477733,0.724696,0.997976,520.917664,479.082336,296.896088,223.346832,224.021591,255.06073,173.414307,122.807014,108.636978,114.709854,123.481781,100.53981,114.709854,140.350876
2,ENST00000333139.3,0.445496,0.554504,0.409053,0.003291,0.283011,0.528589,0.744138,0.999589,0.000411,0.227478,0.466886,0.754833,1.0,445.495667,554.504333,241.05307,204.442612,204.442612,349.65036,140.2715,100.78157,81.859314,122.171944,100.78157,103.661041,122.583298,227.067047
3,ENST00000354376.3,0.486781,0.513219,0.445741,0.000778,0.259331,0.49339,0.752722,0.998445,0.000389,0.243779,0.508942,0.747278,1.0,486.780701,513.219299,263.996887,222.783829,222.783829,290.046661,148.522552,115.474342,97.978226,124.805595,115.474342,107.309486,124.416794,165.241058
4,ENST00000360656.2,0.486622,0.513378,0.366834,0.001672,0.295987,0.583612,0.754181,0.993311,0.006689,0.229097,0.451505,0.73913,1.0,486.62207,513.37793,302.675598,183.946487,182.274246,329.431427,198.996658,103.678932,70.234116,113.712372,102.006691,80.267555,112.040131,215.71907
5,ENST00000364140.1,0.498462,0.501538,0.438272,0.003077,0.249231,0.529231,0.775385,1.0,0.012308,0.246154,0.430769,0.716923,0.990769,498.461548,501.538452,276.923065,218.461533,218.461533,283.076935,147.692307,126.153847,98.46154,120.0,126.153847,92.307693,120.0,163.07692
6,ENST00000366188.2,0.512195,0.487805,0.484108,0.002439,0.212195,0.429268,0.709756,1.0,0.004878,0.282927,0.565854,0.77561,0.992683,512.195129,487.804871,268.292694,241.463409,241.463409,246.341461,146.341461,119.512192,119.512192,121.951218,121.951218,119.512192,121.951218,124.390244
7,ENST00000366424.2,0.517367,0.482633,0.438415,0.000609,0.251066,0.521024,0.771481,0.998781,0.001219,0.242535,0.482633,0.733699,1.0,517.367432,482.632538,297.989044,219.378433,218.769043,263.25412,177.940277,120.048752,98.720291,120.658134,120.048752,98.720291,120.048752,142.595978
8,ENST00000367276.8,0.498645,0.501355,0.492537,0.004065,0.257453,0.53252,0.758808,1.0,0.001355,0.242547,0.457995,0.737127,0.998645,498.644989,501.355011,252.032516,245.257446,246.612473,254.742554,140.921402,111.111115,113.821136,131.43631,111.111115,134.146347,132.791321,121.951218
9,ENST00000367563.7,0.577027,0.422973,0.41272,0.004054,0.254054,0.498649,0.756757,1.0,0.001351,0.243243,0.5,0.739189,0.994595,577.027039,422.972961,370.270264,205.405411,206.75676,216.216217,248.648651,120.270271,101.351349,104.054054,121.62162,85.135132,105.405403,110.810814
