,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
0,ENST00000453875.5,0.697509,0.427807,0.001779,0.231317,0.505338,0.752669,1.0,0.455516,0.544484,0.509804,0.001779,0.27758,0.537367,0.784698,1.0,0.003559,0.231317,0.466192,0.725979,0.992883,0.28877,0.201426,0.204991,0.304813,697.508911,455.516022,544.484009,482.206421,213.523132,213.523132,199.288254,254.448395,254.448395,290.035583,135.231323,108.540924,153.024918,92.526688,87.188614,167.259781,117.437721,137.010681,345.19574,135.231323,145.907471,67.615662,137.010681,76.512459,67.615662,110.320282,87.188614,113.879005,140.569397,88.967972,165.480423,140.569397,149.466187,58.718861,58.718861,72.953735,37.366547,24.911032,40.925266,33.807831,33.807831,69.39502,58.718861,24.911032,44.483986,17.793594,49.822063,17.793594,24.911032,33.807831,33.807831,32.028469,55.160141,30.249111,39.145908,17.793594,83.62989,35.587189,48.042706,37.366547,30.249111,49.822063,44.483986,16.014235,51.601425,24.911032,60.498222,42.704628,37.366547
1,ENST00000504748.1,0.679317,0.418251,0.005693,0.254269,0.514231,0.759013,0.998102,0.354839,0.645161,0.558935,0.005693,0.250474,0.508539,0.755218,0.998102,0.001898,0.248577,0.495256,0.745731,1.0,0.13308,0.292776,0.288973,0.269962,679.316895,354.838715,645.161316,470.588226,208.728653,208.728653,75.901329,278.937378,278.937378,364.326385,51.233398,161.290329,81.593925,130.929794,110.056923,168.880463,178.368118,100.56926,314.990509,155.597717,129.032257,77.798859,155.597717,53.130928,79.696396,18.975332,56.925995,125.23719,151.802658,56.925995,222.011383,153.700195,210.62619,36.053131,106.261856,34.155598,3.795066,13.282732,51.233398,58.823528,51.233398,47.438332,7.590133,26.565464,9.487666,30.360531,94.876663,7.590133,28.462997,37.950665,49.335865,13.282732,43.643265,74.003792,24.667933,11.3852,51.233398,55.028461,60.721062,41.745731,58.823528,77.798859,43.643265,11.3852,15.180265,37.950665,47.438332,60.721062,37.950665
2,ENST00000599755.5,0.808153,0.295673,0.002398,0.261391,0.501199,0.764988,0.997602,0.561151,0.438849,0.550481,0.002398,0.266187,0.522782,0.76259,0.997602,0.009592,0.232614,0.443645,0.714628,1.0,0.242788,0.206731,0.3125,0.237981,808.153503,561.151062,438.848907,659.472412,148.681061,146.282974,285.371704,275.779388,273.381287,163.06955,117.505997,105.515587,124.700241,100.719421,141.486816,134.292572,170.263794,103.117508,541.966431,117.505997,117.505997,28.776978,115.10791,31.17506,28.776978,141.486816,143.884888,172.661865,100.719421,141.486816,131.894485,100.719421,62.350121,69.544365,52.757793,59.952038,28.776978,28.776978,47.961632,33.573143,23.980816,64.748199,26.378897,31.17506,35.971222,26.378897,57.553955,21.582733,21.582733,26.378897,26.378897,81.534775,62.350121,91.127098,38.369305,11.990408,81.534775,26.378897,23.980816,86.330933,40.767387,43.165466,47.961632,4.796163,55.155876,19.184652,28.776978,31.17506,16.786572
3,ENST00000454129.5,0.784796,0.320171,0.000451,0.265509,0.517934,0.762012,1.0,0.555155,0.444845,0.528204,0.000902,0.292578,0.540492,0.782089,1.0,0.000226,0.212046,0.443041,0.722084,0.999098,0.238944,0.202166,0.267374,0.26083,784.795837,555.154541,444.84549,624.633423,159.936844,160.162415,290.999329,263.929626,264.155212,180.690277,109.857887,110.760208,129.032257,91.360252,115.497406,148.43222,151.815933,112.339272,503.270935,121.136925,119.106697,40.830139,121.362511,38.799911,40.830139,167.606583,123.167152,152.718246,111.211372,123.392738,140.762466,111.436951,69.253326,62.260319,60.230091,55.041733,34.739452,20.076698,42.634785,33.611549,34.513874,70.155647,32.483646,26.392962,37.446426,20.979021,52.334763,15.113918,23.911572,36.544102,27.746447,55.041733,68.12542,77.374237,34.06271,4.060456,75.344009,34.288292,38.799911,68.576584,38.574329,44.665012,42.634785,6.090683,54.816151,21.881344,35.641777,31.806902,30.904579
4,ENST00000436656.5,0.762774,0.360536,0.001217,0.272506,0.514599,0.757908,1.0,0.577859,0.422141,0.542022,0.002433,0.288321,0.504866,0.73601,1.0,0.001217,0.211679,0.487835,0.766423,0.998783,0.282582,0.175396,0.235079,0.306943,762.773743,577.858887,422.141113,581.508545,180.04866,180.04866,306.569336,270.072998,271.289551,150.851578,135.036499,93.673965,147.20195,81.508514,96.107056,173.965942,138.686127,132.603409,436.739655,143.552307,131.386856,48.6618,143.552307,36.496349,48.6618,171.532852,135.036499,153.284668,116.788322,135.036499,135.036499,116.788322,34.063259,86.374695,45.012165,58.394161,48.6618,27.980536,36.496349,31.630171,25.547445,85.15815,30.413626,31.630171,54.744526,21.89781,46.22871,18.248175,17.03163,34.063259,21.89781,42.579075,92.45742,64.476883,25.547445,6.082725,88.807785,37.712894,47.445255,65.693428,26.76399,45.012165,35.279804,4.86618,69.343063,26.76399,36.496349,37.712894,38.92944
5,ENST00000511893.1,0.778502,0.340946,0.008143,0.276873,0.504886,0.760586,1.0,0.591205,0.408795,0.497553,0.008143,0.294788,0.514658,0.791531,1.0,0.001629,0.200326,0.470684,0.692182,0.990228,0.252855,0.179445,0.218597,0.278956,778.501648,591.2052,408.7948,607.491882,169.381104,171.009766,342.019531,247.557007,249.185669,159.609116,115.635178,100.977196,136.807816,78.175896,94.46254,153.094467,123.778503,125.407166,478.827362,127.035828,133.550491,35.83062,128.66449,42.345276,37.459282,213.355042,127.035828,146.579803,100.977196,128.66449,120.521172,102.605865,57.003258,87.947884,55.374592,48.859936,50.488598,16.286646,45.602608,27.687296,27.687296,87.947884,17.91531,30.944626,47.23127,16.286646,53.74593,9.771987,14.657981,40.716614,16.286646,57.003258,70.03257,60.260586,21.172638,13.029316,86.319221,35.83062,30.944626,60.260586,21.172638,42.345276,32.573292,8.143323,68.403908,16.286646,40.716614,30.944626,30.944626
6,ENST00000414894.1,0.772603,0.318681,0.005479,0.246575,0.50411,0.756164,0.99726,0.512329,0.487671,0.538462,0.005479,0.268493,0.558904,0.778082,0.99726,0.00274,0.241096,0.441096,0.720548,1.0,0.236264,0.230769,0.282967,0.255495,772.602722,512.328796,487.671234,613.698608,158.904114,158.904114,243.835617,268.493164,268.493164,216.438354,117.80822,115.068497,117.80822,115.068497,128.76712,139.726028,153.424652,115.068497,476.712341,136.986298,98.630135,57.534248,136.986298,21.917809,57.534248,112.328766,131.506851,134.246582,131.506851,131.506851,136.986298,131.506851,84.931503,73.972603,71.23288,57.534248,38.356163,21.917809,54.794521,13.69863,46.575344,63.013699,24.657534,27.397261,30.136986,19.178082,79.452057,19.178082,16.438356,30.136986,41.09589,73.972603,57.534248,76.712326,41.09589,10.958904,57.534248,35.61644,43.835617,60.273972,30.136986,63.013699,57.534248,2.739726,71.23288,24.657534,19.178082,19.178082,52.054794
7,ENST00000602587.5,0.809605,0.298969,0.001715,0.264151,0.512864,0.759863,1.0,0.566038,0.433962,0.582474,0.005146,0.269297,0.521441,0.778731,1.0,0.001715,0.231561,0.476844,0.70669,0.996569,0.228522,0.24055,0.328179,0.254296,809.605469,566.03772,433.96225,658.662109,149.228134,149.228134,274.442535,289.879944,291.595184,142.367065,96.054886,137.221268,132.07547,102.915955,147.512863,142.367065,180.102921,111.492279,540.308777,116.638077,116.638077,32.59005,116.638077,32.59005,32.59005,125.214409,147.512863,186.963974,102.915955,149.228134,142.367065,104.631218,37.735847,42.881645,78.902229,56.603775,25.728989,13.722127,60.034306,42.881645,34.305317,65.180099,36.020584,29.159519,36.020584,18.867924,56.603775,17.152658,29.159519,39.451115,24.013721,72.041168,75.471695,104.631218,36.020584,6.861063,82.332764,27.444254,32.59005,94.339622,51.457977,34.305317,46.31218,5.145798,54.888508,24.013721,32.59005,29.159519,24.013721
8,ENST00000584485.1,0.822196,0.265233,0.001193,0.264916,0.504773,0.750597,1.0,0.638425,0.361575,0.473118,0.001193,0.256563,0.504773,0.772076,1.0,0.004773,0.238663,0.491647,0.713604,0.997613,0.289128,0.170848,0.243728,0.229391,822.195679,638.424805,361.575165,688.544128,132.458237,132.458237,400.954651,236.276855,236.276855,125.298332,136.038193,94.272079,152.744629,76.372314,115.751793,120.525063,127.684967,108.591888,578.758972,108.591888,100.238663,32.21957,108.591888,23.866348,32.21957,266.109772,133.65155,149.164673,87.112175,133.65155,102.625298,87.112175,38.186157,75.179001,56.085918,70.405731,46.539379,17.899761,38.186157,29.832935,26.252983,82.338905,48.926014,21.479713,48.926014,16.706444,47.732697,11.933174,16.706444,33.412888,21.479713,69.21241,64.43914,76.372314,33.412888,5.966587,72.792366,15.513126,32.21957,68.019096,26.252983,33.412888,31.026253,9.546539,65.632462,20.286396,22.673031,20.286396,26.252983
9,ENST00000444126.5,0.783496,0.322546,0.000434,0.264495,0.517698,0.760912,1.0,0.55418,0.44582,0.530626,0.000434,0.286428,0.544625,0.781759,1.0,0.000217,0.22063,0.438219,0.721607,0.999131,0.239574,0.20417,0.268028,0.262598,783.496216,554.180237,445.819763,622.149841,161.129211,161.346359,288.816498,265.146576,265.363739,180.456024,110.314873,111.617805,129.207382,92.508141,115.743759,149.402817,152.225845,113.137894,500.325745,121.606949,120.086861,41.042347,121.824104,39.522259,41.042347,165.906616,122.692726,152.877304,112.269272,122.909882,142.453857,112.269272,68.186752,62.540718,60.803474,55.591747,34.093376,20.629751,44.08252,33.876221,33.659065,70.358307,32.138981,26.710098,36.916397,21.06406,52.985886,15.418024,24.104235,36.699242,27.361563,54.723125,67.969597,77.524429,34.093376,4.12595,75.352875,34.961998,39.087948,68.621063,38.436481,45.168297,41.910965,6.297503,54.288818,22.584148,36.264931,32.790443,31.270359
