,A,TraEA: Entropy density A on transcript,TraEC: Entropy density C on transcript,TraED: Entropy density D on transcript,TraEE: Entropy density E on transcript,TraEF: Entropy density F on transcript,TraEG: Entropy density G on transcript,TraEH: Entropy density H on transcript,TraEI: Entropy density I on transcript,TraEK: Entropy density K on transcript,TraEL: Entropy density L on transcript,TraEM: Entropy density M on transcript,TraEN: Entropy density N on transcript,TraEP: Entropy density P on transcript,TraEQ: Entropy density Q on transcript,TraER: Entropy density R on transcript,TraES: Entropy density S on transcript,TraET: Entropy density T on transcript,TraEV: Entropy density V on transcript,TraEW: Entropy density W on transcript,TraEY: Entropy density Y on transcript
0,2FCX,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
1,1BYJ,0.12923,0.0,0.0,0.12923,0.0,0.176925,0.0,0.0,0.0,0.0,0.0,0.0,0.12923,0.0,0.0,0.12923,0.12923,0.176925,0.0,0.0
2,1XPF,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
3,1AJU,0.11369,0.0,0.0,0.11369,0.0,0.158931,0.0,0.11369,0.0,0.11369,0.0,0.0,0.11369,0.11369,0.0,0.158931,0.0,0.0,0.0,0.0
4,2ET3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
5,1LVJ,0.119488,0.0,0.0,0.119488,0.0,0.163587,0.0,0.119488,0.0,0.119488,0.0,0.0,0.0,0.119488,0.0,0.119488,0.0,0.0,0.119488,0.0
6,1NBK,0.0,0.0,0.095952,0.095952,0.0,0.095952,0.0,0.095952,0.0,0.095952,0.0,0.0,0.095952,0.0,0.095952,0.136431,0.095952,0.095952,0.0,0.0
7,2B57,0.0,0.058655,0.058655,0.0,0.0,0.111434,0.058655,0.090167,0.058655,0.0,0.058655,0.0,0.058655,0.058655,0.090167,0.090167,0.090167,0.058655,0.0,0.058655
8,1EI2,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.2,0.15,0.0,0.0
9,1RAW,0.0,0.108571,0.0,0.0,0.108571,0.192003,0.0,0.0,0.108571,0.108571,0.0,0.108571,0.108571,0.0,0.156572,0.0,0.0,0.0,0.0,0.0
10,1TOB,0.12923,0.0,0.0,0.0,0.12923,0.12923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176925,0.12923,0.176925,0.0,0.0,0.12923
11,1FYP,0.192631,0.0,0.0,0.140702,0.0,0.192631,0.0,0.0,0.0,0.0,0.0,0.0,0.140702,0.0,0.0,0.140702,0.0,0.192631,0.0,0.0
12,1QD3,0.119488,0.0,0.0,0.119488,0.119488,0.119488,0.0,0.0,0.0,0.119488,0.0,0.0,0.119488,0.0,0.119488,0.163587,0.0,0.0,0.0,0.0
13,2CKY,0.099929,0.050569,0.0,0.050569,0.0,0.099929,0.0,0.0,0.050569,0.079359,0.050569,0.079359,0.079359,0.079359,0.079359,0.050569,0.050569,0.099929,0.0,0.0
14,2OE8,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333
15,2GDI,0.077048,0.049096,0.0,0.049096,0.049096,0.097019,0.049096,0.077048,0.077048,0.077048,0.049096,0.0,0.097019,0.0,0.0,0.049096,0.0,0.077048,0.049096,0.077048
16,2BEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
17,1ZZ5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0
18,2F4U,0.224588,0.0,0.0,0.0,0.0,0.0,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.275412,0.0,0.0,0.0,0.0
19,1KOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
20,2BE0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
21,2AU4,0.122453,0.083899,0.0,0.083899,0.0,0.122453,0.0,0.0,0.083899,0.083899,0.0,0.083899,0.0,0.0,0.0,0.083899,0.083899,0.083899,0.083899,0.0
22,1Q8N,0.175337,0.0,0.123314,0.0,0.0,0.123314,0.0,0.0,0.0,0.123314,0.123314,0.0,0.0,0.0,0.208091,0.123314,0.0,0.0,0.0,0.0
23,2OE5,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0
24,1EI2,0.0,0.0,0.0,0.0,0.15,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.2,0.15,0.0,0.0
25,1NTA,0.0,0.0,0.0,0.0,0.0,0.224588,0.275412,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.0,0.0,0.0,0.0,0.0
26,2FCZ,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
27,1FUF,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0
28,2BEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
29,1KOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.0
30,1YRJ,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0
31,1PBR,0.12923,0.0,0.0,0.12923,0.0,0.176925,0.0,0.0,0.0,0.0,0.0,0.0,0.12923,0.0,0.0,0.12923,0.12923,0.176925,0.0,0.0
32,1KOC,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
33,2PWT,0.224588,0.0,0.0,0.0,0.0,0.0,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.275412,0.0,0.0,0.0,0.0
34,2ET8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
35,1LC4,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0,0.142857,0.0,0.0,0.0,0.0,0.142857,0.0,0.142857,0.142857,0.0,0.0
36,1AJU,0.11369,0.0,0.0,0.11369,0.0,0.158931,0.0,0.11369,0.0,0.11369,0.0,0.0,0.11369,0.11369,0.0,0.158931,0.0,0.0,0.0,0.0
37,1O9M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
38,2F4S,0.224588,0.0,0.0,0.0,0.0,0.0,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.275412,0.0,0.0,0.0,0.0
39,1FMN,0.0,0.0,0.14875,0.0,0.0,0.106406,0.0,0.0,0.106406,0.106406,0.106406,0.0,0.0,0.106406,0.106406,0.0,0.106406,0.106406,0.0,0.0
40,2FD0,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
41,3D2X,0.099929,0.050569,0.0,0.050569,0.0,0.099929,0.0,0.0,0.050569,0.079359,0.050569,0.079359,0.079359,0.079359,0.079359,0.050569,0.050569,0.099929,0.0,0.0
42,2ET4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
43,1NBK,0.0,0.0,0.095952,0.095952,0.0,0.095952,0.0,0.095952,0.0,0.095952,0.0,0.0,0.095952,0.0,0.095952,0.136431,0.095952,0.095952,0.0,0.0
44,1KOC,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.0,0.0,0.0
45,1XPF,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
46,1EHT,0.101587,0.0,0.101587,0.0,0.0,0.144444,0.0,0.0,0.101587,0.101587,0.0,0.0,0.0,0.0,0.101587,0.144444,0.101587,0.101587,0.0,0.0
47,1Q8N,0.175337,0.0,0.123314,0.0,0.0,0.123314,0.0,0.0,0.0,0.123314,0.123314,0.0,0.0,0.0,0.208091,0.123314,0.0,0.0,0.0,0.0
48,1F1T,0.175337,0.0,0.123314,0.0,0.0,0.123314,0.0,0.0,0.0,0.123314,0.123314,0.0,0.0,0.0,0.208091,0.123314,0.0,0.0,0.0,0.0
49,1J7T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
50,2BE0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
51,1NTB,0.0,0.0,0.0,0.0,0.0,0.224588,0.275412,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.0,0.0,0.0,0.0,0.0
52,1J7T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
53,1YKV,0.115571,0.0,0.0,0.115571,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115571,0.166667,0.204382,0.0,0.0,0.0,0.115571
54,1MWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
55,2TOB,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
56,2OGN,0.060825,0.029736,0.039871,0.05725,0.028628,0.078522,0.029736,0.031894,0.062885,0.069953,0.0275,0.031894,0.066831,0.039871,0.093945,0.076897,0.054254,0.066831,0.025178,0.0275
57,1XBP,0.060825,0.029736,0.039871,0.05725,0.028628,0.078522,0.029736,0.031894,0.062885,0.069953,0.0275,0.031894,0.066831,0.039871,0.093945,0.076897,0.054254,0.066831,0.025178,0.0275
58,1F27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424672,0.0,0.0,0.0,0.0,0.0,0.0,0.575327,0.0,0.0,0.0,0.0
59,2FD0,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
60,1NEM,0.0,0.0,0.0,0.159044,0.159044,0.204782,0.0,0.0,0.159044,0.159044,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.0
61,1AM0,0.089489,0.089489,0.0,0.0,0.0,0.153478,0.0,0.0,0.0,0.089489,0.0,0.089489,0.089489,0.0,0.089489,0.089489,0.130611,0.089489,0.0,0.0
62,2G9C,0.112702,0.0,0.058777,0.0,0.058777,0.058777,0.09079,0.112702,0.0,0.0,0.058777,0.0,0.058777,0.0,0.058777,0.09079,0.0,0.058777,0.09079,0.09079
63,2TOB,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.0
64,1AM0,0.089489,0.089489,0.0,0.0,0.0,0.153478,0.0,0.0,0.0,0.089489,0.0,0.089489,0.089489,0.0,0.089489,0.089489,0.130611,0.089489,0.0,0.0
65,2ESJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
66,2F4U,0.224588,0.0,0.0,0.0,0.0,0.0,0.224588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275412,0.275412,0.0,0.0,0.0,0.0
67,1F27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.424672,0.0,0.0,0.0,0.0,0.0,0.0,0.575327,0.0,0.0,0.0,0.0
68,2GIS,0.119867,0.050937,0.0,0.102956,0.0,0.119867,0.0,0.0,0.0,0.080904,0.0,0.119867,0.050937,0.0,0.119867,0.102956,0.050937,0.080904,0.0,0.0
69,2ET8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.0,0.0,0.0,0.159044,0.0,0.159044,0.159044,0.159044,0.204782,0.0,0.0
70,1TOB,0.12923,0.0,0.0,0.0,0.12923,0.12923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176925,0.12923,0.176925,0.0,0.0,0.12923
71,1Y27,0.05399,0.0,0.05399,0.0,0.05399,0.083766,0.0,0.0,0.05399,0.083766,0.05399,0.083766,0.05399,0.0,0.104402,0.05399,0.05399,0.104402,0.05399,0.05399
72,1O15,0.101587,0.0,0.101587,0.0,0.0,0.144444,0.0,0.0,0.101587,0.101587,0.0,0.0,0.0,0.0,0.101587,0.144444,0.101587,0.101587,0.0,0.0
73,2FCZ,0.204782,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.159044,0.0,0.0,0.0,0.0,0.0,0.0,0.159044,0.159044,0.0,0.0
74,1FYP,0.192631,0.0,0.0,0.140702,0.0,0.192631,0.0,0.0,0.0,0.0,0.0,0.0,0.140702,0.0,0.0,0.140702,0.0,0.192631,0.0,0.0
