,A,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
0,1FFK_9,0.188525,0.147541,0.319672,0.344262,0.049587,0.123967,0.123967,0.099174,0.07438,0.190083,0.02459,0.360656,0.459016,0.655738,0.983607,0.008197,0.188525,0.45082,0.713115,0.918033,0.032787,0.172131,0.557377,0.721311,0.959016,0.04918,0.254098,0.5,0.803279,1.0
1,1FFK_0,0.259411,0.183436,0.304244,0.252909,0.085587,0.168778,0.125642,0.128381,0.101678,0.145156,0.002396,0.23306,0.488022,0.742642,0.999658,0.000342,0.271389,0.494867,0.746064,1.0,0.001027,0.24846,0.502053,0.753251,0.997604,0.001711,0.251198,0.511294,0.75154,0.999316
2,1FFK_9,0.188525,0.147541,0.319672,0.344262,0.049587,0.123967,0.123967,0.099174,0.07438,0.190083,0.02459,0.360656,0.459016,0.655738,0.983607,0.008197,0.188525,0.45082,0.713115,0.918033,0.032787,0.172131,0.557377,0.721311,0.959016,0.04918,0.254098,0.5,0.803279,1.0
3,1FFK_0,0.259411,0.183436,0.304244,0.252909,0.085587,0.168778,0.125642,0.128381,0.101678,0.145156,0.002396,0.23306,0.488022,0.742642,0.999658,0.000342,0.271389,0.494867,0.746064,1.0,0.001027,0.24846,0.502053,0.753251,0.997604,0.001711,0.251198,0.511294,0.75154,0.999316
4,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
5,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
6,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
7,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
8,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
9,1GIY_A,0.218107,0.14369,0.365912,0.272291,0.054889,0.161921,0.083019,0.110463,0.084391,0.176672,0.001715,0.241084,0.48251,0.713649,0.997942,0.001029,0.279492,0.515089,0.763374,0.999657,0.000343,0.237997,0.489712,0.748285,0.997599,0.001372,0.254115,0.518176,0.760631,1.0
