,A,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
0,ENST00000453875.5,0.293594,0.161922,0.302491,0.241993,0.067736,0.221034,0.12656,0.083779,0.078431,0.122995,0.001779,0.311388,0.565836,0.774021,0.994662,0.024911,0.215302,0.498221,0.857651,1.0,0.003559,0.261566,0.47153,0.745552,0.992883,0.007117,0.160142,0.425267,0.674377,0.989324
1,ENST00000504748.1,0.149905,0.204934,0.320683,0.324478,0.030418,0.102662,0.144487,0.1673,0.144487,0.148289,0.011385,0.172676,0.464896,0.724858,0.962049,0.005693,0.286528,0.557875,0.772296,0.998102,0.001898,0.229602,0.466793,0.726755,1.0,0.00759,0.256167,0.518027,0.762808,0.994307
2,ENST00000599755.5,0.292566,0.268585,0.191847,0.247002,0.125,0.117788,0.163462,0.120192,0.149038,0.057692,0.002398,0.297362,0.558753,0.779376,0.997602,0.004796,0.244604,0.486811,0.731415,0.990408,0.009592,0.194245,0.443645,0.685851,1.0,0.016787,0.254197,0.436451,0.764988,0.983213
3,ENST00000454129.5,0.264381,0.290774,0.215204,0.229641,0.112816,0.126128,0.124549,0.134702,0.142825,0.059341,0.001805,0.295285,0.546131,0.775096,1.0,0.000902,0.291676,0.538236,0.786826,0.998872,0.000226,0.209113,0.444845,0.714866,0.998647,0.000451,0.213174,0.439206,0.725468,0.999098
4,ENST00000436656.5,0.29562,0.282238,0.237226,0.184915,0.120585,0.161998,0.113276,0.144945,0.121803,0.053593,0.009732,0.287105,0.513382,0.727494,1.0,0.002433,0.291971,0.493917,0.73601,0.99635,0.008516,0.194647,0.451338,0.701946,0.991484,0.001217,0.240876,0.551095,0.804136,0.998783
5,ENST00000511893.1,0.283388,0.307818,0.221498,0.187296,0.137031,0.115824,0.101142,0.163132,0.117455,0.06199,0.011401,0.298046,0.526059,0.815961,1.0,0.008143,0.28013,0.504886,0.762215,0.988599,0.001629,0.188925,0.442997,0.697068,0.97557,0.009772,0.223127,0.473941,0.690554,0.990228
6,ENST00000414894.1,0.246575,0.265753,0.227397,0.260274,0.090659,0.145604,0.115385,0.10989,0.167582,0.063187,0.032877,0.345205,0.558904,0.819178,0.99726,0.005479,0.194521,0.528767,0.753425,0.983562,0.00274,0.260274,0.438356,0.736986,1.0,0.010959,0.235616,0.449315,0.649315,0.964384
7,ENST00000602587.5,0.243568,0.32247,0.190395,0.243568,0.099656,0.128866,0.132302,0.12543,0.195876,0.044674,0.005146,0.2247,0.404803,0.610635,0.998285,0.008576,0.315609,0.668954,0.843911,1.0,0.03259,0.197256,0.48199,0.672384,0.981132,0.001715,0.259005,0.476844,0.718696,0.996569
8,ENST00000584485.1,0.285203,0.353222,0.177804,0.183771,0.180406,0.108722,0.108722,0.120669,0.135006,0.035842,0.00358,0.202864,0.490453,0.77327,1.0,0.001193,0.28043,0.519093,0.76969,0.998807,0.004773,0.118138,0.468974,0.727924,0.997613,0.00716,0.281623,0.505967,0.702864,0.954654
9,ENST00000444126.5,0.263409,0.290771,0.216504,0.229316,0.112076,0.127498,0.123805,0.1351,0.144222,0.059948,0.000434,0.284908,0.541151,0.777199,1.0,0.000869,0.288599,0.547666,0.785016,0.998914,0.000217,0.212812,0.441694,0.70532,0.998697,0.000651,0.227796,0.437134,0.731596,0.999131
10,ENST00000628924.1,0.318871,0.307231,0.210582,0.163316,0.160903,0.157022,0.119619,0.132322,0.105857,0.035286,0.001411,0.22963,0.476896,0.728395,0.999295,0.000705,0.267725,0.493827,0.737919,1.0,0.005996,0.187302,0.484303,0.765785,0.99612,0.000353,0.338977,0.581305,0.77284,0.997884
11,ENST00000563777.1,0.243483,0.230321,0.255885,0.270311,0.078481,0.140253,0.123291,0.119494,0.148354,0.097722,0.000253,0.266262,0.578081,0.81144,0.998734,0.001266,0.302961,0.521134,0.730701,0.999747,0.001772,0.219944,0.457606,0.742091,0.998988,0.000759,0.240445,0.464186,0.705897,1.0
12,ENST00000508266.1,0.234347,0.273703,0.257603,0.234347,0.078853,0.130824,0.096774,0.112903,0.163082,0.091398,0.001789,0.336315,0.597496,0.740608,0.980322,0.005367,0.161002,0.509839,0.81932,0.996422,0.008945,0.241503,0.415027,0.618962,1.0,0.010733,0.259392,0.472272,0.751342,0.987478
13,ENST00000517774.1,0.130261,0.152305,0.326653,0.390782,0.01004,0.104418,0.106426,0.108434,0.144578,0.178715,0.004008,0.284569,0.569138,0.841683,0.981964,0.01002,0.276553,0.551102,0.821643,1.0,0.002004,0.176353,0.49499,0.729459,0.991984,0.022044,0.274549,0.46493,0.725451,0.995992
14,ENST00000454129.5,0.264381,0.290774,0.215204,0.229641,0.112816,0.126128,0.124549,0.134702,0.142825,0.059341,0.001805,0.295285,0.546131,0.775096,1.0,0.000902,0.291676,0.538236,0.786826,0.998872,0.000226,0.209113,0.444845,0.714866,0.998647,0.000451,0.213174,0.439206,0.725468,0.999098
15,ENST00000602498.1,0.198777,0.327217,0.235474,0.238532,0.088957,0.125767,0.082822,0.156442,0.196319,0.079755,0.039755,0.366972,0.623853,0.868502,1.0,0.009174,0.24159,0.507645,0.730887,0.996942,0.012232,0.201835,0.40367,0.685015,0.963303,0.003058,0.278287,0.48318,0.703364,0.993884
16,ENST00000476405.1,0.216035,0.21927,0.279113,0.285582,0.057315,0.146522,0.127109,0.125491,0.143749,0.116247,0.001617,0.238909,0.490065,0.772874,0.999769,0.000462,0.256238,0.507856,0.764787,1.0,0.001848,0.244917,0.465573,0.724122,0.997689,0.000231,0.269871,0.523799,0.744455,0.999076
17,ENST00000411861.5,0.195935,0.171654,0.317899,0.314512,0.040113,0.147458,0.144633,0.10226,0.127684,0.151412,0.000565,0.245624,0.525127,0.703557,1.0,0.001129,0.380011,0.614907,0.811406,0.996047,0.001694,0.196499,0.376059,0.65048,0.998306,0.003388,0.273857,0.5607,0.758329,0.998871
18,ENST00000560706.5,0.247357,0.226216,0.272727,0.2537,0.074153,0.148305,0.101695,0.122881,0.135593,0.105932,0.002114,0.247357,0.465116,0.655391,0.987315,0.010571,0.374207,0.589852,0.769556,1.0,0.006342,0.158562,0.410148,0.739958,0.997886,0.008457,0.262156,0.520085,0.801268,0.978858
19,ENST00000449589.5,0.287921,0.265449,0.248596,0.198034,0.104079,0.16737,0.127989,0.151899,0.113924,0.057665,0.011236,0.269663,0.498596,0.769663,0.997191,0.002809,0.247191,0.5,0.727528,1.0,0.009831,0.205056,0.484551,0.717697,0.98736,0.001404,0.273876,0.497191,0.79073,0.998596
20,ENST00000451786.5,0.267332,0.256776,0.243652,0.23224,0.11387,0.150685,0.113584,0.114441,0.131279,0.09218,0.000285,0.310414,0.569472,0.800856,0.999429,0.003138,0.30271,0.625678,0.817974,0.999715,0.000571,0.225107,0.421969,0.635378,0.997718,0.000856,0.196006,0.398288,0.661341,1.0
21,ENST00000499180.2,0.359413,0.227384,0.198044,0.215159,0.105392,0.178922,0.147059,0.085784,0.132353,0.044118,0.02445,0.244499,0.444988,0.738386,0.99511,0.00489,0.176039,0.530562,0.760391,0.91687,0.002445,0.327628,0.493888,0.753056,1.0,0.00978,0.264059,0.528117,0.728606,0.992665
22,ENST00000515108.1,0.255362,0.185536,0.272818,0.286284,0.052894,0.153194,0.137226,0.104291,0.121257,0.148204,0.004489,0.259352,0.482793,0.769077,0.999002,0.002494,0.358105,0.637905,0.809975,0.999501,0.000499,0.217955,0.463342,0.679302,0.998504,0.000998,0.225935,0.472319,0.735661,1.0
23,ENST00000508913.5,0.248377,0.194288,0.268282,0.289052,0.054545,0.148485,0.135498,0.104762,0.131602,0.141991,0.003894,0.248377,0.481177,0.774556,0.999135,0.002164,0.348334,0.59801,0.807875,0.999567,0.000433,0.211164,0.445262,0.691908,0.998702,0.000865,0.234963,0.487235,0.715707,1.0
24,ENST00000426529.6,0.293505,0.263262,0.228805,0.214427,0.112075,0.15398,0.131664,0.126209,0.130672,0.059757,0.001983,0.269955,0.529251,0.742439,0.999504,0.002975,0.290283,0.532474,0.77764,0.998513,0.000992,0.217898,0.467278,0.742687,1.0,0.000248,0.214675,0.453644,0.733763,0.999256
25,ENST00000382215.3,0.264142,0.210451,0.276606,0.248802,0.074341,0.184173,0.119904,0.108393,0.138609,0.083453,0.000479,0.300096,0.478907,0.710451,0.995686,0.003835,0.24976,0.463567,0.746884,0.999521,0.000959,0.264142,0.556568,0.7814,0.998082,0.002876,0.186961,0.476031,0.763183,1.0
26,ENST00000501008.2,0.263435,0.221812,0.293467,0.221286,0.084871,0.184502,0.093832,0.114391,0.111755,0.121771,0.010011,0.268177,0.613804,0.797155,1.0,0.001054,0.332455,0.572181,0.816649,0.999473,0.002107,0.224447,0.444152,0.695996,0.995785,0.000527,0.194942,0.39726,0.640148,0.997366
27,ENST00000438608.5,0.264762,0.194286,0.260952,0.28,0.068702,0.177481,0.145038,0.127863,0.122137,0.087786,0.007619,0.217143,0.48,0.744762,1.0,0.001905,0.24,0.472381,0.721905,0.982857,0.00381,0.230476,0.508571,0.727619,0.99619,0.019048,0.314286,0.518095,0.786667,0.998095
28,ENST00000398461.5,0.191483,0.235805,0.263615,0.309096,0.059983,0.123442,0.111562,0.134454,0.169516,0.094465,0.000579,0.207126,0.377173,0.664832,0.99971,0.000869,0.219003,0.461472,0.717265,0.999131,0.001448,0.280997,0.539108,0.763615,0.997972,0.00029,0.303592,0.572422,0.782155,1.0
29,ENST00000590274.1,0.244663,0.313629,0.215107,0.226601,0.103618,0.133224,0.111842,0.128289,0.159539,0.057566,0.011494,0.26601,0.507389,0.752053,0.995074,0.003284,0.372742,0.62069,0.827586,0.998358,0.001642,0.174056,0.395731,0.661741,1.0,0.004926,0.164204,0.402299,0.692939,0.988506
30,ENST00000413421.5,0.317191,0.284504,0.238499,0.159806,0.150303,0.157576,0.088485,0.146667,0.109091,0.052121,0.001211,0.29661,0.527845,0.786925,0.998789,0.007264,0.233656,0.53632,0.790557,1.0,0.004843,0.22276,0.427361,0.699758,0.987893,0.014528,0.230024,0.433414,0.696126,0.993947
31,ENST00000517675.1,0.237253,0.256449,0.265147,0.241152,0.093009,0.151515,0.10051,0.135614,0.139214,0.088509,0.0003,0.260948,0.502999,0.777744,1.0,0.0009,0.303839,0.563287,0.760348,0.9985,0.0012,0.180864,0.439712,0.707558,0.995801,0.0024,0.277145,0.492501,0.727654,0.9994
32,ENST00000602618.1,0.234542,0.283582,0.234542,0.247335,0.07906,0.121795,0.104701,0.17094,0.168803,0.057692,0.01919,0.236674,0.560768,0.739872,1.0,0.006397,0.251599,0.464819,0.759062,0.991471,0.012793,0.343284,0.533049,0.73774,0.993603,0.002132,0.151386,0.430704,0.727079,0.997868
33,ENST00000577163.1,0.224138,0.227586,0.275862,0.272414,0.062176,0.160622,0.129534,0.131261,0.151986,0.100173,0.017241,0.2,0.45,0.637931,0.991379,0.010345,0.365517,0.625862,0.848276,0.998276,0.003448,0.182759,0.453448,0.710345,1.0,0.001724,0.268966,0.482759,0.762069,0.996552
34,ENST00000487102.5,0.302234,0.310118,0.172142,0.215506,0.144737,0.119737,0.156579,0.118421,0.144737,0.052632,0.003942,0.295664,0.53088,0.763469,0.998686,0.010512,0.298292,0.574244,0.810775,0.997372,0.001314,0.127464,0.381078,0.65046,0.996058,0.011827,0.226018,0.441524,0.683311,1.0
