,A,ProII: Pseudo protein instability index,ProPI: Pseudo protein isoelectric point,ProAH: Pseudo protein average hydropathy,ProMW: Pseudo protein molecular weight,PPMFS: Pseudo protein PI-MW frame score
0,ENST00000453875.5,58.527273,9.777098,-1.356364,6647.6368,2.833096
1,ENST00000504748.1,60.433898,8.085963,0.286441,11815.5763,3.16502
2,ENST00000599755.5,37.747059,4.050028,1.011765,1807.1602,2.650511
3,ENST00000454129.5,72.319847,9.635912,-0.312214,15208.3515,3.198464
4,ENST00000436656.5,34.578462,9.435158,0.175385,7358.6355,2.892605
5,ENST00000511893.1,31.048485,9.300805,-0.657576,3905.4458,2.624183
6,ENST00000414894.1,58.078788,8.885371,-0.190909,3818.5326,2.63423
7,ENST00000602587.5,75.381111,11.999968,-0.206349,7270.5832,2.783105
8,ENST00000584485.1,26.1341,8.344095,0.75,11529.6283,3.14075
9,ENST00000444126.5,72.319847,9.635912,-0.312214,15208.3515,3.198464
10,ENST00000628924.1,39.868254,7.898812,0.136508,6679.6748,2.927707
11,ENST00000563777.1,68.981148,9.449985,-0.619672,13192.0149,3.145191
12,ENST00000508266.1,23.870588,9.800178,-0.477941,7456.7561,2.881886
13,ENST00000517774.1,52.014286,8.939718,0.025,3089.6374,2.539838
14,ENST00000454129.5,72.319847,9.635912,-0.312214,15208.3515,3.198464
15,ENST00000602498.1,38.8,9.186696,-0.026923,2957.4715,2.509108
16,ENST00000476405.1,53.977119,4.63223,-0.90678,14244.0061,3.487983
17,ENST00000411861.5,56.415234,11.808626,-0.859375,26446.9581,3.35037
18,ENST00000560706.5,53.595349,6.686675,0.132558,4542.1396,2.832689
19,ENST00000449589.5,30.018182,9.984299,0.972727,3785.7129,2.579974
20,ENST00000451786.5,55.153719,9.298549,-1.099174,12998.2544,3.14578
21,ENST00000499180.2,75.3275,5.449973,-0.1825,4372.9539,2.904921
22,ENST00000515108.1,38.050345,10.267251,-0.890345,15648.7067,3.183309
23,ENST00000508913.5,38.050345,10.267251,-0.890345,15648.7067,3.183309
24,ENST00000426529.6,85.99717,9.612446,-0.790566,12282.9506,3.106809
25,ENST00000382215.3,56.036735,9.141569,-0.52449,10998.5616,3.080676
26,ENST00000501008.2,78.627907,11.706508,-0.137209,9037.4169,2.888179
27,ENST00000438608.5,56.8,5.786062,-0.560494,9083.0364,3.196125
28,ENST00000398461.5,59.637162,6.569417,0.018919,15611.7759,3.376108
29,ENST00000590274.1,22.311765,7.791472,0.263235,7815.0004,3.001742
30,ENST00000413421.5,93.5835,11.655062,-0.796667,7306.5247,2.797888
31,ENST00000517675.1,58.695745,10.875059,-0.858511,10800.6126,2.997454
32,ENST00000602618.1,48.953333,8.36524,-1.333333,1873.1637,2.352032
33,ENST00000577163.1,62.898462,4.641665,0.232308,7425.4575,3.204321
34,ENST00000487102.5,51.866071,8.883759,-0.092857,6330.2885,2.853436
35,ENST00000541775.5,60.960714,9.858844,-0.335714,15163.0412,3.187243
36,ENST00000409898.2,75.065306,11.829707,-0.332653,5455.2189,2.664779
37,ENST00000577661.1,40.385,10.345902,-0.3175,4244.9055,2.614157
38,ENST00000547799.5,50.231068,9.727006,-0.417476,11229.8103,3.062769
39,ENST00000458228.5,37.894872,4.050028,0.710256,8360.6223,3.314991
