,A,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,2FCX,0.521739,0.782609,0.521739,0.26087,0.185306,0.147027,0.142915
1,1BYJ,0.666667,0.777778,0.666667,0.555556,0.023715,0.015685,0.014599
2,1XPF,0.565217,0.782609,0.521739,0.391304,0.097623,0.071454,0.064514
3,1AJU,0.666667,0.7,0.6,0.7,0.012756,0.011927,0.02025
4,2ET3,0.681818,0.681818,0.545455,0.818182,0.083874,0.083124,0.105595
5,1LVJ,0.677419,0.677419,0.580645,0.774194,0.04017,0.040936,0.051608
6,1NBK,0.647059,0.617647,0.529412,0.794118,0.072657,0.074928,0.086791
7,2B57,0.476923,0.461538,0.553846,0.415385,0.014608,0.016577,0.023379
8,1EI2,0.56,0.48,0.72,0.48,0.063373,0.084128,0.058747
9,1RAW,0.666667,0.583333,0.666667,0.75,0.033332,0.044193,0.041881
10,1TOB,0.592593,0.333333,0.777778,0.666667,0.191109,0.250546,0.216099
11,1FYP,0.703704,0.888889,0.666667,0.555556,0.065311,0.053654,0.054342
12,1QD3,0.62069,0.62069,0.724138,0.517241,0.029386,0.032159,0.019909
13,2CKY,0.571429,0.584416,0.545455,0.584416,0.001748,0.001709,0.003112
14,2OE8,0.6875,0.75,0.5625,0.75,0.050051,0.043779,0.077602
15,2GDI,0.55,0.525,0.45,0.675,0.04439,0.045366,0.050664
16,2BEE,0.681818,0.681818,0.545455,0.818182,0.083874,0.083124,0.105595
17,1ZZ5,0.714286,0.857143,0.857143,0.428571,0.155446,0.125596,0.088101
18,2F4U,0.666667,0.571429,0.857143,0.571429,0.091814,0.114559,0.088765
19,1KOD,0.571429,0.428571,0.642857,0.642857,0.088101,0.029918,0.027382
20,2BE0,0.681818,0.681818,0.545455,0.818182,0.083874,0.083124,0.105595
