,A,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
0,1FFK_9,0.532787,0.467213,0.438017,0.02459,0.295082,0.483607,0.778689,1.0,0.008197,0.180328,0.540984,0.721311,0.959016,532.786865,467.213104,311.475403,213.114761,221.311478,245.901642,188.524597,114.754097,114.754097,98.360657,122.950821,98.360657,106.557381,139.344269
1,1FFK_0,0.51232,0.48768,0.501198,0.001711,0.243326,0.500342,0.748118,0.999658,0.000342,0.254278,0.498289,0.751198,1.0,512.320312,487.679657,261.806976,250.513351,250.513351,236.824097,131.41684,130.390137,134.154694,116.016426,130.390137,120.123207,116.358658,120.465431
2,1FFK_9,0.532787,0.467213,0.438017,0.02459,0.295082,0.483607,0.778689,1.0,0.008197,0.180328,0.540984,0.721311,0.959016,532.786865,467.213104,311.475403,213.114761,221.311478,245.901642,188.524597,114.754097,114.754097,98.360657,122.950821,98.360657,106.557381,139.344269
3,1FFK_0,0.51232,0.48768,0.501198,0.001711,0.243326,0.500342,0.748118,0.999658,0.000342,0.254278,0.498289,0.751198,1.0,512.320312,487.679657,261.806976,250.513351,250.513351,236.824097,131.41684,130.390137,134.154694,116.016426,130.390137,120.123207,116.358658,120.465431
4,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
5,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
6,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
7,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
8,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
9,1GIY_A,0.490398,0.509602,0.477873,0.001372,0.251372,0.502058,0.743484,1.0,0.000343,0.249657,0.497942,0.751372,0.999657,490.397797,509.602203,251.371735,238.683121,239.026062,270.576141,126.543213,124.828529,118.312759,120.370369,124.828529,113.854599,120.713303,149.862823
10,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
11,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
12,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
13,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
14,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
15,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
16,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
17,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
18,1P85_0,0.482438,0.517562,0.472615,0.001722,0.240358,0.491391,0.734848,0.999311,0.000344,0.259642,0.504821,0.763774,1.0,482.438019,517.562012,246.212128,236.225891,236.225891,280.99173,119.490356,126.721764,107.093666,129.132233,126.721764,109.504135,129.132233,151.515152
19,2FTC_R,0.58801,0.41199,0.463306,0.000638,0.242985,0.478954,0.748087,1.0,0.001913,0.260204,0.535077,0.75574,0.999362,588.010193,411.989807,355.86734,231.505096,231.505096,180.484695,216.198975,139.668365,135.204086,96.301018,139.030609,91.836731,96.301018,84.18367
20,1GIY_B,0.504065,0.495935,0.45082,0.00813,0.227642,0.398374,0.593496,0.99187,0.02439,0.300813,0.626016,0.837398,1.0,504.065033,495.934967,276.42276,227.642273,219.512192,268.292694,162.601624,113.821136,97.560974,121.951218,105.691055,113.821136,121.951218,146.341461
21,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
22,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
23,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
24,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
25,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
26,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
27,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
28,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
29,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
30,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
31,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
32,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
33,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
34,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
35,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
36,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
37,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
38,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
39,1P85_9,0.491667,0.508333,0.470588,0.025,0.283333,0.475,0.758333,0.991667,0.008333,0.191667,0.541667,0.725,1.0,491.666656,508.333344,258.333344,233.333328,233.333328,266.666656,133.333328,125.0,100.0,125.0,125.0,108.333336,133.333328,133.333328
