,B,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
0,hsa.miR.222.3p,0.190476,0.285714,0.285714,0.238095,0.15,0.05,0.15,0.15,0.25,0.1,0.047619,0.047619,0.238095,0.333333,0.714286,0.190476,0.380952,0.47619,0.666667,1.0,0.095238,0.52381,0.571429,0.857143,0.952381,0.142857,0.142857,0.285714,0.619048,0.761905
1,hsa.miR.34c.5p,0.217391,0.304348,0.347826,0.130435,0.136364,0.227273,0.045455,0.272727,0.045455,0.136364,0.043478,0.043478,0.217391,0.608696,0.826087,0.304348,0.391304,0.565217,0.73913,0.913043,0.086957,0.130435,0.347826,0.652174,0.956522,0.173913,0.173913,0.695652,0.695652,1.0
2,hsa.miR.497.5p,0.190476,0.285714,0.285714,0.238095,0.0,0.1,0.3,0.3,0.05,0.1,0.095238,0.095238,0.238095,0.380952,0.47619,0.571429,0.666667,0.809524,0.857143,1.0,0.142857,0.285714,0.619048,0.714286,0.952381,0.047619,0.047619,0.190476,0.428571,0.52381
3,hsa.miR.17.5p,0.304348,0.217391,0.304348,0.173913,0.090909,0.181818,0.181818,0.227273,0.045455,0.090909,0.086957,0.130435,0.478261,0.565217,0.956522,0.26087,0.26087,0.391304,0.652174,0.913043,0.217391,0.304348,0.695652,0.826087,1.0,0.043478,0.043478,0.347826,0.521739,0.73913
4,hsa.miR.223.3p,0.272727,0.318182,0.136364,0.272727,0.095238,0.047619,0.190476,0.238095,0.095238,0.0,0.227273,0.590909,0.636364,0.681818,1.0,0.045455,0.136364,0.363636,0.409091,0.727273,0.090909,0.090909,0.272727,0.272727,0.454545,0.181818,0.545455,0.818182,0.863636,0.954545
5,hsa.miR.29b.3p,0.304348,0.347826,0.173913,0.173913,0.136364,0.136364,0.181818,0.181818,0.045455,0.045455,0.086957,0.217391,0.565217,0.608696,0.782609,0.043478,0.391304,0.478261,0.869565,1.0,0.130435,0.130435,0.521739,0.826087,0.913043,0.173913,0.173913,0.26087,0.304348,0.73913
6,hsa.miR.301a.3p,0.347826,0.26087,0.217391,0.173913,0.181818,0.136364,0.136364,0.227273,0.045455,0.090909,0.086957,0.304348,0.434783,0.826087,0.913043,0.173913,0.391304,0.521739,0.608696,0.73913,0.130435,0.130435,0.217391,0.695652,0.956522,0.043478,0.043478,0.26087,0.782609,1.0
7,hsa.miR.29b.3p,0.304348,0.347826,0.173913,0.173913,0.136364,0.136364,0.181818,0.181818,0.045455,0.045455,0.086957,0.217391,0.565217,0.608696,0.782609,0.043478,0.391304,0.478261,0.869565,1.0,0.130435,0.130435,0.521739,0.826087,0.913043,0.173913,0.173913,0.26087,0.304348,0.73913
8,hsa.miR.139.5p,0.173913,0.304348,0.217391,0.304348,0.045455,0.090909,0.227273,0.272727,0.227273,0.090909,0.173913,0.173913,0.26087,0.478261,0.913043,0.043478,0.130435,0.608696,0.695652,1.0,0.304348,0.304348,0.391304,0.652174,0.956522,0.086957,0.217391,0.521739,0.73913,0.869565
9,hsa.miR.106a.5p,0.347826,0.217391,0.304348,0.130435,0.090909,0.181818,0.136364,0.227273,0.045455,0.090909,0.043478,0.086957,0.173913,0.565217,0.956522,0.26087,0.26087,0.391304,0.652174,0.913043,0.217391,0.304348,0.695652,0.826087,1.0,0.347826,0.347826,0.521739,0.521739,0.73913
10,hsa.miR.20b.5p,0.304348,0.217391,0.304348,0.173913,0.136364,0.181818,0.136364,0.227273,0.090909,0.090909,0.086957,0.130435,0.478261,0.565217,0.956522,0.26087,0.26087,0.391304,0.652174,0.913043,0.217391,0.304348,0.695652,0.826087,1.0,0.043478,0.043478,0.347826,0.434783,0.73913
11,hsa.miR.876.5p,0.227273,0.409091,0.181818,0.181818,0.095238,0.095238,0.142857,0.190476,0.142857,0.0,0.181818,0.181818,0.681818,0.863636,1.0,0.045455,0.227273,0.318182,0.5,0.772727,0.090909,0.090909,0.136364,0.545455,0.636364,0.363636,0.363636,0.818182,0.909091,0.954545
12,hsa.miR.544a,0.227273,0.454545,0.136364,0.181818,0.142857,0.095238,0.095238,0.095238,0.142857,0.095238,0.045455,0.045455,0.363636,0.772727,0.818182,0.090909,0.136364,0.454545,0.590909,0.954545,0.272727,0.272727,0.681818,0.681818,0.863636,0.181818,0.181818,0.318182,0.727273,1.0
13,hsa.miR.24.3p,0.272727,0.181818,0.318182,0.227273,0.0,0.238095,0.238095,0.095238,0.142857,0.095238,0.318182,0.545455,0.681818,0.818182,0.954545,0.045455,0.045455,0.227273,0.409091,0.454545,0.090909,0.136364,0.590909,0.727273,1.0,0.181818,0.181818,0.272727,0.636364,0.909091
14,hsa.miR.3619.5p,0.181818,0.136364,0.409091,0.272727,0.0,0.190476,0.190476,0.142857,0.095238,0.238095,0.136364,0.136364,0.272727,0.454545,0.909091,0.045455,0.045455,0.636364,0.636364,0.772727,0.181818,0.318182,0.5,0.727273,0.954545,0.090909,0.227273,0.409091,0.590909,1.0
15,hsa.miR.148b.3p,0.272727,0.318182,0.181818,0.227273,0.047619,0.142857,0.285714,0.190476,0.142857,0.047619,0.136364,0.363636,0.5,0.590909,0.727273,0.045455,0.227273,0.818182,0.863636,1.0,0.181818,0.181818,0.272727,0.636364,0.954545,0.090909,0.090909,0.318182,0.545455,0.772727
16,hsa.miR.199b.5p,0.173913,0.391304,0.173913,0.26087,0.136364,0.136364,0.090909,0.227273,0.181818,0.0,0.173913,0.173913,0.478261,0.565217,0.695652,0.26087,0.347826,0.434783,0.826087,0.956522,0.217391,0.217391,0.304348,0.521739,0.869565,0.043478,0.086957,0.130435,0.608696,1.0
17,hsa.miR.29b.3p,0.304348,0.347826,0.173913,0.173913,0.136364,0.136364,0.181818,0.181818,0.045455,0.045455,0.086957,0.217391,0.565217,0.608696,0.782609,0.043478,0.391304,0.478261,0.869565,1.0,0.130435,0.130435,0.521739,0.826087,0.913043,0.173913,0.173913,0.26087,0.304348,0.73913
18,hsa.miR.26b.5p,0.333333,0.333333,0.238095,0.095238,0.2,0.2,0.1,0.1,0.1,0.0,0.190476,0.238095,0.428571,0.619048,0.857143,0.047619,0.095238,0.47619,0.52381,1.0,0.285714,0.285714,0.666667,0.904762,0.952381,0.142857,0.0,0.142857,0.571429,0.571429
19,hsa.miR.544a,0.227273,0.454545,0.136364,0.181818,0.142857,0.095238,0.095238,0.095238,0.142857,0.095238,0.045455,0.045455,0.363636,0.772727,0.818182,0.090909,0.136364,0.454545,0.590909,0.954545,0.272727,0.272727,0.681818,0.681818,0.863636,0.181818,0.181818,0.318182,0.727273,1.0
20,hsa.miR.450a.5p,0.181818,0.5,0.181818,0.136364,0.238095,0.047619,0.0,0.238095,0.095238,0.095238,0.363636,0.363636,0.818182,0.863636,0.954545,0.045455,0.136364,0.5,0.636364,1.0,0.227273,0.227273,0.318182,0.454545,0.545455,0.272727,0.272727,0.681818,0.681818,0.727273
21,hsa.miR.429,0.318182,0.318182,0.181818,0.181818,0.190476,0.0,0.095238,0.238095,0.142857,0.047619,0.090909,0.136364,0.681818,0.727273,0.818182,0.045455,0.181818,0.409091,0.5,1.0,0.363636,0.363636,0.545455,0.590909,0.954545,0.272727,0.272727,0.454545,0.863636,0.909091
22,hsa.miR.122.5p,0.181818,0.363636,0.409091,0.045455,0.047619,0.142857,0.095238,0.47619,0.0,0.0,0.181818,0.181818,0.454545,0.545455,0.590909,0.045455,0.272727,0.636364,0.863636,0.954545,0.090909,0.136364,0.318182,0.727273,1.0,0.5,0.0,0.0,0.5,0.5
23,hsa.miR.302a.3p,0.173913,0.434783,0.26087,0.130435,0.090909,0.090909,0.045455,0.318182,0.090909,0.045455,0.086957,0.086957,0.130435,0.521739,1.0,0.043478,0.217391,0.565217,0.73913,0.913043,0.173913,0.26087,0.608696,0.826087,0.956522,0.304348,0.304348,0.434783,0.434783,0.478261
24,hsa.miR.448,0.227273,0.363636,0.227273,0.181818,0.285714,0.095238,0.095238,0.238095,0.047619,0.047619,0.227273,0.227273,0.318182,0.636364,0.954545,0.045455,0.090909,0.363636,0.681818,1.0,0.136364,0.136364,0.409091,0.590909,0.727273,0.181818,0.181818,0.818182,0.863636,0.909091
25,hsa.miR.490.3p,0.227273,0.181818,0.272727,0.318182,0.047619,0.142857,0.190476,0.142857,0.190476,0.047619,0.090909,0.090909,0.136364,0.545455,0.772727,0.272727,0.272727,0.636364,0.818182,0.954545,0.318182,0.363636,0.454545,0.5,1.0,0.045455,0.181818,0.590909,0.681818,0.909091
26,hsa.miR.302d.3p,0.173913,0.434783,0.26087,0.130435,0.090909,0.136364,0.045455,0.363636,0.090909,0.045455,0.086957,0.086957,0.130435,0.521739,0.826087,0.043478,0.217391,0.565217,0.73913,1.0,0.173913,0.26087,0.608696,0.782609,0.956522,0.304348,0.304348,0.434783,0.434783,0.478261
27,hsa.miR.149.5p,0.043478,0.347826,0.173913,0.434783,0.0,0.0,0.090909,0.181818,0.409091,0.090909,0.782609,0.0,0.0,0.782609,0.782609,0.043478,0.130435,0.478261,0.652174,0.869565,0.173913,0.173913,0.217391,0.434783,0.521739,0.086957,0.26087,0.608696,0.913043,1.0
28,hsa.miR.491.5p,0.227273,0.181818,0.363636,0.227273,0.047619,0.190476,0.095238,0.142857,0.095238,0.0,0.045455,0.045455,0.363636,0.772727,0.909091,0.136364,0.136364,0.590909,0.636364,0.818182,0.090909,0.181818,0.272727,0.863636,1.0,0.454545,0.454545,0.5,0.681818,0.727273
29,hsa.miR.155.5p,0.25,0.375,0.291667,0.083333,0.26087,0.086957,0.0,0.173913,0.086957,0.086957,0.125,0.166667,0.375,0.416667,0.75,0.041667,0.083333,0.333333,0.708333,1.0,0.25,0.541667,0.791667,0.833333,0.916667,0.291667,0.0,0.291667,0.5,0.5
30,hsa.miR.122.5p,0.181818,0.363636,0.409091,0.045455,0.047619,0.142857,0.095238,0.47619,0.0,0.0,0.181818,0.181818,0.454545,0.545455,0.590909,0.045455,0.272727,0.636364,0.863636,0.954545,0.090909,0.136364,0.318182,0.727273,1.0,0.5,0.0,0.0,0.5,0.5
31,hsa.miR.302a.3p,0.173913,0.434783,0.26087,0.130435,0.090909,0.090909,0.045455,0.318182,0.090909,0.045455,0.086957,0.086957,0.130435,0.521739,1.0,0.043478,0.217391,0.565217,0.73913,0.913043,0.173913,0.26087,0.608696,0.826087,0.956522,0.304348,0.304348,0.434783,0.434783,0.478261
32,hsa.miR.302a.3p,0.173913,0.434783,0.26087,0.130435,0.090909,0.090909,0.045455,0.318182,0.090909,0.045455,0.086957,0.086957,0.130435,0.521739,1.0,0.043478,0.217391,0.565217,0.73913,0.913043,0.173913,0.26087,0.608696,0.826087,0.956522,0.304348,0.304348,0.434783,0.434783,0.478261
33,hsa.miR.302d.3p,0.173913,0.434783,0.26087,0.130435,0.090909,0.136364,0.045455,0.363636,0.090909,0.045455,0.086957,0.086957,0.130435,0.521739,0.826087,0.043478,0.217391,0.565217,0.73913,1.0,0.173913,0.26087,0.608696,0.782609,0.956522,0.304348,0.304348,0.434783,0.434783,0.478261
