A,B,Label
>1FFK_9,>1FFK_D,1
>1FFK_0,>1FFK_I,1
>1FFK_9,>1FFK_T,1
>1FFK_0,>1FFK_Z,1
>1GIY_A,>1GIY_C,1
>1GIY_A,>1GIY_D,1
>1GIY_A,>1GIY_K,1
>1GIY_A,>1GIY_L,1
>1GIY_A,>1GIY_N,1
>1GIY_A,>1GIY_S,1
>1P85_0,>1P85_H,1
>1P85_0,>1P85_I,1
>1P85_0,>1P85_K,1
>1P85_0,>1P85_N,1
>1P85_0,>1P85_R,1
>1P85_0,>1P85_S,1
>1P85_0,>1P85_W,1
>1P85_0,>1P85_X,1
>1P85_0,>1P85_1,1
>2FTC_R,>2FTC_A,1
>1GIY_B,>1GIY_X,0
>1P85_9,>1P85_A,0
>1P85_9,>1P85_B,0
>1P85_9,>1P85_C,0
>1P85_9,>1P85_D,0
>1P85_9,>1P85_E,0
>1P85_9,>1P85_G,0
>1P85_9,>1P85_H,0
>1P85_9,>1P85_I,0
>1P85_9,>1P85_J,0
>1P85_9,>1P85_K,0
>1P85_9,>1P85_L,0
>1P85_9,>1P85_M,0
>1P85_9,>1P85_N,0
>1P85_9,>1P85_O,0
>1P85_9,>1P85_Q,0
>1P85_9,>1P85_R,0
>1P85_9,>1P85_S,0
>1P85_9,>1P85_W,0
>1P85_9,>1P85_X,0
