A,B,Label
>ENST00000453875.5,>hsa.miR.222.3p,1
>ENST00000504748.1,>hsa.miR.34c.5p,1
>ENST00000599755.5,>hsa.miR.497.5p,1
>ENST00000454129.5,>hsa.miR.17.5p,1
>ENST00000436656.5,>hsa.miR.223.3p,1
>ENST00000511893.1,>hsa.miR.29b.3p,1
>ENST00000414894.1,>hsa.miR.301a.3p,1
>ENST00000602587.5,>hsa.miR.29b.3p,1
>ENST00000584485.1,>hsa.miR.139.5p,1
>ENST00000444126.5,>hsa.miR.106a.5p,1
>ENST00000628924.1,>hsa.miR.20b.5p,1
>ENST00000563777.1,>hsa.miR.876.5p,1
>ENST00000508266.1,>hsa.miR.544a,1
>ENST00000517774.1,>hsa.miR.24.3p,1
>ENST00000454129.5,>hsa.miR.3619.5p,1
>ENST00000602498.1,>hsa.miR.148b.3p,1
>ENST00000476405.1,>hsa.miR.199b.5p,1
>ENST00000411861.5,>hsa.miR.29b.3p,1
>ENST00000560706.5,>hsa.miR.26b.5p,1
>ENST00000449589.5,>hsa.miR.544a,1
>ENST00000451786.5,>hsa.miR.450a.5p,0
>ENST00000499180.2,>hsa.miR.429,0
>ENST00000515108.1,>hsa.miR.122.5p,0
>ENST00000508913.5,>hsa.miR.302a.3p,0
>ENST00000426529.6,>hsa.miR.448,0
>ENST00000382215.3,>hsa.miR.490.3p,0
>ENST00000501008.2,>hsa.miR.302d.3p,0
>ENST00000438608.5,>hsa.miR.149.5p,0
>ENST00000398461.5,>hsa.miR.491.5p,0
>ENST00000590274.1,>hsa.miR.155.5p,0
>ENST00000413421.5,>hsa.miR.122.5p,0
>ENST00000517675.1,>hsa.miR.302a.3p,0
>ENST00000602618.1,>hsa.miR.302a.3p,0
>ENST00000577163.1,>hsa.miR.302d.3p,0
>ENST00000487102.5,>hsa.miR.505.3p,0
>ENST00000541775.5,>hsa.miR.302d.3p,0
>ENST00000409898.2,>hsa.miR.149.5p,0
>ENST00000577661.1,>hsa.miR.496,0
>ENST00000547799.5,>hsa.miR.192.5p,0
>ENST00000458228.5,>hsa.miR.491.5p,0
