,A,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
0,1FFK_9,0.852459,0.22314,0.02459,0.262295,0.5,0.754098,1.0,0.247934,0.173554,0.123967,0.31405,852.459045,737.704895,106.557381,114.754097,114.754097,90.163933,131.147537,81.967216,49.180328,163.934433,73.770493,147.540985,631.147522,98.360657,81.967216,24.590164,106.557381,8.196721,32.786884,90.163933,57.377048,73.770493,24.590164,16.393442,49.180328,16.393442,24.590164,81.967216,24.590164,24.590164,32.786884,8.196721,73.770493,0.0,8.196721,24.590164,24.590164,32.786884,81.967216,32.786884,0.0,16.393442,81.967216,32.786884,49.180328,49.180328,8.196721,16.393442,24.590164,16.393442,73.770493,8.196721,65.573769,16.393442,49.180328
1,1FFK_0,0.816564,0.315645,0.001027,0.246407,0.501369,0.750513,0.999658,0.29442,0.230058,0.187265,0.313934,816.564026,658.795349,157.768646,157.768646,145.448318,116.70089,148.870636,113.27858,91.718002,158.795349,95.482544,155.030807,532.854187,125.941139,135.523621,21.902807,125.941139,31.827515,22.245037,81.451057,61.601643,79.055443,42.436687,23.956194,72.553047,28.405203,15.742642,83.504448,35.59206,29.774128,42.778919,24.982889,59.548256,28.405203,25.325119,27.036276,15.742642,47.570156,82.819984,48.596851,12.320329,30.45859,85.557838,31.143053,42.094456,46.543465,17.453798,31.485285,13.004791,31.143053,83.84668,26.694046,44.490074,33.880905,38.32991
2,1FFK_9,0.852459,0.22314,0.02459,0.262295,0.5,0.754098,1.0,0.247934,0.173554,0.123967,0.31405,852.459045,737.704895,106.557381,114.754097,114.754097,90.163933,131.147537,81.967216,49.180328,163.934433,73.770493,147.540985,631.147522,98.360657,81.967216,24.590164,106.557381,8.196721,32.786884,90.163933,57.377048,73.770493,24.590164,16.393442,49.180328,16.393442,24.590164,81.967216,24.590164,24.590164,32.786884,8.196721,73.770493,0.0,8.196721,24.590164,24.590164,32.786884,81.967216,32.786884,0.0,16.393442,81.967216,32.786884,49.180328,49.180328,8.196721,16.393442,24.590164,16.393442,73.770493,8.196721,65.573769,16.393442,49.180328
3,1FFK_0,0.816564,0.315645,0.001027,0.246407,0.501369,0.750513,0.999658,0.29442,0.230058,0.187265,0.313934,816.564026,658.795349,157.768646,157.768646,145.448318,116.70089,148.870636,113.27858,91.718002,158.795349,95.482544,155.030807,532.854187,125.941139,135.523621,21.902807,125.941139,31.827515,22.245037,81.451057,61.601643,79.055443,42.436687,23.956194,72.553047,28.405203,15.742642,83.504448,35.59206,29.774128,42.778919,24.982889,59.548256,28.405203,25.325119,27.036276,15.742642,47.570156,82.819984,48.596851,12.320329,30.45859,85.557838,31.143053,42.094456,46.543465,17.453798,31.485285,13.004791,31.143053,83.84668,26.694046,44.490074,33.880905,38.32991
4,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
5,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
6,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
7,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
8,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
9,1GIY_A,0.85631,0.249743,0.000343,0.246228,0.497257,0.747942,1.0,0.24494,0.194854,0.13928,0.338593,856.309998,731.13855,124.828529,124.828529,117.969818,101.851852,126.886147,92.935532,69.958847,168.724274,69.27298,169.753082,621.742126,109.396431,109.053497,15.775034,109.053497,15.432098,15.775034,78.189301,72.702332,65.157753,37.722908,15.089163,66.186554,21.604939,14.060357,93.621399,17.832647,15.432098,44.924553,15.089163,56.927299,21.947874,13.717422,16.803841,11.659808,34.63649,90.192047,34.63649,7.887517,27.434843,83.67627,22.976681,62.071331,39.437584,9.259259,20.233196,8.916324,26.063101,85.390945,26.063101,58.299038,25.720165,60.013718
