,A,TraEA: Entropy density A on transcript,TraEC: Entropy density C on transcript,TraED: Entropy density D on transcript,TraEE: Entropy density E on transcript,TraEF: Entropy density F on transcript,TraEG: Entropy density G on transcript,TraEH: Entropy density H on transcript,TraEI: Entropy density I on transcript,TraEK: Entropy density K on transcript,TraEL: Entropy density L on transcript,TraEM: Entropy density M on transcript,TraEN: Entropy density N on transcript,TraEP: Entropy density P on transcript,TraEQ: Entropy density Q on transcript,TraER: Entropy density R on transcript,TraES: Entropy density S on transcript,TraET: Entropy density T on transcript,TraEV: Entropy density V on transcript,TraEW: Entropy density W on transcript,TraEY: Entropy density Y on transcript
0,1FFK_9,0.099092,0.0,0.0,0.064626,0.0,0.137861,0.099092,0.0,0.039853,0.039853,0.0,0.0,0.099092,0.039853,0.099092,0.122173,0.039853,0.039853,0.039853,0.039853
1,1FFK_0,0.066455,0.035996,0.042384,0.053621,0.020899,0.079796,0.035031,0.042384,0.04325,0.062653,0.019652,0.038808,0.059316,0.046608,0.087318,0.072912,0.070636,0.070055,0.023309,0.028917
2,1FFK_9,0.099092,0.0,0.0,0.064626,0.0,0.137861,0.099092,0.0,0.039853,0.039853,0.0,0.0,0.099092,0.039853,0.099092,0.122173,0.039853,0.039853,0.039853,0.039853
3,1FFK_0,0.066455,0.035996,0.042384,0.053621,0.020899,0.079796,0.035031,0.042384,0.04325,0.062653,0.019652,0.038808,0.059316,0.046608,0.087318,0.072912,0.070636,0.070055,0.023309,0.028917
4,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
5,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
6,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
7,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
8,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
9,1GIY_A,0.081603,0.019717,0.032158,0.065734,0.012224,0.107482,0.027483,0.025008,0.050844,0.058268,0.016862,0.031021,0.092541,0.043559,0.100545,0.073157,0.054235,0.067141,0.029863,0.010555
10,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
11,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
12,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
13,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
14,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
15,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
16,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
17,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
18,1P85_0,0.06452,0.043318,0.035835,0.053968,0.02738,0.078035,0.026237,0.034838,0.054723,0.068323,0.026237,0.048436,0.059093,0.038739,0.089537,0.067704,0.06049,0.06452,0.030686,0.02738
19,2FTC_R,0.046972,0.024199,0.034665,0.041965,0.040212,0.032707,0.028601,0.066537,0.077734,0.079758,0.016859,0.075642,0.068932,0.050121,0.076696,0.077734,0.068932,0.040212,0.016859,0.034665
20,1GIY_B,0.05954,0.036717,0.05954,0.077119,0.0,0.112558,0.05954,0.0,0.0,0.036717,0.0,0.036717,0.077119,0.036717,0.120503,0.077119,0.077119,0.036717,0.05954,0.036717
21,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
22,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
23,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
24,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
25,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
26,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
27,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
28,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
29,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
30,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
31,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
32,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
33,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
34,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
35,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
36,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
37,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
38,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
39,1P85_9,0.11123,0.059144,0.0,0.036534,0.0,0.059144,0.059144,0.0,0.036534,0.076499,0.059144,0.036534,0.076499,0.036534,0.090442,0.036534,0.076499,0.090442,0.059144,0.0
