,B,CNHCA: NH- count composition of A,CNHCB: NH- count composition of B,CNHAB: NH- count transition between A and B,CNHA0: NH- count distribution of 0.00A,CNHA1: NH- count distribution of 0.25A,CNHA2: NH- count distribution of 0.50A,CNHA3: NH- count distribution of 0.75A,CNHA4: NH- count distribution of 1.00A,CNHB0: NH- count distribution of 0.00B,CNHB1: NH- count distribution of 0.25B,CNHB2: NH- count distribution of 0.50B,CNHB3: NH- count distribution of 0.75B,CNHB4: NH- count distribution of 1.00B,CNH: NH- count0,CNH: NH- count1,CNH: NH- count00,CNH: NH- count01,CNH: NH- count10,CNH: NH- count11,CNH: NH- count000,CNH: NH- count001,CNH: NH- count010,CNH: NH- count011,CNH: NH- count100,CNH: NH- count101,CNH: NH- count110,CNH: NH- count111
0,hsa.miR.222.3p,0.428571,0.571429,0.55,0.047619,0.142857,0.285714,0.619048,0.761905,0.095238,0.380952,0.571429,0.857143,1.0,428.571442,571.428589,142.857147,285.714294,238.095245,285.714294,47.619049,95.238098,190.476196,95.238098,95.238098,142.857147,47.619049,190.476196
1,hsa.miR.34c.5p,0.347826,0.652174,0.545455,0.043478,0.173913,0.434783,0.695652,1.0,0.086957,0.304348,0.521739,0.73913,0.956522,347.82608,652.173889,43.47826,260.869568,260.869568,391.304352,0.0,43.47826,43.47826,217.391312,43.47826,173.91304,217.391312,173.91304
2,hsa.miR.497.5p,0.428571,0.571429,0.25,0.047619,0.095238,0.238095,0.428571,0.52381,0.142857,0.571429,0.714286,0.857143,1.0,428.571442,571.428589,285.714294,142.857147,95.238098,428.571442,142.857147,142.857147,95.238098,47.619049,95.238098,0.0,0.0,380.952393
3,hsa.miR.17.5p,0.478261,0.521739,0.409091,0.043478,0.130435,0.478261,0.565217,0.956522,0.217391,0.304348,0.608696,0.826087,1.0,478.260864,521.739136,260.869568,217.391312,173.91304,304.347839,130.434784,130.434784,0.0,173.91304,86.95652,86.95652,173.91304,130.434784
4,hsa.miR.223.3p,0.545455,0.454545,0.238095,0.181818,0.545455,0.681818,0.863636,1.0,0.045455,0.090909,0.318182,0.454545,0.727273,545.454529,454.545441,409.090912,90.909088,136.363632,318.181824,272.727264,90.909088,45.454544,45.454544,136.363632,0.0,90.909088,227.27272
5,hsa.miR.29b.3p,0.478261,0.521739,0.363636,0.086957,0.217391,0.347826,0.608696,0.782609,0.043478,0.391304,0.521739,0.869565,1.0,478.260864,521.739136,304.347839,173.91304,173.91304,304.347839,173.91304,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,217.391312
6,hsa.miR.301a.3p,0.521739,0.478261,0.454545,0.043478,0.26087,0.434783,0.826087,1.0,0.130435,0.217391,0.521739,0.652174,0.956522,521.739136,478.260864,260.869568,217.391312,217.391312,260.869568,130.434784,130.434784,86.95652,130.434784,86.95652,86.95652,130.434784,130.434784
7,hsa.miR.29b.3p,0.478261,0.521739,0.363636,0.086957,0.217391,0.347826,0.608696,0.782609,0.043478,0.391304,0.521739,0.869565,1.0,478.260864,521.739136,304.347839,173.91304,173.91304,304.347839,173.91304,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,217.391312
8,hsa.miR.139.5p,0.478261,0.521739,0.454545,0.086957,0.217391,0.478261,0.73913,0.913043,0.043478,0.304348,0.565217,0.695652,1.0,478.260864,521.739136,260.869568,217.391312,217.391312,260.869568,130.434784,130.434784,86.95652,130.434784,130.434784,86.95652,86.95652,130.434784
9,hsa.miR.106a.5p,0.478261,0.521739,0.409091,0.043478,0.130435,0.478261,0.565217,0.956522,0.217391,0.304348,0.608696,0.826087,1.0,478.260864,521.739136,260.869568,217.391312,173.91304,304.347839,130.434784,130.434784,0.0,173.91304,86.95652,86.95652,173.91304,130.434784
10,hsa.miR.20b.5p,0.478261,0.521739,0.5,0.043478,0.130435,0.434783,0.565217,0.956522,0.217391,0.304348,0.608696,0.826087,1.0,478.260864,521.739136,217.391312,260.869568,217.391312,260.869568,86.95652,130.434784,86.95652,130.434784,86.95652,130.434784,130.434784,130.434784
11,hsa.miR.876.5p,0.409091,0.590909,0.333333,0.181818,0.363636,0.727273,0.909091,1.0,0.045455,0.136364,0.318182,0.545455,0.772727,409.090912,590.909119,227.27272,136.363632,181.818176,409.090912,136.363632,45.454544,45.454544,90.909088,90.909088,90.909088,136.363632,272.727264
12,hsa.miR.544a,0.409091,0.590909,0.47619,0.045455,0.181818,0.363636,0.772727,1.0,0.090909,0.227273,0.454545,0.681818,0.954545,409.090912,590.909119,136.363632,227.27272,227.27272,363.636353,45.454544,90.909088,45.454544,181.818176,90.909088,90.909088,181.818176,181.818176
13,hsa.miR.24.3p,0.5,0.5,0.47619,0.181818,0.318182,0.636364,0.818182,0.954545,0.045455,0.136364,0.409091,0.590909,1.0,500.0,500.0,272.727264,227.27272,227.27272,227.27272,90.909088,181.818176,90.909088,90.909088,181.818176,45.454544,136.363632,90.909088
14,hsa.miR.3619.5p,0.454545,0.545455,0.52381,0.090909,0.136364,0.409091,0.863636,1.0,0.045455,0.318182,0.545455,0.727273,0.954545,454.545441,545.454529,181.818176,227.27272,272.727264,272.727264,0.0,181.818176,90.909088,136.363632,181.818176,45.454544,136.363632,136.363632
15,hsa.miR.148b.3p,0.5,0.5,0.380952,0.090909,0.318182,0.5,0.590909,0.772727,0.045455,0.227273,0.636364,0.863636,1.0,500.0,500.0,318.181824,181.818176,181.818176,272.727264,136.363632,181.818176,90.909088,90.909088,181.818176,0.0,45.454544,181.818176
16,hsa.miR.199b.5p,0.434783,0.565217,0.454545,0.043478,0.086957,0.478261,0.695652,1.0,0.217391,0.304348,0.434783,0.826087,0.956522,434.782623,565.217407,173.91304,217.391312,217.391312,347.82608,86.95652,86.95652,130.434784,86.95652,43.47826,130.434784,86.95652,260.869568
17,hsa.miR.29b.3p,0.478261,0.521739,0.363636,0.086957,0.217391,0.347826,0.608696,0.782609,0.043478,0.391304,0.521739,0.869565,1.0,478.260864,521.739136,304.347839,173.91304,173.91304,304.347839,173.91304,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,217.391312
18,hsa.miR.26b.5p,0.428571,0.571429,0.5,0.142857,0.190476,0.380952,0.619048,0.857143,0.047619,0.285714,0.52381,0.809524,1.0,428.571442,571.428589,190.476196,238.095245,238.095245,285.714294,47.619049,142.857147,47.619049,190.476196,142.857147,95.238098,190.476196,47.619049
19,hsa.miR.544a,0.409091,0.590909,0.47619,0.045455,0.181818,0.363636,0.772727,1.0,0.090909,0.227273,0.454545,0.681818,0.954545,409.090912,590.909119,136.363632,227.27272,227.27272,363.636353,45.454544,90.909088,45.454544,181.818176,90.909088,90.909088,181.818176,181.818176
20,hsa.miR.450a.5p,0.318182,0.681818,0.47619,0.272727,0.363636,0.727273,0.818182,0.954545,0.045455,0.181818,0.454545,0.590909,1.0,318.181824,681.818176,90.909088,227.27272,227.27272,409.090912,0.0,90.909088,136.363632,45.454544,90.909088,136.363632,90.909088,318.181824
21,hsa.miR.429,0.5,0.5,0.380952,0.090909,0.227273,0.681818,0.772727,0.909091,0.045455,0.318182,0.5,0.590909,1.0,500.0,500.0,318.181824,181.818176,181.818176,272.727264,181.818176,136.363632,45.454544,136.363632,136.363632,45.454544,90.909088,136.363632
22,hsa.miR.122.5p,0.227273,0.772727,0.190476,0.181818,0.181818,0.454545,0.545455,0.590909,0.045455,0.227273,0.409091,0.818182,1.0,227.27272,772.727295,136.363632,90.909088,90.909088,636.363647,90.909088,45.454544,0.0,90.909088,45.454544,45.454544,90.909088,500.0
23,hsa.miR.302a.3p,0.304348,0.695652,0.318182,0.086957,0.130435,0.434783,0.478261,1.0,0.043478,0.26087,0.608696,0.782609,0.956522,304.347839,695.652161,130.434784,130.434784,173.91304,521.739136,43.47826,86.95652,0.0,130.434784,86.95652,43.47826,130.434784,391.304352
24,hsa.miR.448,0.409091,0.590909,0.47619,0.181818,0.227273,0.5,0.863636,0.954545,0.045455,0.136364,0.409091,0.681818,1.0,409.090912,590.909119,181.818176,227.27272,227.27272,318.181824,90.909088,90.909088,45.454544,136.363632,90.909088,136.363632,181.818176,136.363632
25,hsa.miR.490.3p,0.545455,0.454545,0.428571,0.045455,0.136364,0.409091,0.681818,0.909091,0.272727,0.318182,0.5,0.863636,1.0,545.454529,454.545441,318.181824,227.27272,181.818176,227.27272,181.818176,136.363632,45.454544,181.818176,90.909088,90.909088,136.363632,45.454544
26,hsa.miR.302d.3p,0.304348,0.695652,0.363636,0.086957,0.130435,0.434783,0.478261,0.826087,0.043478,0.26087,0.608696,0.782609,1.0,304.347839,695.652161,130.434784,173.91304,173.91304,478.260864,43.47826,86.95652,0.0,173.91304,86.95652,86.95652,130.434784,304.347839
27,hsa.miR.149.5p,0.478261,0.521739,0.5,0.086957,0.347826,0.73913,0.826087,1.0,0.043478,0.173913,0.434783,0.565217,0.869565,478.260864,521.739136,217.391312,217.391312,260.869568,260.869568,86.95652,86.95652,86.95652,130.434784,130.434784,130.434784,130.434784,130.434784
28,hsa.miR.491.5p,0.454545,0.545455,0.333333,0.045455,0.363636,0.5,0.727273,0.909091,0.090909,0.181818,0.318182,0.818182,1.0,454.545441,545.454529,272.727264,181.818176,136.363632,363.636353,181.818176,90.909088,0.0,181.818176,90.909088,45.454544,136.363632,181.818176
29,hsa.miR.155.5p,0.333333,0.666667,0.521739,0.125,0.166667,0.375,0.5,0.75,0.041667,0.25,0.583333,0.833333,1.0,333.333344,666.666687,83.333336,250.0,250.0,375.0,0.0,83.333336,125.0,125.0,83.333336,166.666672,125.0,208.333328
30,hsa.miR.122.5p,0.227273,0.772727,0.190476,0.181818,0.181818,0.454545,0.545455,0.590909,0.045455,0.227273,0.409091,0.818182,1.0,227.27272,772.727295,136.363632,90.909088,90.909088,636.363647,90.909088,45.454544,0.0,90.909088,45.454544,45.454544,90.909088,500.0
31,hsa.miR.302a.3p,0.304348,0.695652,0.318182,0.086957,0.130435,0.434783,0.478261,1.0,0.043478,0.26087,0.608696,0.782609,0.956522,304.347839,695.652161,130.434784,130.434784,173.91304,521.739136,43.47826,86.95652,0.0,130.434784,86.95652,43.47826,130.434784,391.304352
32,hsa.miR.302a.3p,0.304348,0.695652,0.318182,0.086957,0.130435,0.434783,0.478261,1.0,0.043478,0.26087,0.608696,0.782609,0.956522,304.347839,695.652161,130.434784,130.434784,173.91304,521.739136,43.47826,86.95652,0.0,130.434784,86.95652,43.47826,130.434784,391.304352
33,hsa.miR.302d.3p,0.304348,0.695652,0.363636,0.086957,0.130435,0.434783,0.478261,0.826087,0.043478,0.26087,0.608696,0.782609,1.0,304.347839,695.652161,130.434784,173.91304,173.91304,478.260864,43.47826,86.95652,0.0,173.91304,86.95652,86.95652,130.434784,304.347839
34,hsa.miR.505.3p,0.454545,0.545455,0.333333,0.045455,0.181818,0.318182,0.590909,0.954545,0.090909,0.454545,0.636364,0.772727,1.0,454.545441,545.454529,272.727264,181.818176,136.363632,363.636353,181.818176,90.909088,0.0,136.363632,90.909088,45.454544,136.363632,227.27272
35,hsa.miR.302d.3p,0.304348,0.695652,0.363636,0.086957,0.130435,0.434783,0.478261,0.826087,0.043478,0.26087,0.608696,0.782609,1.0,304.347839,695.652161,130.434784,173.91304,173.91304,478.260864,43.47826,86.95652,0.0,173.91304,86.95652,86.95652,130.434784,304.347839
36,hsa.miR.149.5p,0.478261,0.521739,0.5,0.086957,0.347826,0.73913,0.826087,1.0,0.043478,0.173913,0.434783,0.565217,0.869565,478.260864,521.739136,217.391312,217.391312,260.869568,260.869568,86.95652,86.95652,86.95652,130.434784,130.434784,130.434784,130.434784,130.434784
37,hsa.miR.496,0.5,0.5,0.52381,0.136364,0.409091,0.681818,0.772727,1.0,0.045455,0.181818,0.363636,0.590909,0.954545,500.0,500.0,227.27272,227.27272,272.727264,227.27272,136.363632,90.909088,90.909088,136.363632,90.909088,136.363632,181.818176,45.454544
38,hsa.miR.192.5p,0.571429,0.428571,0.5,0.047619,0.238095,0.52381,0.809524,1.0,0.095238,0.142857,0.428571,0.666667,0.904762,571.428589,428.571442,285.714294,238.095245,238.095245,190.476196,95.238098,142.857147,95.238098,142.857147,190.476196,47.619049,142.857147,47.619049
39,hsa.miR.491.5p,0.454545,0.545455,0.333333,0.045455,0.363636,0.5,0.727273,0.909091,0.090909,0.181818,0.318182,0.818182,1.0,454.545441,545.454529,272.727264,181.818176,136.363632,363.636353,181.818176,90.909088,0.0,181.818176,90.909088,45.454544,136.363632,181.818176
