,A,EipSP: Electron-ion interaction pseudopotential signal peak,EipAP: Electron-ion interaction pseudopotential average power,EiSNR: Electron-ion interaction pseudopotential signal/noise ratio,EiPS0: Electron-ion interaction pseudopotential spectrum 0,EiPS1: Electron-ion interaction pseudopotential spectrum 0.25,EiPS2: Electron-ion interaction pseudopotential spectrum 0.5,EiPS3: Electron-ion interaction pseudopotential spectrum 0.75,EiPS4: Electron-ion interaction pseudopotential spectrum 1
0,ENST00000453875.5,1.175053,7.787762,0.150885,3.108236,3.108236,3.108236,3.108236,3.108236
1,ENST00000504748.1,0.836953,7.347368,0.113912,1.535449,1.535449,1.535449,1.535449,1.535449
2,ENST00000599755.5,0.178441,6.302141,0.028314,1.160518,1.160518,1.160518,1.160518,1.160518
3,ENST00000454129.5,4.105115,66.056288,0.062146,18.297789,18.297789,18.297789,18.297789,18.297789
4,ENST00000436656.5,1.163375,11.988732,0.097039,2.374809,2.374809,2.374809,2.374809,2.374809
5,ENST00000511893.1,0.392008,9.079274,0.043176,1.655532,1.655532,1.655532,1.655532,1.655532
6,ENST00000414894.1,0.398465,5.402616,0.073754,0.93931,0.93931,0.93931,0.93931,0.93931
7,ENST00000602587.5,0.524884,8.875823,0.059136,1.018558,1.018558,1.018558,1.018558,1.018558
8,ENST00000584485.1,0.629337,12.802932,0.049156,2.719083,2.719083,2.719083,2.719083,2.719083
9,ENST00000444126.5,1.898036,68.559988,0.027684,19.17195,19.17195,19.17195,19.17195,19.17195
10,ENST00000628924.1,4.901604,42.067039,0.116519,12.27868,12.27868,12.27868,12.27868,12.27868
11,ENST00000563777.1,6.82549,57.235787,0.119252,18.924441,18.924441,18.924441,18.924441,18.924441
12,ENST00000508266.1,0.602654,8.094272,0.074454,1.486703,1.486703,1.486703,1.486703,1.486703
13,ENST00000517774.1,0.245956,6.946758,0.035406,1.569766,1.569766,1.569766,1.569766,1.569766
14,ENST00000454129.5,4.105115,66.056288,0.062146,18.297789,18.297789,18.297789,18.297789,18.297789
15,ENST00000602498.1,0.701173,4.839708,0.144879,1.117064,1.117064,1.117064,1.117064,1.117064
16,ENST00000476405.1,11.407676,61.798594,0.184594,25.507925,25.507925,25.507925,25.507925,25.507925
17,ENST00000411861.5,1.732758,24.585879,0.070478,35.919597,35.919597,35.919597,35.919597,35.919597
18,ENST00000560706.5,0.191357,6.757223,0.028319,1.613227,1.613227,1.613227,1.613227,1.613227
19,ENST00000449589.5,0.377687,10.304637,0.036652,1.77384,1.77384,1.77384,1.77384,1.77384
20,ENST00000451786.5,7.404697,51.079912,0.144963,32.865059,32.865059,32.865059,32.865059,32.865059
21,ENST00000499180.2,0.454909,6.097574,0.074605,0.905978,0.905978,0.905978,0.905978,0.905978
22,ENST00000515108.1,3.537722,28.618642,0.123616,6.907427,6.907427,6.907427,6.907427,6.907427
23,ENST00000508913.5,3.392602,33.137365,0.10238,9.505838,9.505838,9.505838,9.505838,9.505838
24,ENST00000426529.6,3.024165,59.252494,0.051039,14.628477,14.628477,14.628477,14.628477,14.628477
25,ENST00000382215.3,2.828568,29.639207,0.095433,10.941558,10.941558,10.941558,10.941558,10.941558
26,ENST00000501008.2,1.175941,26.60116,0.044206,8.035175,8.035175,8.035175,8.035175,8.035175
27,ENST00000438608.5,1.107217,7.554167,0.14657,1.824146,1.824146,1.824146,1.824146,1.824146
28,ENST00000398461.5,6.42042,50.072087,0.128224,18.360054,18.360054,18.360054,18.360054,18.360054
29,ENST00000590274.1,0.808993,9.098525,0.088915,2.074581,2.074581,2.074581,2.074581,2.074581
30,ENST00000413421.5,1.318468,11.997716,0.109893,2.39515,2.39515,2.39515,2.39515,2.39515
31,ENST00000517675.1,8.245905,47.975346,0.171878,24.223051,24.223051,24.223051,24.223051,24.223051
32,ENST00000602618.1,0.532549,6.914215,0.077022,1.08454,1.08454,1.08454,1.08454,1.08454
33,ENST00000577163.1,0.907204,8.292883,0.109396,1.851534,1.851534,1.851534,1.851534,1.851534
34,ENST00000487102.5,0.338424,11.653338,0.029041,1.451339,1.451339,1.451339,1.451339,1.451339
35,ENST00000541775.5,5.206929,75.335389,0.069117,26.043489,26.043489,26.043489,26.043489,26.043489
36,ENST00000409898.2,0.429109,8.154619,0.052622,1.560363,1.560363,1.560363,1.560363,1.560363
37,ENST00000577661.1,0.764777,9.173667,0.083367,2.741353,2.741353,2.741353,2.741353,2.741353
38,ENST00000547799.5,4.341392,46.746347,0.092871,33.617603,33.617603,33.617603,33.617603,33.617603
39,ENST00000458228.5,2.714969,49.228894,0.05515,11.87176,11.87176,11.87176,11.87176,11.87176
