,A,SLDLD: Structural logarithm distance to lncRNA of acguD,SLDPD: Structural logarithm distance to pcRNA of acguD,SLDRD: Structural logarithm distance acguD ratio,SLDLN: Structural logarithm distance to lncRNA of acguACGU,SLDPN: Structural logarithm distance to pcRNA of acguACGU,SLDRN: Structural logarithm distance acguACGU ratio,SDMFE: Secondary structural minimum free energy,SFPUS: Secondary structural UP frequency paired-unpaired
0,2FCX,-28.425887,-28.426457,0.99998,-21.024176,-20.998177,1.001238,-7.4,0.045455
1,1BYJ,-21.711569,-21.908374,0.991017,-16.460468,-16.597192,0.991762,-11.1,0.192308
2,1XPF,-27.206252,-27.233966,0.998982,-20.559245,-20.570225,0.999466,-8.6,0.136364
3,1AJU,-20.214988,-20.259582,0.997799,-15.465329,-15.493205,0.998201,-16.8,0.068966
4,2ET3,-28.891677,-28.981064,0.996916,-21.27617,-21.41015,0.993742,-4.9,0.142857
5,1LVJ,-19.574261,-19.612607,0.998045,-14.842091,-14.867755,0.998274,-16.4,0.066667
6,1NBK,-16.656703,-16.839106,0.989168,-12.974783,-13.104022,0.990138,-17.4,0.090909
7,2B57,-7.810413,-7.890277,0.989878,-5.385122,-5.427147,0.992256,-18.0,0.078125
8,1EI2,-24.250153,-24.28705,0.998481,-18.983491,-19.017493,0.998212,-8.9,0.083333
9,1RAW,-16.085257,-16.210175,0.992294,-11.726194,-11.819923,0.99207,-12.5,0.114286
10,1TOB,-21.930388,-22.038489,0.995095,-16.815186,-16.884598,0.995889,-15.1,0.076923
11,1FYP,-21.711569,-21.908374,0.991017,-16.328053,-16.497059,0.989755,-11.9,0.192308
12,1QD3,-21.192547,-21.216586,0.998867,-15.958261,-15.979281,0.998685,-13.1,0.071429
13,2CKY,-7.154277,-7.171739,0.997565,-4.57177,-4.571293,1.000104,-27.3,0.092105
14,2OE8,-45.214309,-45.25872,0.999019,-31.852401,-31.934021,0.997444,-0.7,0.133333
15,2GDI,-6.084632,-6.135298,0.991742,-4.092133,-4.120098,0.993213,-21.6,0.139241
16,2BEE,-28.891677,-28.981064,0.996916,-21.27617,-21.41015,0.993742,-4.9,0.142857
17,1ZZ5,-56.558482,-56.543642,1.000262,-38.93145,-38.928328,1.00008,0.0,0.0
18,2F4U,-30.739301,-30.803446,0.997918,-22.588864,-22.709359,0.994694,-4.6,0.1
19,1KOD,-56.558482,-56.543642,1.000262,-37.629969,-37.629706,1.000007,0.0,0.0
20,2BE0,-28.891677,-28.981064,0.996916,-21.27617,-21.41015,0.993742,-4.9,0.142857
21,2AU4,-13.151121,-13.285611,0.989877,-9.858017,-9.9514,0.990616,-15.8,0.125
22,1Q8N,-14.917604,-15.049334,0.991247,-11.414368,-11.500683,0.992495,-15.5,0.108108
23,2OE5,-39.93545,-39.949104,0.999658,-29.999954,-30.013486,0.999549,-2.2,0.125
24,1EI2,-24.250153,-24.28705,0.998481,-18.983491,-19.017493,0.998212,-8.9,0.083333
25,1NTA,-38.381572,-38.549063,0.995655,-27.608487,-27.741569,0.995203,-3.7,0.058824
26,2FCZ,-28.425887,-28.426457,0.99998,-21.024176,-20.998177,1.001238,-7.4,0.045455
27,1FUF,-52.170825,-52.179684,0.99983,-38.15088,-38.185793,0.999086,-2.8,0.076923
28,2BEE,-28.891677,-28.981064,0.996916,-21.27617,-21.41015,0.993742,-4.9,0.142857
