,A,LORFL: Longest ORF length,ORFCo: ORF coverage,ORFIn: ORF integrity,ORFFS: ORF frame score,ORFEA: Entropy density A on ORF,ORFEC: Entropy density C on ORF,ORFED: Entropy density D on ORF,ORFEE: Entropy density E on ORF,ORFEF: Entropy density F on ORF,ORFEG: Entropy density G on ORF,ORFEH: Entropy density H on ORF,ORFEI: Entropy density I on ORF,ORFEK: Entropy density K on ORF,ORFEL: Entropy density L on ORF,ORFEM: Entropy density M on ORF,ORFEN: Entropy density N on ORF,ORFEP: Entropy density P on ORF,ORFEQ: Entropy density Q on ORF,ORFER: Entropy density R on ORF,ORFES: Entropy density S on ORF,ORFET: Entropy density T on ORF,ORFEV: Entropy density V on ORF,ORFEW: Entropy density W on ORF,ORFEY: Entropy density Y on ORF,EucDist.LNC_orf,EucDist.PCT_orf,EucDist.Ratio_orf,LogDist.LNC_orf,LogDist.PCT_orf,LogDist.Ratio_orf,Hexamer.Score_orf
0,2FCX,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1BYJ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1XPF,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,1AJU,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2ET3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1LVJ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1NBK,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2B57,45.0,0.692308,-1.0,0.0,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,0.07427074344600228,0.07427074344600228,0.07427074344600228,6.426251845332698e-10,0.11052110128165926,6.426251845332698e-10,0.07427074344600228,0.11052110128165926,6.426251845332698e-10,6.426251845332698e-10,0.15809,0.158283,0.998786,-96.080652,-96.242388,0.998319,0.0
8,1EI2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1RAW,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1TOB,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1FYP,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1QD3,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2CKY,18.0,0.233766,-1.0,0.0,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,0.1666666617799377,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,0.276898,0.276575,1.001168,-308.316462,-308.792846,0.998457,0.0
14,2OE8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2GDI,12.0,0.15,1.0,0.0,0.33333329581409316,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,0.33333329581409316,6.621042372202191e-09,0.33333329581409316,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,6.621042372202191e-09,0.377846,0.377461,1.00102,-577.2369,-577.661305,0.999265,0.0
16,2BEE,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1ZZ5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2F4U,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1KOD,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2BE0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2AU4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1Q8N,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2OE5,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,1EI2,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,1NTA,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2FCZ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1FUF,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2BEE,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1KOD,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1YRJ,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1PBR,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,1KOC,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2PWT,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2ET8,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1LC4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1AJU,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,1O9M,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,2F4S,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1FMN,21.0,0.6,-1.0,0.0,1.6642359555362636e-09,1.6642359555362636e-09,0.14285713976641895,1.6642359555362636e-09,1.6642359555362636e-09,1.6642359555362636e-09,1.6642359555362636e-09,1.6642359555362636e-09,0.14285713976641895,0.14285713976641895,0.14285713976641895,1.6642359555362636e-09,1.6642359555362636e-09,0.14285713976641895,0.14285713976641895,1.6642359555362636e-09,0.14285713976641895,1.6642359555362636e-09,1.6642359555362636e-09,1.6642359555362636e-09,0.249388,0.249041,1.001394,-249.467047,-249.904033,0.998251,0.0
40,2FD0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,3D2X,18.0,0.233766,-1.0,0.0,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,0.1666666617799377,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,2.0943124141567585e-09,0.1666666617799377,2.0943124141567585e-09,2.0943124141567585e-09,0.276898,0.276575,1.001168,-308.316462,-308.792846,0.998457,0.0
42,2ET4,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,1NBK,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1KOC,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
