,A,HPCCA: Gas-hexadecane PC composition of A,HPCAB: Gas-hexadecane PC transition between A and B,HPCA0: Gas-hexadecane PC distribution of 0.00A,HPCA1: Gas-hexadecane PC distribution of 0.25A,HPCA2: Gas-hexadecane PC distribution of 0.50A,HPCA3: Gas-hexadecane PC distribution of 0.75A,HPCA4: Gas-hexadecane PC distribution of 1.00A,HPCAB: Gas-hexadecane PC_3 transition between A and B,HPCAC: Gas-hexadecane PC_3 transition between A and C,HPC: Gas-hexadecane PC0,HPC: Gas-hexadecane PC00,HPC: Gas-hexadecane PC01,HPC: Gas-hexadecane PC10,HPC: Gas-hexadecane PC_301,HPC: Gas-hexadecane PC_302,HPC: Gas-hexadecane PC_310,HPC: Gas-hexadecane PC_320,HPC: Gas-hexadecane PC000,HPC: Gas-hexadecane PC001,HPC: Gas-hexadecane PC010,HPC: Gas-hexadecane PC011,HPC: Gas-hexadecane PC100,HPC: Gas-hexadecane PC101,HPC: Gas-hexadecane PC110,HPC: Gas-hexadecane PC_3001,HPC: Gas-hexadecane PC_3002,HPC: Gas-hexadecane PC_3010,HPC: Gas-hexadecane PC_3011,HPC: Gas-hexadecane PC_3012,HPC: Gas-hexadecane PC_3020,HPC: Gas-hexadecane PC_3021,HPC: Gas-hexadecane PC_3022,HPC: Gas-hexadecane PC_3100,HPC: Gas-hexadecane PC_3101,HPC: Gas-hexadecane PC_3102,HPC: Gas-hexadecane PC_3110,HPC: Gas-hexadecane PC_3120,HPC: Gas-hexadecane PC_3200,HPC: Gas-hexadecane PC_3201,HPC: Gas-hexadecane PC_3202,HPC: Gas-hexadecane PC_3210,HPC: Gas-hexadecane PC_3220
0,1FFK_9,0.655738,0.38843,0.008197,0.204918,0.47541,0.713115,0.983607,0.31405,0.14876,655.737732,459.016388,196.721313,188.524597,155.737701,73.770493,155.737701,73.770493,336.065582,122.950821,90.163933,106.557381,114.754097,73.770493,98.360657,65.573769,49.180328,65.573769,81.967216,8.196721,40.983608,8.196721,24.590164,73.770493,57.377048,24.590164,81.967216,16.393442,40.983608,32.786884,0.0,8.196721,16.393442
1,1FFK_0,0.747091,0.372475,0.000342,0.249487,0.496578,0.749144,1.0,0.270798,0.213968,747.091003,560.574951,186.173859,186.173859,135.181381,107.118416,135.523621,106.776184,418.54895,141.683777,134.154694,52.019165,141.683777,44.490074,52.019165,81.451057,61.259411,70.157425,38.672142,26.351814,62.286106,28.747433,15.742642,81.793289,28.747433,24.982889,38.672142,28.747433,60.917179,24.982889,20.876112,26.694046,15.742642
2,1FFK_9,0.655738,0.38843,0.008197,0.204918,0.47541,0.713115,0.983607,0.31405,0.14876,655.737732,459.016388,196.721313,188.524597,155.737701,73.770493,155.737701,73.770493,336.065582,122.950821,90.163933,106.557381,114.754097,73.770493,98.360657,65.573769,49.180328,65.573769,81.967216,8.196721,40.983608,8.196721,24.590164,73.770493,57.377048,24.590164,81.967216,16.393442,40.983608,32.786884,0.0,8.196721,16.393442
3,1FFK_0,0.747091,0.372475,0.000342,0.249487,0.496578,0.749144,1.0,0.270798,0.213968,747.091003,560.574951,186.173859,186.173859,135.181381,107.118416,135.523621,106.776184,418.54895,141.683777,134.154694,52.019165,141.683777,44.490074,52.019165,81.451057,61.259411,70.157425,38.672142,26.351814,62.286106,28.747433,15.742642,81.793289,28.747433,24.982889,38.672142,28.747433,60.917179,24.982889,20.876112,26.694046,15.742642
4,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
5,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
6,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
7,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
8,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
9,1GIY_A,0.727709,0.344082,0.000343,0.246228,0.492798,0.746228,0.999657,0.259691,0.165352,727.709167,555.555542,172.153641,171.810699,134.773666,77.846367,124.828529,87.448563,425.240051,130.315506,103.566528,68.244171,129.972565,41.838135,68.244171,91.220848,51.783264,59.67078,53.497944,21.604939,49.382717,18.861454,9.602195,78.532234,28.120714,18.175583,50.411522,27.091908,64.128944,15.432098,7.887517,14.746227,10.973937
10,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
11,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
12,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
13,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
14,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
15,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
16,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
17,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
18,1P85_0,0.779959,0.322425,0.000344,0.247245,0.496212,0.749311,1.0,0.23424,0.242852,779.958679,618.457275,161.157028,161.157028,122.245178,116.391182,111.914604,126.377411,483.81543,134.297516,118.112946,43.044079,134.297516,26.859505,43.044079,79.545456,67.493111,61.639118,30.647383,29.958677,70.592285,23.415977,22.382919,69.214874,18.939394,23.76033,30.991735,32.713497,77.47934,23.76033,25.137741,19.283747,23.071625
19,2FTC_R,0.789541,0.303127,0.000638,0.242347,0.484056,0.739158,0.999362,0.201021,0.241225,789.540833,637.755127,151.785721,151.147964,105.229591,116.071426,95.663269,125.0,512.755127,125.0,107.14286,44.0051,125.0,26.147959,44.0051,70.153061,77.806122,49.7449,30.612246,24.234694,58.035713,24.234694,33.801022,66.32653,13.392858,15.943877,26.147959,32.525509,81.632652,21.045918,22.321428,19.770409,34.438774
20,1GIY_B,0.691057,0.360656,0.00813,0.292683,0.552846,0.813008,1.0,0.311475,0.188525,691.056885,504.065033,178.861786,178.861786,146.341461,105.691055,162.601624,81.300812,365.853668,130.081299,97.560974,81.300812,130.081299,48.780487,81.300812,73.170731,65.040649,81.300812,56.910568,8.130081,65.040649,16.260162,16.260162,73.170731,48.780487,40.650406,73.170731,16.260162,56.910568,24.390244,0.0,8.130081,0.0
21,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
22,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
23,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
24,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
25,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
26,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
27,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
28,1P85_9,0.7,0.352941,0.008333,0.275,0.541667,0.783333,1.0,0.277311,0.243697,700.0,516.666687,175.0,175.0,141.666672,116.666664,133.333328,125.0,383.333344,125.0,91.666664,83.333336,125.0,50.0,83.333336,75.0,66.666664,58.333332,66.666664,16.666666,91.666664,16.666666,0.0,58.333332,33.333332,41.666668,66.666664,25.0,83.333336,33.333332,8.333333,8.333333,0.0
