,A,ComRA: Composition of A,ComRT: Composition of T,ComRG: Composition of G,ComRC: Composition of C,TraAT: Transition between A and T,TraAG: Transition between A and G,TraAC: Transition between A and C,TraTG: Transition between T and G,TraTC: Transition between T and C,TraGC: Transition between G and C,DPRA0: Distribution of 0.00A,DPRA1: Distribution of 0.25A,DPRA2: Distribution of 0.50A,DPRA3: Distribution of 0.75A,DPRA4: Distribution of 1.00A,DPRT0: Distribution of 0.00T,DPRT1: Distribution of 0.25T,DPRT2: Distribution of 0.50T,DPRT3: Distribution of 0.75T,DPRT4: Distribution of 1.00T,DPRG0: Distribution of 0.00G,DPRG1: Distribution of 0.25G,DPRG2: Distribution of 0.50G,DPRG3: Distribution of 0.75G,DPRG4: Distribution of 1.00G,DPRC0: Distribution of 0.00C,DPRC1: Distribution of 0.25C,DPRC2: Distribution of 0.50C,DPRC3: Distribution of 0.75C,DPRC4: Distribution of 1.00C
0,2FCX,0.304348,0.173913,0.26087,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.391304,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
1,1BYJ,0.148148,0.185185,0.333333,0.333333,0.0,0.076923,0.153846,0.153846,0.153846,0.192308,0.259259,0.259259,0.333333,0.740741,0.777778,0.185185,0.185185,0.444444,0.666667,0.851852,0.037037,0.074074,0.555556,0.703704,0.925926,0.111111,0.222222,0.37037,0.888889,1.0
2,1XPF,0.26087,0.173913,0.304348,0.26087,0.0,0.181818,0.272727,0.181818,0.090909,0.136364,0.347826,0.608696,0.695652,0.782609,0.956522,0.086957,0.086957,0.130435,0.26087,0.478261,0.173913,0.304348,0.434783,0.521739,1.0,0.043478,0.217391,0.565217,0.652174,0.869565
3,1AJU,0.133333,0.2,0.366667,0.3,0.034483,0.206897,0.034483,0.103448,0.206897,0.137931,0.166667,0.166667,0.233333,0.366667,0.633333,0.266667,0.3,0.5,0.733333,0.866667,0.033333,0.2,0.533333,0.6,0.933333,0.1,0.133333,0.466667,0.833333,1.0
4,2ET3,0.181818,0.136364,0.318182,0.363636,0.0,0.095238,0.190476,0.190476,0.095238,0.285714,0.318182,0.318182,0.409091,0.727273,0.772727,0.227273,0.227273,0.636364,0.636364,0.863636,0.090909,0.181818,0.590909,0.681818,0.954545,0.045455,0.136364,0.363636,0.5,1.0
5,1LVJ,0.129032,0.193548,0.354839,0.322581,0.033333,0.2,0.033333,0.1,0.266667,0.133333,0.16129,0.16129,0.225806,0.387097,0.645161,0.258065,0.322581,0.516129,0.741935,0.870968,0.032258,0.193548,0.548387,0.612903,0.935484,0.096774,0.129032,0.483871,0.83871,1.0
6,1NBK,0.176471,0.176471,0.323529,0.323529,0.060606,0.151515,0.030303,0.060606,0.181818,0.181818,0.117647,0.294118,0.5,0.529412,0.764706,0.205882,0.235294,0.323529,0.676471,0.911765,0.029412,0.088235,0.441176,0.617647,0.852941,0.176471,0.382353,0.705882,0.882353,1.0
7,2B57,0.261538,0.261538,0.246154,0.230769,0.21875,0.0625,0.125,0.140625,0.078125,0.15625,0.030769,0.123077,0.384615,0.753846,0.938462,0.076923,0.230769,0.507692,0.830769,0.984615,0.015385,0.246154,0.415385,0.646154,0.969231,0.046154,0.369231,0.584615,0.692308,1.0
8,1EI2,0.2,0.24,0.28,0.28,0.041667,0.125,0.25,0.25,0.125,0.083333,0.16,0.16,0.4,0.76,0.84,0.24,0.32,0.48,0.64,0.96,0.04,0.08,0.28,0.36,0.92,0.12,0.56,0.72,0.8,1.0
9,1RAW,0.194444,0.138889,0.388889,0.277778,0.0,0.142857,0.028571,0.028571,0.142857,0.2,0.111111,0.138889,0.277778,0.333333,0.388889,0.444444,0.444444,0.611111,0.888889,0.916667,0.027778,0.166667,0.305556,0.555556,0.833333,0.416667,0.5,0.75,0.944444,1.0
