,A,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,1FFK_9,0.663934,0.688525,0.713115,0.590164,0.011464,0.012565,0.014978
1,1FFK_0,0.557153,0.567762,0.544148,0.559548,0.000427,0.000445,0.000423
2,1FFK_9,0.663934,0.688525,0.713115,0.590164,0.011464,0.012565,0.014978
3,1FFK_0,0.557153,0.567762,0.544148,0.559548,0.000427,0.000445,0.000423
4,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
5,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
6,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
7,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
8,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
9,1GIY_A,0.638203,0.660494,0.630658,0.623457,0.001133,0.001109,0.001117
10,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
11,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
12,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
13,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
14,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
15,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
16,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
17,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
18,1P85_0,0.534091,0.51343,0.535124,0.553719,0.001243,0.001274,0.001271
19,2FTC_R,0.387117,0.361607,0.417092,0.382653,0.002371,0.002315,0.002214
20,1GIY_B,0.666667,0.682927,0.658537,0.658537,0.000287,0.001109,0.000691
21,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
22,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
23,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
24,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
25,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
26,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
27,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
28,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
29,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
30,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
31,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
32,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
33,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
34,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
35,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
36,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
37,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
38,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
39,1P85_9,0.641667,0.625,0.6,0.7,0.009677,0.008709,0.01011
