,B,PSNCA: Primary or secondary nitrogens composition of A,PSNAB: Primary or secondary nitrogens transition between A and B,PSNA0: Primary or secondary nitrogens distribution of 0.00A,PSNA1: Primary or secondary nitrogens distribution of 0.25A,PSNA2: Primary or secondary nitrogens distribution of 0.50A,PSNA3: Primary or secondary nitrogens distribution of 0.75A,PSNA4: Primary or secondary nitrogens distribution of 1.00A,SLFAB: Sum of path lengths starting from oxygens_3 transition between A and B,SLFAC: Sum of path lengths starting from oxygens_3 transition between A and C,TPSAB: Topological polar surface area_3 transition between A and B,TPSAC: Topological polar surface area_3 transition between A and C,PSN: Primary or secondary nitrogens0,PSN: Primary or secondary nitrogens00,PSN: Primary or secondary nitrogens01,PSN: Primary or secondary nitrogens10,SLF: Sum of path lengths starting from oxygens_301,SLF: Sum of path lengths starting from oxygens_302,SLF: Sum of path lengths starting from oxygens_310,SLF: Sum of path lengths starting from oxygens_320,TPS: Topological polar surface area_301,TPS: Topological polar surface area_302,TPS: Topological polar surface area_310,TPS: Topological polar surface area_320,PSN: Primary or secondary nitrogens000,PSN: Primary or secondary nitrogens001,PSN: Primary or secondary nitrogens010,PSN: Primary or secondary nitrogens011,PSN: Primary or secondary nitrogens100,PSN: Primary or secondary nitrogens101,PSN: Primary or secondary nitrogens110,SLF: Sum of path lengths starting from oxygens_3001,SLF: Sum of path lengths starting from oxygens_3002,SLF: Sum of path lengths starting from oxygens_3010,SLF: Sum of path lengths starting from oxygens_3011,SLF: Sum of path lengths starting from oxygens_3012,SLF: Sum of path lengths starting from oxygens_3020,SLF: Sum of path lengths starting from oxygens_3021,SLF: Sum of path lengths starting from oxygens_3022,SLF: Sum of path lengths starting from oxygens_3100,SLF: Sum of path lengths starting from oxygens_3101,SLF: Sum of path lengths starting from oxygens_3102,SLF: Sum of path lengths starting from oxygens_3110,SLF: Sum of path lengths starting from oxygens_3120,SLF: Sum of path lengths starting from oxygens_3200,SLF: Sum of path lengths starting from oxygens_3201,SLF: Sum of path lengths starting from oxygens_3202,SLF: Sum of path lengths starting from oxygens_3210,SLF: Sum of path lengths starting from oxygens_3220,TPS: Topological polar surface area_3001,TPS: Topological polar surface area_3002,TPS: Topological polar surface area_3010,TPS: Topological polar surface area_3011,TPS: Topological polar surface area_3012,TPS: Topological polar surface area_3020,TPS: Topological polar surface area_3021,TPS: Topological polar surface area_3022,TPS: Topological polar surface area_3100,TPS: Topological polar surface area_3101,TPS: Topological polar surface area_3102,TPS: Topological polar surface area_3110,TPS: Topological polar surface area_3120,TPS: Topological polar surface area_3200,TPS: Topological polar surface area_3201,TPS: Topological polar surface area_3202,TPS: Topological polar surface area_3210,TPS: Topological polar surface area_3220
0,hsa.miR.222.3p,0.714286,0.55,0.047619,0.238095,0.52381,0.714286,0.952381,0.2,0.4,0.4,0.15,714.285706,428.571442,285.714294,238.095245,47.619049,238.095245,142.857147,142.857147,238.095245,47.619049,142.857147,95.238098,190.476196,238.095245,238.095245,0.0,190.476196,47.619049,0.0,0.0,142.857147,0.0,0.0,47.619049,95.238098,95.238098,0.0,47.619049,47.619049,47.619049,0.0,47.619049,95.238098,0.0,47.619049,95.238098,0.0,95.238098,0.0,142.857147,0.0,95.238098,47.619049,0.0,0.0,95.238098,47.619049,0.0,0.0,0.0,0.0,95.238098,0.0,0.0,47.619049
1,hsa.miR.34c.5p,0.695652,0.454545,0.043478,0.173913,0.434783,0.695652,1.0,0.272727,0.318182,0.181818,0.363636,695.652161,434.782623,217.391312,217.391312,86.95652,173.91304,173.91304,130.434784,86.95652,173.91304,86.95652,173.91304,217.391312,173.91304,130.434784,86.95652,173.91304,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,43.47826,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,43.47826,43.47826,86.95652,43.47826,0.0,43.47826,0.0,43.47826,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,43.47826,86.95652,43.47826,86.95652,0.0,43.47826,43.47826
2,hsa.miR.497.5p,0.714286,0.35,0.047619,0.190476,0.380952,0.52381,0.952381,0.4,0.35,0.05,0.2,714.285706,523.809509,190.476196,142.857147,190.476196,190.476196,190.476196,142.857147,47.619049,95.238098,0.0,95.238098,428.571442,95.238098,95.238098,47.619049,47.619049,95.238098,47.619049,95.238098,47.619049,190.476196,0.0,0.0,95.238098,0.0,47.619049,95.238098,47.619049,47.619049,0.0,0.0,47.619049,0.0,95.238098,0.0,47.619049,47.619049,95.238098,0.0,0.0,47.619049,95.238098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.238098,0.0,0.0,0.0,0.0
3,hsa.miR.17.5p,0.782609,0.363636,0.043478,0.173913,0.521739,0.782609,1.0,0.363636,0.272727,0.136364,0.272727,782.608704,565.217407,173.91304,173.91304,130.434784,173.91304,217.391312,86.95652,43.47826,173.91304,86.95652,86.95652,347.82608,173.91304,130.434784,43.47826,173.91304,0.0,43.47826,43.47826,86.95652,86.95652,43.47826,0.0,86.95652,43.47826,43.47826,43.47826,43.47826,86.95652,43.47826,0.0,86.95652,0.0,0.0,86.95652,0.0,0.0,130.434784,0.0,43.47826,0.0,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,0.0
4,hsa.miR.223.3p,0.681818,0.428571,0.090909,0.272727,0.636364,0.818182,1.0,0.238095,0.333333,0.190476,0.047619,681.818176,454.545441,181.818176,227.27272,136.363632,136.363632,90.909088,181.818176,45.454544,45.454544,136.363632,0.0,318.181824,90.909088,136.363632,45.454544,136.363632,90.909088,45.454544,45.454544,0.0,45.454544,45.454544,0.0,90.909088,0.0,45.454544,45.454544,0.0,45.454544,0.0,0.0,0.0,90.909088,90.909088,45.454544,45.454544,45.454544,45.454544,45.454544,0.0,0.0,0.0,45.454544,0.0,136.363632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.909088,0.0
5,hsa.miR.29b.3p,0.652174,0.363636,0.086957,0.217391,0.521739,0.652174,0.913043,0.318182,0.227273,0.181818,0.181818,652.173889,478.260864,173.91304,173.91304,173.91304,86.95652,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,347.82608,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,0.0,86.95652,43.47826,43.47826,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,43.47826,0.0,43.47826,86.95652,0.0,0.0,0.0,0.0
6,hsa.miR.301a.3p,0.73913,0.454545,0.043478,0.217391,0.434783,0.826087,1.0,0.272727,0.272727,0.227273,0.227273,739.130432,478.260864,217.391312,217.391312,130.434784,130.434784,130.434784,130.434784,86.95652,130.434784,130.434784,86.95652,304.347839,130.434784,173.91304,43.47826,130.434784,86.95652,43.47826,43.47826,0.0,43.47826,86.95652,0.0,86.95652,43.47826,0.0,43.47826,0.0,86.95652,43.47826,0.0,43.47826,43.47826,43.47826,43.47826,43.47826,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,86.95652,0.0,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,0.0,0.0,86.95652,0.0
7,hsa.miR.29b.3p,0.652174,0.363636,0.086957,0.217391,0.521739,0.652174,0.913043,0.318182,0.227273,0.181818,0.181818,652.173889,478.260864,173.91304,173.91304,173.91304,86.95652,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,347.82608,130.434784,86.95652,86.95652,130.434784,43.47826,43.47826,86.95652,0.0,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,0.0,86.95652,43.47826,43.47826,43.47826,86.95652,43.47826,43.47826,43.47826,0.0,43.47826,43.47826,0.0,43.47826,0.0,43.47826,0.0,43.47826,86.95652,0.0,0.0,0.0,0.0
8,hsa.miR.139.5p,0.695652,0.545455,0.086957,0.26087,0.478261,0.73913,0.956522,0.318182,0.5,0.272727,0.181818,695.652161,434.782623,260.869568,260.869568,130.434784,260.869568,173.91304,217.391312,86.95652,130.434784,173.91304,43.47826,304.347839,130.434784,217.391312,0.0,130.434784,130.434784,0.0,86.95652,43.47826,130.434784,0.0,0.0,173.91304,43.47826,0.0,43.47826,43.47826,86.95652,0.0,0.0,86.95652,0.0,130.434784,43.47826,0.0,0.0,130.434784,86.95652,0.0,0.0,0.0,130.434784,0.0,86.95652,86.95652,0.0,0.0,43.47826,43.47826,0.0,0.0,43.47826,0.0
9,hsa.miR.106a.5p,0.782609,0.363636,0.043478,0.173913,0.521739,0.782609,1.0,0.318182,0.272727,0.136364,0.272727,782.608704,565.217407,173.91304,173.91304,86.95652,173.91304,217.391312,86.95652,43.47826,173.91304,86.95652,86.95652,347.82608,173.91304,130.434784,43.47826,173.91304,0.0,43.47826,43.47826,86.95652,86.95652,0.0,0.0,86.95652,43.47826,43.47826,43.47826,43.47826,86.95652,43.47826,0.0,86.95652,0.0,0.0,86.95652,0.0,0.0,130.434784,0.0,43.47826,0.0,0.0,86.95652,43.47826,43.47826,0.0,43.47826,43.47826,86.95652,43.47826,43.47826,0.0,43.47826,0.0
