,A,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
0,2FCX,0.695652,0.454545,0.043478,0.173913,0.434783,0.652174,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,304.347839,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,43.47826,0.0,0.0
1,1BYJ,0.851852,0.230769,0.037037,0.222222,0.518519,0.703704,1.0,0.153846,0.346154,851.851868,703.703674,111.111115,111.111115,74.074074,148.148148,74.074074,185.185181,592.59259,74.074074,74.074074,37.037037,74.074074,37.037037,37.037037,37.037037,74.074074,74.074074,0.0,0.0,74.074074,37.037037,37.037037,37.037037,37.037037,0.0,0.0,37.037037,111.111115,0.0,74.074074,0.0,74.074074
2,1XPF,0.73913,0.454545,0.043478,0.173913,0.391304,0.652174,1.0,0.272727,0.318182,739.130432,478.260864,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,347.82608,130.434784,173.91304,43.47826,86.95652,86.95652,43.47826,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,43.47826,43.47826,86.95652,43.47826,0.0,43.47826
3,1AJU,0.866667,0.275862,0.033333,0.266667,0.533333,0.8,1.0,0.068966,0.241379,866.666687,700.0,133.333328,133.333328,33.333332,100.0,33.333332,133.333328,566.666687,100.0,133.333328,0.0,100.0,33.333332,0.0,33.333332,100.0,0.0,0.0,33.333332,0.0,33.333332,66.666664,33.333332,0.0,0.0,0.0,66.666664,133.333328,0.0,0.0,33.333332,66.666664
4,2ET3,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
5,1LVJ,0.870968,0.266667,0.032258,0.290323,0.548387,0.774194,1.0,0.066667,0.233333,870.967712,709.677429,129.032257,129.032257,32.258064,96.774193,32.258064,129.032257,580.645142,96.774193,129.032257,0.0,96.774193,32.258064,0.0,32.258064,96.774193,0.0,0.0,32.258064,0.0,32.258064,64.516129,32.258064,0.0,0.0,0.0,64.516129,129.032257,0.0,0.0,32.258064,64.516129
6,1NBK,0.823529,0.242424,0.029412,0.235294,0.470588,0.794118,1.0,0.090909,0.242424,823.529419,676.470581,117.647057,117.647057,0.0,147.058823,88.235291,88.235291,529.411743,117.647057,88.235291,29.411764,117.647057,0.0,29.411764,0.0,117.647057,0.0,0.0,0.0,29.411764,58.823528,58.823528,58.823528,0.0,29.411764,29.411764,29.411764,88.235291,0.0,0.0,58.823528,29.411764
7,2B57,0.738462,0.40625,0.015385,0.261538,0.523077,0.738462,1.0,0.34375,0.296875,738.461548,523.076904,200.0,200.0,153.846161,153.846161,184.615387,138.461533,384.615387,123.07692,153.846161,46.153847,138.461533,61.53846,46.153847,30.76923,61.53846,107.692307,46.153847,0.0,92.307693,15.384615,46.153847,61.53846,61.53846,61.53846,30.76923,15.384615,46.153847,61.53846,30.76923,46.153847,30.76923
8,1EI2,0.8,0.416667,0.04,0.24,0.48,0.72,1.0,0.291667,0.333333,800.0,560.0,200.0,200.0,160.0,120.0,120.0,200.0,360.0,160.0,200.0,0.0,160.0,40.0,0.0,40.0,0.0,120.0,0.0,40.0,80.0,40.0,0.0,40.0,40.0,40.0,0.0,80.0,40.0,80.0,80.0,0.0,40.0
9,1RAW,0.805556,0.171429,0.027778,0.305556,0.583333,0.805556,1.0,0.028571,0.228571,805.555542,694.444458,83.333336,83.333336,0.0,111.111115,27.777779,111.111115,611.111084,55.555557,0.0,83.333336,55.555557,27.777779,83.333336,0.0,83.333336,0.0,0.0,0.0,27.777779,0.0,83.333336,27.777779,0.0,0.0,27.777779,0.0,83.333336,0.0,27.777779,0.0,83.333336
10,1TOB,0.814815,0.384615,0.037037,0.296296,0.518519,0.777778,1.0,0.269231,0.307692,814.814819,592.59259,185.185181,185.185181,148.148148,111.111115,111.111115,185.185181,407.40741,148.148148,185.185181,0.0,148.148148,37.037037,0.0,74.074074,37.037037,111.111115,0.0,37.037037,74.074074,37.037037,0.0,37.037037,37.037037,37.037037,0.0,37.037037,111.111115,37.037037,37.037037,0.0,74.074074
11,1FYP,0.888889,0.153846,0.037037,0.222222,0.481481,0.703704,1.0,0.076923,0.423077,888.888916,777.777771,74.074074,74.074074,37.037037,185.185181,37.037037,222.222229,666.666687,74.074074,37.037037,37.037037,74.074074,0.0,37.037037,0.0,111.111115,37.037037,0.0,0.0,111.111115,37.037037,37.037037,37.037037,0.0,0.0,0.0,37.037037,111.111115,37.037037,74.074074,0.0,74.074074
12,1QD3,0.862069,0.285714,0.034483,0.275862,0.517241,0.793103,1.0,0.071429,0.25,862.06897,689.655151,137.93103,137.93103,34.482758,103.448273,34.482758,137.93103,551.724121,103.448273,137.93103,0.0,103.448273,34.482758,0.0,34.482758,103.448273,0.0,0.0,34.482758,0.0,34.482758,68.965515,34.482758,0.0,0.0,0.0,68.965515,103.448273,0.0,0.0,34.482758,34.482758
13,2CKY,0.779221,0.315789,0.012987,0.220779,0.493506,0.779221,1.0,0.144737,0.263158,779.220764,610.389587,155.844162,155.844162,77.922081,116.883118,64.935066,142.857147,480.51947,116.883118,103.896103,51.948051,116.883118,38.96104,51.948051,25.974026,64.935066,12.987013,12.987013,51.948051,77.922081,38.96104,0.0,25.974026,25.974026,12.987013,38.96104,25.974026,77.922081,25.974026,38.96104,12.987013,38.96104
14,2OE8,0.875,0.266667,0.0625,0.25,0.4375,0.625,1.0,0.2,0.4,875.0,687.5,125.0,125.0,125.0,125.0,62.5,250.0,500.0,125.0,125.0,0.0,125.0,0.0,0.0,62.5,62.5,62.5,0.0,62.5,125.0,0.0,0.0,62.5,0.0,0.0,0.0,62.5,125.0,62.5,62.5,0.0,62.5
15,2GDI,0.775,0.329114,0.0125,0.2125,0.4875,0.7125,1.0,0.177215,0.265823,775.0,600.0,162.5,162.5,75.0,137.5,100.0,125.0,462.5,125.0,112.5,50.0,125.0,37.5,50.0,25.0,75.0,37.5,12.5,25.0,75.0,37.5,25.0,62.5,25.0,12.5,25.0,25.0,50.0,25.0,50.0,37.5,25.0
16,2BEE,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
17,1ZZ5,0.785714,0.461538,0.071429,0.214286,0.428571,0.714286,1.0,0.461538,0.307692,785.714294,500.0,214.285721,214.285721,214.285721,142.857147,214.285721,142.857147,285.714294,142.857147,214.285721,0.0,142.857147,71.428574,0.0,142.857147,0.0,214.285721,0.0,0.0,142.857147,0.0,0.0,142.857147,71.428574,0.0,0.0,0.0,71.428574,0.0,71.428574,0.0,0.0
18,2F4U,0.809524,0.3,0.047619,0.190476,0.47619,0.809524,1.0,0.2,0.45,809.523804,619.047607,142.857147,142.857147,95.238098,190.476196,95.238098,238.095245,476.190491,95.238098,95.238098,47.619049,95.238098,47.619049,47.619049,47.619049,95.238098,95.238098,0.0,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,0.0,0.0,47.619049,95.238098,0.0,95.238098,0.0,47.619049
19,1KOD,0.857143,0.230769,0.142857,0.285714,0.571429,0.785714,1.0,0.153846,0.384615,857.142883,714.285706,71.428574,142.857147,71.428574,142.857147,71.428574,214.285721,571.428589,71.428574,71.428574,0.0,142.857147,0.0,0.0,71.428574,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,214.285721,0.0,0.0,0.0,142.857147
20,2BE0,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
21,2AU4,0.829268,0.15,0.02439,0.268293,0.487805,0.707317,1.0,0.05,0.425,829.268311,731.707336,73.170731,73.170731,0.0,219.512192,48.780487,195.121948,634.146362,73.170731,24.390244,48.780487,73.170731,0.0,48.780487,0.0,48.780487,0.0,0.0,0.0,97.560974,48.780487,73.170731,0.0,0.0,48.780487,24.390244,24.390244,73.170731,0.0,121.951218,24.390244,73.170731
22,1Q8N,0.736842,0.432432,0.026316,0.210526,0.447368,0.736842,1.0,0.189189,0.216216,736.842102,500.0,210.526321,210.526321,52.63158,131.578949,131.578949,78.947365,289.473694,184.210526,157.89473,52.63158,184.210526,26.31579,52.63158,26.31579,52.63158,0.0,26.31579,26.31579,0.0,78.947365,52.63158,78.947365,0.0,52.63158,52.63158,26.31579,26.31579,26.31579,26.31579,78.947365,52.63158
23,2OE5,0.705882,0.25,0.058824,0.176471,0.647059,0.823529,1.0,0.1875,0.25,705.882324,529.411743,117.647057,117.647057,117.647057,58.823528,58.823528,176.470581,352.941162,117.647057,58.823528,58.823528,117.647057,0.0,58.823528,58.823528,58.823528,58.823528,58.823528,0.0,58.823528,0.0,0.0,58.823528,0.0,0.0,0.0,58.823528,117.647057,58.823528,0.0,0.0,58.823528
24,1EI2,0.8,0.416667,0.04,0.24,0.48,0.72,1.0,0.291667,0.333333,800.0,560.0,200.0,200.0,160.0,120.0,120.0,200.0,360.0,160.0,200.0,0.0,160.0,40.0,0.0,40.0,0.0,120.0,0.0,40.0,80.0,40.0,0.0,40.0,40.0,40.0,0.0,80.0,40.0,80.0,80.0,0.0,40.0
25,1NTA,0.833333,0.352941,0.055556,0.222222,0.555556,0.722222,1.0,0.294118,0.294118,833.333313,611.111084,166.666672,166.666672,111.111115,166.666672,166.666672,111.111115,388.888885,166.666672,166.666672,0.0,166.666672,0.0,0.0,55.555557,55.555557,111.111115,0.0,0.0,0.0,0.0,166.666672,111.111115,0.0,55.555557,0.0,0.0,55.555557,55.555557,0.0,55.555557,111.111115
26,2FCZ,0.695652,0.454545,0.043478,0.173913,0.434783,0.652174,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,304.347839,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,43.47826,0.0,0.0
27,1FUF,0.857143,0.307692,0.071429,0.214286,0.5,0.714286,1.0,0.307692,0.230769,857.142883,642.857117,142.857147,142.857147,142.857147,71.428574,142.857147,142.857147,428.571442,142.857147,142.857147,0.0,142.857147,0.0,0.0,0.0,71.428574,142.857147,0.0,0.0,0.0,0.0,71.428574,142.857147,0.0,0.0,0.0,0.0,0.0,142.857147,0.0,0.0,142.857147
28,2BEE,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
29,1KOD,0.857143,0.230769,0.142857,0.285714,0.571429,0.785714,1.0,0.153846,0.384615,857.142883,714.285706,71.428574,142.857147,71.428574,142.857147,71.428574,214.285721,571.428589,71.428574,71.428574,0.0,142.857147,0.0,0.0,71.428574,71.428574,0.0,0.0,71.428574,71.428574,0.0,71.428574,0.0,0.0,71.428574,0.0,0.0,214.285721,0.0,0.0,0.0,142.857147
30,1YRJ,0.826087,0.272727,0.043478,0.217391,0.521739,0.695652,1.0,0.181818,0.454545,826.086975,652.173889,130.434784,130.434784,86.95652,217.391312,86.95652,217.391312,521.739136,86.95652,86.95652,43.47826,86.95652,43.47826,43.47826,43.47826,130.434784,86.95652,0.0,0.0,130.434784,43.47826,43.47826,43.47826,43.47826,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
31,1PBR,0.851852,0.230769,0.037037,0.222222,0.518519,0.703704,1.0,0.153846,0.346154,851.851868,703.703674,111.111115,111.111115,74.074074,148.148148,74.074074,185.185181,592.59259,74.074074,74.074074,37.037037,74.074074,37.037037,37.037037,37.037037,74.074074,74.074074,0.0,0.0,74.074074,37.037037,37.037037,37.037037,37.037037,0.0,0.0,37.037037,111.111115,0.0,74.074074,0.0,74.074074
32,1KOC,0.785714,0.384615,0.142857,0.357143,0.642857,0.785714,1.0,0.230769,0.307692,785.714294,571.428589,142.857147,214.285721,142.857147,71.428574,71.428574,214.285721,428.571442,71.428574,142.857147,0.0,142.857147,71.428574,0.0,0.0,71.428574,0.0,0.0,142.857147,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,0.0,142.857147,71.428574,0.0,0.0,142.857147
33,2PWT,0.809524,0.3,0.047619,0.190476,0.47619,0.809524,1.0,0.2,0.45,809.523804,619.047607,142.857147,142.857147,95.238098,190.476196,95.238098,238.095245,476.190491,95.238098,95.238098,47.619049,95.238098,47.619049,47.619049,47.619049,95.238098,95.238098,0.0,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,0.0,0.0,47.619049,95.238098,0.0,95.238098,0.0,47.619049
34,2ET8,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
35,1LC4,0.826087,0.272727,0.043478,0.217391,0.521739,0.695652,1.0,0.181818,0.454545,826.086975,652.173889,130.434784,130.434784,86.95652,217.391312,86.95652,217.391312,521.739136,86.95652,86.95652,43.47826,86.95652,43.47826,43.47826,43.47826,130.434784,86.95652,0.0,0.0,130.434784,43.47826,43.47826,43.47826,43.47826,0.0,0.0,43.47826,86.95652,0.0,86.95652,0.0,43.47826
36,1AJU,0.866667,0.275862,0.033333,0.266667,0.533333,0.8,1.0,0.068966,0.241379,866.666687,700.0,133.333328,133.333328,33.333332,100.0,33.333332,133.333328,566.666687,100.0,133.333328,0.0,100.0,33.333332,0.0,33.333332,100.0,0.0,0.0,33.333332,0.0,33.333332,66.666664,33.333332,0.0,0.0,0.0,66.666664,133.333328,0.0,0.0,33.333332,66.666664
37,1O9M,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
38,2F4S,0.809524,0.3,0.047619,0.190476,0.47619,0.809524,1.0,0.2,0.45,809.523804,619.047607,142.857147,142.857147,95.238098,190.476196,95.238098,238.095245,476.190491,95.238098,95.238098,47.619049,95.238098,47.619049,47.619049,47.619049,95.238098,95.238098,0.0,0.0,95.238098,47.619049,47.619049,47.619049,47.619049,0.0,0.0,47.619049,95.238098,0.0,95.238098,0.0,47.619049
39,1FMN,0.771429,0.411765,0.028571,0.2,0.485714,0.685714,1.0,0.235294,0.323529,771.428589,542.857117,200.0,200.0,114.285713,142.857147,114.285713,171.428574,400.0,114.285713,171.428574,28.571428,114.285713,85.714287,28.571428,0.0,28.571428,57.142857,0.0,57.142857,114.285713,0.0,28.571428,0.0,57.142857,57.142857,0.0,0.0,57.142857,57.142857,57.142857,57.142857,57.142857
40,2FD0,0.695652,0.454545,0.043478,0.173913,0.434783,0.652174,1.0,0.272727,0.318182,695.652161,434.782623,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,304.347839,130.434784,130.434784,86.95652,86.95652,86.95652,86.95652,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,86.95652,43.47826,86.95652,43.47826,0.0,0.0
41,3D2X,0.779221,0.315789,0.012987,0.220779,0.493506,0.779221,1.0,0.144737,0.263158,779.220764,610.389587,155.844162,155.844162,77.922081,116.883118,64.935066,142.857147,480.51947,116.883118,103.896103,51.948051,116.883118,38.96104,51.948051,25.974026,64.935066,12.987013,12.987013,51.948051,77.922081,38.96104,0.0,25.974026,25.974026,12.987013,38.96104,25.974026,77.922081,25.974026,38.96104,12.987013,38.96104
42,2ET4,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
43,1NBK,0.823529,0.242424,0.029412,0.235294,0.470588,0.794118,1.0,0.090909,0.242424,823.529419,676.470581,117.647057,117.647057,0.0,147.058823,88.235291,88.235291,529.411743,117.647057,88.235291,29.411764,117.647057,0.0,29.411764,0.0,117.647057,0.0,0.0,0.0,29.411764,58.823528,58.823528,58.823528,0.0,29.411764,29.411764,29.411764,88.235291,0.0,0.0,58.823528,29.411764
44,1KOC,0.785714,0.384615,0.142857,0.357143,0.642857,0.785714,1.0,0.230769,0.307692,785.714294,571.428589,142.857147,214.285721,142.857147,71.428574,71.428574,214.285721,428.571442,71.428574,142.857147,0.0,142.857147,71.428574,0.0,0.0,71.428574,0.0,0.0,142.857147,71.428574,0.0,0.0,0.0,71.428574,0.0,0.0,0.0,142.857147,71.428574,0.0,0.0,142.857147
45,1XPF,0.73913,0.454545,0.043478,0.173913,0.391304,0.652174,1.0,0.272727,0.318182,739.130432,478.260864,217.391312,217.391312,173.91304,130.434784,86.95652,173.91304,347.82608,130.434784,173.91304,43.47826,86.95652,86.95652,43.47826,0.0,86.95652,86.95652,43.47826,43.47826,86.95652,43.47826,0.0,0.0,86.95652,0.0,0.0,43.47826,43.47826,86.95652,43.47826,0.0,43.47826
46,1EHT,0.787879,0.3125,0.030303,0.242424,0.575758,0.787879,1.0,0.15625,0.3125,787.878784,606.060608,151.515152,151.515152,90.909088,121.21212,60.60606,181.818176,454.545441,121.21212,121.21212,30.30303,121.21212,30.30303,30.30303,30.30303,60.60606,30.30303,0.0,60.60606,30.30303,60.60606,30.30303,30.30303,30.30303,0.0,0.0,60.60606,90.909088,30.30303,60.60606,30.30303,90.909088
47,1Q8N,0.736842,0.432432,0.026316,0.210526,0.447368,0.736842,1.0,0.189189,0.216216,736.842102,500.0,210.526321,210.526321,52.63158,131.578949,131.578949,78.947365,289.473694,184.210526,157.89473,52.63158,184.210526,26.31579,52.63158,26.31579,52.63158,0.0,26.31579,26.31579,0.0,78.947365,52.63158,78.947365,0.0,52.63158,52.63158,26.31579,26.31579,26.31579,26.31579,78.947365,52.63158
48,1F1T,0.736842,0.432432,0.026316,0.210526,0.447368,0.736842,1.0,0.189189,0.216216,736.842102,500.0,210.526321,210.526321,52.63158,131.578949,131.578949,78.947365,289.473694,184.210526,157.89473,52.63158,184.210526,26.31579,52.63158,26.31579,52.63158,0.0,26.31579,26.31579,0.0,78.947365,52.63158,78.947365,0.0,52.63158,52.63158,26.31579,26.31579,26.31579,26.31579,78.947365,52.63158
49,1J7T,0.818182,0.285714,0.045455,0.181818,0.5,0.818182,1.0,0.190476,0.47619,818.181824,636.363647,136.363632,136.363632,90.909088,227.27272,90.909088,227.27272,500.0,90.909088,90.909088,45.454544,90.909088,45.454544,45.454544,45.454544,90.909088,90.909088,0.0,0.0,136.363632,45.454544,45.454544,45.454544,45.454544,0.0,0.0,45.454544,90.909088,0.0,90.909088,0.0,45.454544
