,A,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
0,2FCX,0.73913,0.5,0.043478,0.217391,0.478261,0.73913,0.956522,0.478261,0.521739,0.727273,0.086957,0.26087,0.478261,0.695652,0.956522,0.043478,0.217391,0.521739,0.73913,1.0,0.181818,0.227273,0.363636,0.363636,739.130432,478.260864,521.739136,478.260864,260.869568,217.391312,130.434784,347.82608,347.82608,130.434784,43.47826,130.434784,130.434784,86.95652,86.95652,260.869568,260.869568,86.95652,260.869568,217.391312,217.391312,0.0,173.91304,43.47826,0.0,0.0,130.434784,173.91304,130.434784,130.434784,217.391312,130.434784,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,86.95652,0.0,86.95652,0.0,0.0,43.47826,0.0,0.0,130.434784,86.95652,0.0,0.0,86.95652,130.434784,0.0,86.95652,86.95652,86.95652,0.0,0.0,43.47826,0.0,43.47826,130.434784,0.0
1,1BYJ,0.666667,0.423077,0.111111,0.259259,0.444444,0.777778,1.0,0.333333,0.666667,0.538462,0.185185,0.259259,0.444444,0.740741,0.851852,0.037037,0.148148,0.518519,0.814815,1.0,0.076923,0.346154,0.307692,0.230769,666.666687,333.333344,666.666687,444.444458,185.185181,222.222229,74.074074,259.259247,259.259247,370.370361,37.037037,185.185181,37.037037,148.148148,185.185181,74.074074,111.111115,148.148148,296.296295,111.111115,148.148148,37.037037,148.148148,74.074074,74.074074,0.0,74.074074,148.148148,111.111115,74.074074,185.185181,111.111115,222.222229,37.037037,148.148148,0.0,37.037037,0.0,111.111115,37.037037,37.037037,37.037037,0.0,0.0,37.037037,0.0,111.111115,0.0,37.037037,0.0,37.037037,37.037037,37.037037,74.074074,37.037037,74.074074,74.074074,0.0,0.0,37.037037,74.074074,0.0,37.037037,37.037037,37.037037,74.074074,37.037037,0.0,37.037037
2,1XPF,0.695652,0.5,0.043478,0.217391,0.565217,0.73913,0.956522,0.434783,0.565217,0.727273,0.086957,0.130435,0.478261,0.782609,0.956522,0.043478,0.217391,0.434783,0.73913,1.0,0.181818,0.227273,0.363636,0.363636,695.652161,434.782623,565.217407,434.782623,260.869568,217.391312,86.95652,347.82608,347.82608,173.91304,43.47826,130.434784,130.434784,86.95652,86.95652,260.869568,260.869568,86.95652,260.869568,173.91304,173.91304,43.47826,130.434784,86.95652,43.47826,0.0,86.95652,130.434784,173.91304,86.95652,260.869568,173.91304,0.0,43.47826,86.95652,43.47826,0.0,0.0,43.47826,86.95652,0.0,43.47826,0.0,43.47826,43.47826,0.0,86.95652,0.0,0.0,43.47826,0.0,0.0,86.95652,86.95652,0.0,0.0,43.47826,130.434784,43.47826,86.95652,86.95652,86.95652,0.0,0.0,0.0,0.0,86.95652,130.434784,43.47826
3,1AJU,0.633333,0.448276,0.1,0.266667,0.5,0.766667,1.0,0.333333,0.666667,0.551724,0.166667,0.233333,0.366667,0.733333,0.866667,0.033333,0.2,0.533333,0.766667,1.0,0.241379,0.344828,0.241379,0.310345,633.333313,333.333344,666.666687,400.0,200.0,233.333328,66.666664,266.666656,266.666656,366.666656,100.0,200.0,133.333328,133.333328,66.666664,200.0,166.666672,100.0,233.333328,133.333328,133.333328,66.666664,166.666672,66.666664,100.0,33.333332,33.333332,133.333328,133.333328,33.333332,233.333328,133.333328,200.0,66.666664,66.666664,100.0,0.0,0.0,100.0,0.0,100.0,33.333332,33.333332,66.666664,0.0,0.0,66.666664,0.0,66.666664,33.333332,33.333332,0.0,33.333332,66.666664,0.0,0.0,66.666664,66.666664,66.666664,0.0,66.666664,100.0,66.666664,0.0,33.333332,0.0,66.666664,33.333332,33.333332
4,2ET3,0.681818,0.571429,0.045455,0.272727,0.454545,0.727273,1.0,0.318182,0.681818,0.571429,0.227273,0.318182,0.636364,0.727273,0.863636,0.045455,0.181818,0.5,0.681818,1.0,0.095238,0.380952,0.285714,0.285714,681.818176,318.181824,681.818176,363.636353,272.727264,272.727264,45.454544,272.727264,272.727264,363.636353,45.454544,181.818176,45.454544,181.818176,181.818176,90.909088,90.909088,181.818176,227.27272,136.363632,227.27272,45.454544,136.363632,90.909088,45.454544,0.0,45.454544,181.818176,90.909088,45.454544,227.27272,90.909088,227.27272,45.454544,90.909088,0.0,45.454544,0.0,90.909088,45.454544,0.0,45.454544,0.0,0.0,45.454544,0.0,90.909088,0.0,90.909088,0.0,45.454544,0.0,45.454544,90.909088,45.454544,45.454544,90.909088,0.0,0.0,0.0,90.909088,0.0,0.0,45.454544,45.454544,90.909088,45.454544,0.0,45.454544
5,1LVJ,0.645161,0.433333,0.096774,0.258065,0.483871,0.774194,1.0,0.322581,0.677419,0.6,0.16129,0.225806,0.387097,0.741935,0.870968,0.032258,0.193548,0.483871,0.774194,1.0,0.233333,0.4,0.3,0.3,645.161316,322.580658,677.419373,419.354828,193.548386,225.806458,32.258064,290.322571,290.322571,354.838715,96.774193,225.806458,129.032257,161.290329,96.774193,193.548386,193.548386,96.774193,258.064514,129.032257,129.032257,64.516129,161.290329,64.516129,96.774193,0.0,32.258064,161.290329,129.032257,32.258064,258.064514,129.032257,193.548386,64.516129,64.516129,96.774193,0.0,0.0,129.032257,0.0,96.774193,0.0,32.258064,96.774193,0.0,0.0,96.774193,0.0,64.516129,32.258064,32.258064,32.258064,0.0,96.774193,0.0,0.0,64.516129,64.516129,64.516129,0.0,64.516129,129.032257,64.516129,0.0,32.258064,0.0,64.516129,32.258064,32.258064
6,1NBK,0.676471,0.393939,0.117647,0.323529,0.558824,0.794118,1.0,0.352941,0.647059,0.424242,0.117647,0.235294,0.5,0.676471,0.911765,0.029412,0.264706,0.470588,0.735294,1.0,0.212121,0.363636,0.212121,0.212121,676.470581,352.941162,647.058838,470.588226,176.470581,205.882355,147.058823,205.882355,205.882355,411.764709,117.647057,176.470581,88.235291,176.470581,147.058823,58.823528,58.823528,147.058823,294.117645,147.058823,117.647057,58.823528,176.470581,29.411764,88.235291,29.411764,117.647057,29.411764,176.470581,117.647057,88.235291,176.470581,205.882355,88.235291,29.411764,88.235291,29.411764,0.0,117.647057,0.0,58.823528,0.0,0.0,88.235291,0.0,29.411764,88.235291,29.411764,58.823528,0.0,29.411764,88.235291,29.411764,0.0,58.823528,88.235291,29.411764,29.411764,0.0,29.411764,29.411764,0.0,0.0,29.411764,88.235291,29.411764,29.411764,58.823528,88.235291
7,2B57,0.753846,0.359375,0.030769,0.230769,0.507692,0.769231,1.0,0.523077,0.476923,0.40625,0.030769,0.153846,0.492308,0.784615,0.984615,0.015385,0.261538,0.538462,0.692308,1.0,0.28125,0.234375,0.203125,0.203125,753.84613,523.076904,476.923065,569.230774,169.230774,184.615387,323.076935,200.0,200.0,261.538452,138.461533,123.07692,138.461533,107.692307,123.07692,76.92308,76.92308,123.07692,415.384613,138.461533,123.07692,46.153847,153.846161,30.76923,46.153847,215.384613,107.692307,76.92308,107.692307,107.692307,92.307693,107.692307,153.846161,46.153847,76.92308,76.92308,30.76923,30.76923,46.153847,46.153847,15.384615,76.92308,46.153847,15.384615,46.153847,15.384615,46.153847,30.76923,30.76923,15.384615,46.153847,46.153847,61.53846,30.76923,46.153847,30.76923,46.153847,0.0,30.76923,46.153847,30.76923,0.0,0.0,46.153847,61.53846,46.153847,15.384615,46.153847,15.384615
8,1EI2,0.72,0.458333,0.12,0.32,0.6,0.8,1.0,0.44,0.56,0.75,0.16,0.32,0.52,0.68,0.96,0.04,0.2,0.44,0.72,1.0,0.166667,0.208333,0.375,0.375,720.0,440.0,560.0,480.0,200.0,240.0,80.0,360.0,360.0,160.0,80.0,120.0,80.0,80.0,200.0,160.0,160.0,200.0,360.0,80.0,200.0,0.0,120.0,120.0,40.0,0.0,80.0,240.0,80.0,80.0,280.0,120.0,40.0,80.0,120.0,40.0,0.0,40.0,0.0,80.0,0.0,80.0,0.0,0.0,0.0,40.0,80.0,0.0,0.0,40.0,40.0,80.0,0.0,80.0,40.0,40.0,160.0,0.0,0.0,40.0,80.0,40.0,40.0,40.0,40.0,40.0,120.0,40.0,0.0
9,1RAW,0.611111,0.371429,0.111111,0.361111,0.583333,0.777778,1.0,0.333333,0.666667,0.342857,0.111111,0.25,0.361111,0.611111,0.916667,0.027778,0.222222,0.555556,0.777778,1.0,0.142857,0.342857,0.171429,0.171429,611.111084,333.333344,666.666687,416.666656,166.666672,194.444443,166.666672,166.666672,166.666672,472.222229,83.333336,166.666672,55.555557,166.666672,83.333336,83.333336,83.333336,83.333336,250.0,138.888885,55.555557,111.111115,166.666672,27.777779,138.888885,27.777779,138.888885,55.555557,111.111115,138.888885,27.777779,111.111115,333.333344,55.555557,166.666672,0.0,83.333336,0.0,111.111115,0.0,55.555557,27.777779,27.777779,0.0,55.555557,27.777779,166.666672,0.0,0.0,0.0,27.777779,83.333336,55.555557,27.777779,27.777779,27.777779,27.777779,27.777779,27.777779,55.555557,0.0,27.777779,0.0,0.0,83.333336,0.0,0.0,55.555557,55.555557
