,B,GCCoW: GC content of whole sequence,GCCo1: GC content of 1st position of codons,GCCo2: GC content of 2nd position of codons,GCCo3: GC content of 3rd position of codons,GCC1V: GCCo1 variance frame score,GCC2V: GCCo2 variance frame score,GCC3V: GCCo3 variance frame score
0,hsa.miR.222.3p,0.52381,0.428571,0.428571,0.714286,0.122976,0.090851,0.123329
1,hsa.miR.34c.5p,0.478261,0.391304,0.521739,0.521739,0.028441,0.011452,0.010875
2,hsa.miR.497.5p,0.52381,0.714286,0.285714,0.571429,0.144209,0.109698,0.073472
3,hsa.miR.17.5p,0.478261,0.521739,0.782609,0.130435,0.343747,0.31418,0.403252
4,hsa.miR.223.3p,0.409091,0.409091,0.272727,0.545455,0.075222,0.067696,0.123824
5,hsa.miR.29b.3p,0.347826,0.391304,0.130435,0.521739,0.143361,0.137394,0.113561
6,hsa.miR.301a.3p,0.391304,0.391304,0.391304,0.391304,0.001042,0.013344,0.019868
7,hsa.miR.29b.3p,0.347826,0.391304,0.130435,0.521739,0.143361,0.137394,0.113561
8,hsa.miR.139.5p,0.521739,0.652174,0.521739,0.391304,0.037524,0.071454,0.074961
9,hsa.miR.106a.5p,0.434783,0.391304,0.782609,0.130435,0.350007,0.31418,0.403252
10,hsa.miR.20b.5p,0.478261,0.652174,0.782609,0.0,0.561155,0.491802,0.564682
11,hsa.miR.876.5p,0.363636,0.0,0.545455,0.545455,0.343673,0.312363,0.254566
12,hsa.miR.544a,0.318182,0.681818,0.0,0.272727,0.350331,0.429847,0.389779
13,hsa.miR.24.3p,0.545455,0.545455,0.818182,0.272727,0.233903,0.21495,0.17445
14,hsa.miR.3619.5p,0.681818,0.818182,0.545455,0.681818,0.048712,0.094348,0.125122
15,hsa.miR.148b.3p,0.409091,0.409091,0.409091,0.409091,0.001256,0.001256,0.014405
16,hsa.miR.199b.5p,0.434783,0.26087,0.652174,0.391304,0.134728,0.194687,0.143361
17,hsa.miR.29b.3p,0.347826,0.391304,0.130435,0.521739,0.143361,0.137394,0.113561
18,hsa.miR.26b.5p,0.333333,0.142857,0.285714,0.571429,0.186744,0.155285,0.13522
19,hsa.miR.544a,0.318182,0.681818,0.0,0.272727,0.350331,0.429847,0.389779
20,hsa.miR.450a.5p,0.318182,0.409091,0.136364,0.409091,0.083445,0.092106,0.072555
21,hsa.miR.429,0.363636,0.409091,0.272727,0.409091,0.021943,0.028086,0.014405
22,hsa.miR.122.5p,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.04522
23,hsa.miR.302a.3p,0.391304,0.652174,0.391304,0.130435,0.194687,0.251653,0.228522
24,hsa.miR.448,0.409091,0.545455,0.136364,0.545455,0.18702,0.202528,0.16733
25,hsa.miR.490.3p,0.590909,1.090909,0.545455,0.136364,0.666386,0.619779,0.560413
26,hsa.miR.302d.3p,0.391304,0.521739,0.391304,0.26087,0.04181,0.067864,0.061387
27,hsa.miR.149.5p,0.608696,0.521739,0.782609,0.521739,0.075617,0.050757,0.03307
28,hsa.miR.491.5p,0.590909,0.818182,0.409091,0.545455,0.114394,0.187652,0.233903
29,hsa.miR.155.5p,0.375,0.5,0.125,0.5,0.155443,0.167373,0.140609
30,hsa.miR.122.5p,0.454545,0.409091,0.409091,0.545455,0.033107,0.021386,0.04522
31,hsa.miR.302a.3p,0.391304,0.652174,0.391304,0.130435,0.194687,0.251653,0.228522
32,hsa.miR.302a.3p,0.391304,0.652174,0.391304,0.130435,0.194687,0.251653,0.228522
33,hsa.miR.302d.3p,0.391304,0.521739,0.391304,0.26087,0.04181,0.067864,0.061387
34,hsa.miR.505.3p,0.5,0.681818,0.272727,0.545455,0.131184,0.098573,0.16733
35,hsa.miR.302d.3p,0.391304,0.521739,0.391304,0.26087,0.04181,0.067864,0.061387
36,hsa.miR.149.5p,0.608696,0.521739,0.782609,0.521739,0.075617,0.050757,0.03307
37,hsa.miR.496,0.409091,0.681818,0.409091,0.136364,0.212283,0.277861,0.266202
38,hsa.miR.192.5p,0.47619,0.428571,0.428571,0.571429,0.037321,0.061442,0.056697
39,hsa.miR.491.5p,0.590909,0.818182,0.409091,0.545455,0.114394,0.187652,0.233903
