,A,LFICA: Lipoaffinity index composition of A,LFIAB: Lipoaffinity index transition between A and B,LFIA0: Lipoaffinity index distribution of 0.00A,LFIA1: Lipoaffinity index distribution of 0.25A,LFIA2: Lipoaffinity index distribution of 0.50A,LFIA3: Lipoaffinity index distribution of 0.75A,LFIA4: Lipoaffinity index distribution of 1.00A,LFIAB: Lipoaffinity index_3 transition between A and B,LFIAC: Lipoaffinity index_3 transition between A and C,LFI: Lipoaffinity index0,LFI: Lipoaffinity index00,LFI: Lipoaffinity index01,LFI: Lipoaffinity index10,LFI: Lipoaffinity index_301,LFI: Lipoaffinity index_302,LFI: Lipoaffinity index_310,LFI: Lipoaffinity index_320,LFI: Lipoaffinity index000,LFI: Lipoaffinity index001,LFI: Lipoaffinity index010,LFI: Lipoaffinity index011,LFI: Lipoaffinity index100,LFI: Lipoaffinity index101,LFI: Lipoaffinity index110,LFI: Lipoaffinity index_3001,LFI: Lipoaffinity index_3002,LFI: Lipoaffinity index_3010,LFI: Lipoaffinity index_3011,LFI: Lipoaffinity index_3012,LFI: Lipoaffinity index_3020,LFI: Lipoaffinity index_3021,LFI: Lipoaffinity index_3022,LFI: Lipoaffinity index_3100,LFI: Lipoaffinity index_3101,LFI: Lipoaffinity index_3102,LFI: Lipoaffinity index_3110,LFI: Lipoaffinity index_3120,LFI: Lipoaffinity index_3200,LFI: Lipoaffinity index_3201,LFI: Lipoaffinity index_3202,LFI: Lipoaffinity index_3210,LFI: Lipoaffinity index_3220
0,ENST00000453875.5,0.706406,0.41533,0.003559,0.227758,0.475089,0.738434,1.0,0.194296,0.206774,706.405701,498.220642,206.405701,208.185059,106.761566,92.526688,87.188614,113.879005,362.989319,133.45195,147.686829,58.718861,135.231323,72.953735,58.718861,53.380783,37.366547,35.587189,30.249111,40.925266,35.587189,17.793594,39.145908,42.704628,17.793594,26.690392,28.469751,37.366547,49.822063,35.587189,28.469751,23.131672,40.925266
1,ENST00000504748.1,0.850095,0.277567,0.001898,0.263757,0.504744,0.753321,1.0,0.174905,0.315589,850.094849,709.677429,138.519928,138.519928,96.774193,148.007584,77.798859,166.982925,588.235291,119.544594,127.134727,11.3852,119.544594,18.975332,11.3852,51.233398,89.184059,56.925995,7.590133,32.258064,68.311195,18.975332,58.823528,41.745731,11.3852,24.667933,1.897533,34.155598,98.67173,34.155598,34.155598,18.975332,64.516129
2,ENST00000599755.5,0.707434,0.40625,0.004796,0.23741,0.47482,0.721823,1.0,0.288462,0.177885,707.434082,503.597137,201.438843,203.836929,143.884888,88.729019,143.884888,88.729019,357.314148,146.282974,139.08873,62.350121,146.282974,55.155876,62.350121,86.330933,47.961632,67.146286,55.155876,21.582733,40.767387,28.776978,19.184652,76.738609,38.369305,28.776978,43.165466,31.17506,57.553955,19.184652,11.990408,31.17506,16.786572
3,ENST00000454129.5,0.735619,0.363493,0.000226,0.237988,0.487029,0.743515,0.999098,0.237365,0.194043,735.619202,553.801025,181.818176,181.592606,122.49041,93.164902,114.820663,100.834648,423.640869,130.160156,129.709,52.10918,129.934586,51.65802,51.883602,64.967293,54.816151,57.523121,33.837132,31.130159,47.371983,23.009249,22.783669,65.192871,32.483646,17.144146,33.837132,29.551094,54.590572,25.039476,21.204601,23.460411,23.685991
4,ENST00000436656.5,0.70438,0.395859,0.001217,0.244526,0.489051,0.761557,0.998783,0.233861,0.198538,704.379578,506.082733,198.296844,197.080292,122.871048,93.673965,110.705597,104.622871,356.447693,149.63504,130.170319,66.909973,148.418488,48.6618,66.909973,68.126518,47.445255,43.79562,42.579075,35.279804,34.063259,27.980536,31.630171,59.610706,23.114355,27.980536,34.063259,43.79562,54.744526,31.630171,18.248175,32.846714,26.76399
5,ENST00000511893.1,0.716612,0.353997,0.001629,0.226384,0.483713,0.714984,0.990228,0.238173,0.225122,716.612366,539.087952,177.524429,175.895767,128.66449,102.605865,109.120522,122.149834,395.765472,143.322479,115.635178,61.889252,141.693817,34.201954,60.260586,60.260586,57.003258,55.374592,43.973942,29.315962,52.117264,30.944626,19.543974,60.260586,29.315962,19.543974,39.087948,45.602608,57.003258,39.087948,26.058632,14.657981,24.429968
6,ENST00000414894.1,0.753425,0.351648,0.00274,0.232877,0.468493,0.731507,1.0,0.206044,0.173077,753.424683,575.342468,175.342468,175.342468,98.630135,90.410957,106.849312,82.19178,446.575348,128.76712,126.027397,49.315067,126.027397,46.575344,49.315067,52.054794,71.23288,41.09589,24.657534,32.876713,35.61644,19.178082,35.61644,57.534248,35.61644,13.69863,30.136986,32.876713,65.753426,10.958904,5.479452,35.61644,10.958904
7,ENST00000602587.5,0.756432,0.360825,0.001715,0.259005,0.530017,0.782161,1.0,0.231959,0.170103,756.432251,574.614075,180.102921,180.102921,121.783875,78.902229,109.777016,90.909088,449.399658,125.214409,133.790741,46.31218,123.499146,54.888508,46.31218,78.902229,41.166382,65.180099,24.013721,32.59005,46.31218,20.583191,12.006861,58.319038,30.874786,18.867924,22.298456,25.728989,60.034306,12.006861,18.867924,22.298456,18.867924
8,ENST00000584485.1,0.714797,0.397849,0.001193,0.263723,0.505967,0.73389,0.998807,0.289128,0.156511,714.797119,515.513123,199.284012,198.090698,140.811462,82.338905,147.971359,73.98568,384.248199,131.264923,133.65155,64.43914,130.071594,68.019096,64.43914,65.632462,46.539379,75.179001,42.959427,21.479713,38.186157,23.866348,20.286396,75.179001,48.926014,23.866348,47.732697,19.093079,35.799522,26.252983,11.933174,25.059666,16.706444
9,ENST00000444126.5,0.736591,0.36338,0.000217,0.238871,0.486428,0.743974,0.999131,0.235882,0.195048,736.590637,554.831726,181.758957,181.541809,121.389793,94.028229,114.440826,100.977196,424.104248,130.727463,130.727463,51.031487,130.727463,50.814331,50.814331,64.277962,55.591747,57.328991,32.790443,31.270359,47.557003,23.669924,22.801304,65.363731,32.138981,16.93811,33.007599,30.184582,54.50597,24.972857,21.498371,24.104235,23.235613
