,Seqname,SHDCA: Strong H-Bond donors composition of A,SHDAB: Strong H-Bond donors transition between A and B,SHDA0: Strong H-Bond donors distribution of 0.00A,SHDA1: Strong H-Bond donors distribution of 0.25A,SHDA2: Strong H-Bond donors distribution of 0.50A,SHDA3: Strong H-Bond donors distribution of 0.75A,SHDA4: Strong H-Bond donors distribution of 1.00A,MLFCA: Linear free energy composition of A,MLFCB: Linear free energy composition of B,MLFAB: Linear free energy transition between A and B,MLFA0: Linear free energy distribution of 0.00A,MLFA1: Linear free energy distribution of 0.25A,MLFA2: Linear free energy distribution of 0.50A,MLFA3: Linear free energy distribution of 0.75A,MLFA4: Linear free energy distribution of 1.00A,MLFB0: Linear free energy distribution of 0.00B,MLFB1: Linear free energy distribution of 0.25B,MLFB2: Linear free energy distribution of 0.50B,MLFB3: Linear free energy distribution of 0.75B,MLFB4: Linear free energy distribution of 1.00B,SHAAB: Strong H-Bond acceptors_3 transition between A and B,SHAAC: Strong H-Bond acceptors_3 transition between A and C,PHBAB: Potential Hydrogen Bonds_3 transition between A and B,PHBAC: Potential Hydrogen Bonds_3 transition between A and C,SHD: Strong H-Bond donors0,MLF: Linear free energy0,MLF: Linear free energy1,SHD: Strong H-Bond donors00,SHD: Strong H-Bond donors01,SHD: Strong H-Bond donors10,MLF: Linear free energy00,MLF: Linear free energy01,MLF: Linear free energy10,MLF: Linear free energy11,SHA: Strong H-Bond acceptors_301,SHA: Strong H-Bond acceptors_302,SHA: Strong H-Bond acceptors_310,SHA: Strong H-Bond acceptors_320,PHB: Potential Hydrogen Bonds_301,PHB: Potential Hydrogen Bonds_302,PHB: Potential Hydrogen Bonds_310,PHB: Potential Hydrogen Bonds_320,SHD: Strong H-Bond donors000,SHD: Strong H-Bond donors001,SHD: Strong H-Bond donors010,SHD: Strong H-Bond donors011,SHD: Strong H-Bond donors100,SHD: Strong H-Bond donors101,SHD: Strong H-Bond donors110,MLF: Linear free energy000,MLF: Linear free energy001,MLF: Linear free energy010,MLF: Linear free energy011,MLF: Linear free energy100,MLF: Linear free energy101,MLF: Linear free energy110,MLF: Linear free energy111,SHA: Strong H-Bond acceptors_3001,SHA: Strong H-Bond acceptors_3002,SHA: Strong H-Bond acceptors_3010,SHA: Strong H-Bond acceptors_3011,SHA: Strong H-Bond acceptors_3012,SHA: Strong H-Bond acceptors_3020,SHA: Strong H-Bond acceptors_3021,SHA: Strong H-Bond acceptors_3022,SHA: Strong H-Bond acceptors_3100,SHA: Strong H-Bond acceptors_3101,SHA: Strong H-Bond acceptors_3102,SHA: Strong H-Bond acceptors_3110,SHA: Strong H-Bond acceptors_3120,SHA: Strong H-Bond acceptors_3200,SHA: Strong H-Bond acceptors_3201,SHA: Strong H-Bond acceptors_3202,SHA: Strong H-Bond acceptors_3210,SHA: Strong H-Bond acceptors_3220,PHB: Potential Hydrogen Bonds_3001,PHB: Potential Hydrogen Bonds_3002,PHB: Potential Hydrogen Bonds_3010,PHB: Potential Hydrogen Bonds_3011,PHB: Potential Hydrogen Bonds_3012,PHB: Potential Hydrogen Bonds_3020,PHB: Potential Hydrogen Bonds_3021,PHB: Potential Hydrogen Bonds_3022,PHB: Potential Hydrogen Bonds_3100,PHB: Potential Hydrogen Bonds_3101,PHB: Potential Hydrogen Bonds_3102,PHB: Potential Hydrogen Bonds_3110,PHB: Potential Hydrogen Bonds_3120,PHB: Potential Hydrogen Bonds_3200,PHB: Potential Hydrogen Bonds_3201,PHB: Potential Hydrogen Bonds_3202,PHB: Potential Hydrogen Bonds_3210,PHB: Potential Hydrogen Bonds_3220
0,ENST00000329743.3,0.693215,0.426036,0.00295,0.265487,0.545723,0.787611,1.0,0.39233,0.60767,0.470414,0.026549,0.324484,0.619469,0.852507,1.0,0.00295,0.221239,0.433628,0.657817,0.979351,0.171598,0.301775,0.227811,0.242604,693.215332,392.330383,607.669617,477.876099,212.389374,212.389374,156.342178,233.038345,235.988205,371.681427,73.746315,162.241882,97.345131,138.643066,94.395279,138.643066,132.743362,103.244835,327.433624,147.49263,144.54277,67.846611,150.442474,61.946903,67.846611,73.746315,79.646019,88.495575,144.54277,82.595871,153.392334,147.49263,224.188797,38.348083,85.545723,32.448376,20.648968,17.699116,67.846611,32.448376,61.946903,38.348083,20.648968,38.348083,38.348083,14.749263,85.545723,14.749263,38.348083,26.548672,53.097343,32.448376,47.197639,32.448376,44.247787,17.699116,56.047199,47.197639,35.398232,47.197639,29.498526,56.047199,50.147491,17.699116,35.398232,32.448376,35.398232,50.147491,29.498526
1,ENST00000332881.3,0.819163,0.271438,0.000675,0.237517,0.474359,0.725371,1.0,0.61336,0.38664,0.487508,0.000675,0.227395,0.452767,0.707827,1.0,0.00135,0.296896,0.568826,0.815115,0.997976,0.274139,0.177583,0.268737,0.218771,819.163269,613.360352,386.639679,682.861023,135.627533,135.627533,369.095825,243.589737,243.589737,143.049927,130.90419,95.141701,143.049927,82.32119,122.807014,120.782722,145.748993,97.840759,570.175415,112.010796,99.190285,36.437248,112.685562,22.941971,36.437248,235.492584,132.928482,153.171387,90.41835,133.603241,109.986504,90.41835,52.63158,72.19973,54.655872,51.282051,53.306343,26.31579,37.786774,38.46154,18.893387,86.369774,34.412956,22.267206,49.257759,24.966261,39.811066,24.291498,18.218624,42.51012,19.568151,72.19973,60.728745,88.394066,25.641026,8.77193,64.777328,24.291498,31.7139,77.597839,29.014845,39.136303,29.014845,6.747638,56.005398,21.592443,20.242914,28.34008,26.31579
2,ENST00000333139.3,0.793089,0.308642,0.000411,0.248457,0.496092,0.760181,1.0,0.502674,0.497326,0.544033,0.000823,0.280543,0.521185,0.769642,0.999177,0.000411,0.219251,0.473879,0.728095,1.0,0.202881,0.246502,0.302469,0.241564,793.089233,502.673798,497.326202,638.42041,154.257507,154.257507,230.769226,271.904572,271.904572,225.010284,90.497734,134.101196,112.299469,112.299469,131.633072,140.2715,170.711639,101.192924,514.603027,123.81736,113.944878,40.31263,123.406006,30.440147,40.31263,116.001648,114.767586,142.328262,129.576309,114.767586,157.136978,129.164948,95.433975,53.064583,69.518715,46.071575,27.972029,16.454134,53.064583,30.851501,49.773754,55.944057,27.560675,28.794735,32.08556,16.454134,66.639244,9.87248,35.787743,34.142326,42.369396,55.121349,59.646236,75.689018,49.362404,6.581654,66.639244,37.433155,36.199097,68.696007,49.362404,52.653229,62.937061,6.993007,46.071575,27.149321,27.972029,31.674208,27.560675
3,ENST00000354376.3,0.68196,0.413069,0.000389,0.262053,0.52916,0.766719,1.0,0.36353,0.63647,0.488137,0.001166,0.330482,0.597201,0.812597,1.0,0.000389,0.224339,0.443624,0.704899,0.995723,0.170362,0.306884,0.24543,0.242707,681.959595,363.530334,636.469666,475.116638,206.454117,206.454117,119.362366,243.77916,244.167969,392.301697,69.984451,168.351471,100.311043,138.413681,97.978226,145.800934,147.35614,96.811821,337.091766,137.636078,132.58165,73.872475,138.024887,68.429237,73.872475,50.933125,68.040436,89.035767,154.743393,68.429237,175.738724,155.132187,237.169525,39.269051,89.035767,41.990669,13.219285,14.774494,72.706062,33.825817,61.819595,51.32193,15.940902,33.04821,16.329704,14.385692,77.371696,14.774494,46.267498,41.990669,50.933125,33.04821,34.992226,44.712288,37.71384,15.552099,44.323483,49.377914,52.099533,40.435459,41.213062,65.707619,55.209953,15.163297,27.993778,23.716951,45.101089,47.433903,37.325039
4,ENST00000360656.2,0.73913,0.360134,0.005017,0.247492,0.496656,0.755853,1.0,0.474916,0.525084,0.492462,0.005017,0.237458,0.505017,0.749164,0.998328,0.001672,0.277592,0.486622,0.754181,1.0,0.21943,0.234506,0.241206,0.251256,739.130432,474.916382,525.083618,558.528442,178.929764,180.602005,229.096985,245.819397,245.819397,277.59198,108.695656,118.729095,110.367889,115.384613,110.367889,135.451508,130.434784,115.384613,419.732452,137.123749,118.729095,60.200668,138.79599,41.806019,61.87291,133.779266,95.317726,112.040131,132.107025,95.317726,150.501678,133.779266,143.812714,53.511707,61.87291,50.167225,30.100334,28.428093,51.839466,23.411371,41.806019,48.494984,36.789299,25.083612,30.100334,20.066889,65.217392,18.39465,31.772575,30.100334,43.47826,43.47826,51.839466,53.511707,36.789299,18.39465,58.528427,30.100334,46.822742,46.822742,33.444817,50.167225,43.47826,13.377927,48.494984,33.444817,33.444817,33.444817,43.47826
5,ENST00000364140.1,0.735385,0.361111,0.003077,0.273846,0.489231,0.729231,0.996923,0.464615,0.535385,0.57716,0.003077,0.258462,0.510769,0.741538,0.996923,0.006154,0.246154,0.483077,0.756923,1.0,0.216049,0.256173,0.299383,0.277778,735.384644,464.615387,535.384644,553.84613,181.538467,178.461533,175.384613,289.230774,286.153839,246.153839,86.153847,147.692307,129.230774,107.692307,129.230774,160.0,169.230774,116.92308,430.769226,123.07692,113.846153,64.615387,123.07692,55.384617,64.615387,67.692307,107.692307,147.692307,138.461533,107.692307,178.461533,138.461533,107.692307,52.307693,61.53846,58.46154,15.384615,12.307693,70.769234,43.076923,33.846153,61.53846,24.615385,40.0,30.76923,12.307693,52.307693,9.230769,46.153847,36.923077,24.615385,52.307693,55.384617,70.769234,49.23077,9.230769,76.92308,21.538462,58.46154,61.53846,55.384617,52.307693,46.153847,3.076923,46.153847,21.538462,49.23077,52.307693,36.923077
6,ENST00000366188.2,0.756098,0.354523,0.002439,0.24878,0.504878,0.746341,0.995122,0.5,0.5,0.550122,0.002439,0.195122,0.402439,0.739024,0.995122,0.004878,0.331707,0.553659,0.787805,1.0,0.264059,0.198044,0.276284,0.273839,756.097534,500.0,500.0,578.048767,178.048782,175.609756,224.390244,275.609741,273.170746,224.390244,119.512192,109.756096,143.902435,87.804878,121.951218,153.658539,153.658539,119.512192,451.219513,126.829269,126.829269,51.219513,124.390244,51.219513,48.780487,109.756096,114.634148,139.024384,136.585373,114.634148,158.536591,134.146347,87.804878,73.170731,46.341465,68.292686,24.390244,26.829268,31.707317,36.585365,41.463413,78.048782,34.146343,31.707317,29.268293,19.512196,43.902439,12.195122,31.707317,46.341465,36.585365,58.536587,56.097561,63.414635,46.341465,12.195122,75.609756,36.585365,41.463413,53.658535,48.780487,51.219513,60.975609,9.756098,60.975609,12.195122,46.341465,29.268293,34.146343
7,ENST00000366424.2,0.737355,0.371951,0.000609,0.249238,0.501523,0.756246,1.0,0.476539,0.523461,0.554878,0.000609,0.263254,0.525899,0.769653,1.0,0.002438,0.239488,0.482633,0.731261,0.997562,0.231707,0.231098,0.277439,0.277439,737.355286,476.538696,523.461304,550.883606,185.862274,185.862274,198.659348,277.269958,277.269958,246.191345,104.81414,126.142593,126.751984,104.81414,121.876907,155.393051,155.393051,121.876907,417.428406,132.845825,129.798904,56.063377,132.845825,53.016453,56.063377,95.67337,102.376602,147.471054,129.798904,102.376602,174.893356,129.798904,116.392441,62.157223,62.766605,54.844608,24.984766,24.984766,48.141376,42.047531,35.953686,58.500916,30.469227,37.781841,31.687996,24.375381,67.032295,12.187691,25.594151,39.609993,32.297379,46.922607,55.453991,73.735527,35.344303,12.797075,73.735527,38.391224,43.2663,56.67276,43.2663,55.453991,45.094456,9.750153,45.703838,31.687996,44.485069,36.563072,38.391224
8,ENST00000367276.8,0.728997,0.393487,0.001355,0.277778,0.551491,0.802168,1.0,0.436314,0.563686,0.41384,0.009485,0.46206,0.722222,0.861789,1.0,0.001355,0.177507,0.349593,0.571816,0.98103,0.221167,0.2673,0.191316,0.222524,728.997314,436.314362,563.685608,531.165283,196.476959,196.476959,228.997284,205.962067,207.317078,356.368561,108.401085,135.501358,112.466125,131.43631,74.525742,131.43631,116.531166,90.785912,379.403809,150.406509,143.631439,52.845528,150.406509,46.070461,52.845528,149.051483,78.590782,92.140923,113.821136,79.945801,127.371277,115.176155,241.192413,54.200542,73.170731,48.780487,25.745258,32.520325,62.330624,18.97019,54.200542,54.200542,31.165312,27.100271,27.100271,17.615175,73.170731,23.035231,35.23035,36.585365,51.490517,29.810299,48.780487,39.295391,24.390244,10.840109,52.845528,48.780487,29.810299,46.070461,14.905149,55.555557,35.23035,13.550136,33.87534,29.810299,27.100271,42.005421,24.390244
9,ENST00000367563.7,0.741892,0.351827,0.001351,0.248649,0.489189,0.744595,1.0,0.545946,0.454054,0.545332,0.002703,0.252703,0.506757,0.77973,1.0,0.001351,0.235135,0.489189,0.712162,0.997297,0.29364,0.150203,0.242219,0.303112,741.891907,545.945923,454.054047,564.864868,175.675674,175.675674,272.972961,271.621613,272.972961,181.081085,131.081085,90.540543,162.162155,59.459461,101.351349,170.270264,140.540543,132.432434,432.432434,131.081085,116.216217,59.459461,131.081085,44.594593,59.459461,147.297302,124.324326,154.054047,117.567566,125.675674,147.297302,117.567566,63.513512,67.567566,45.945946,62.162163,47.297298,21.621622,25.675676,37.837837,27.027027,77.027023,51.351353,33.783783,50.0,18.918919,36.486488,12.162162,10.810811,50.0,13.513514,51.351353,72.972977,71.62162,27.027027,2.702703,82.432434,28.378378,59.459461,62.162163,25.675676,52.702702,33.783783,4.054054,63.513512,24.324324,44.594593,33.783783,45.945946
